start,end,ID
2883.937271,3003.937271,1
3033.937271,3140.44044,2
3170.44044,3204.971638,3
3309.162496,3429.162496,4
3705.992659,3825.992659,5
3855.992659,3959.793126,6
3989.793126,4054.788121,7
4084.788121,4162.529196,8
4192.529196,4307.741074,9
4349.469469,4469.469469,10
4499.469469,4553.753754,11
4583.753754,4639.73974,12
4669.73974,4782.449116,13
4812.449116,4885.518852,14
4915.518852,5020.987654,15
5145.965966,5265.965966,16
5295.965966,5403.203203,17
6412.265599,6532.265599,18
6562.265599,6677.877878,19
6788.375042,6908.375042,20
6938.375042,7048.281615,21
7078.281615,7154.054054,22
7341.461461,7461.461461,23
8073.02636,8193.02636,24
8235.789122,8355.789122,25
8385.789122,8482.282282,26
8621.007674,8741.007674,27
8771.007674,8856.82349,28
9134.554555,9254.554555,29
9284.554555,9375.542209,30
9405.542209,9439.039039,31
13762.01535,13882.01535,32
15116.7701,15236.7701,33
15266.7701,15373.77377,34
15403.77377,15504.07074,35
15534.07074,15613.24658,36
15672.55923,15792.55923,37
15822.55923,15918.51852,38
15948.51852,16009.94328,39
16039.94328,16114.01401,40
16144.01401,16243.51018,41
16273.51018,16379.31265,42
16485.27194,16605.27194,43
16635.27194,16748.28161,44
16778.28161,16828.99566,45
16976.22956,17096.22956,46
17126.22956,17233.50017,47
17263.50017,17382.01535,48
18345.332,18465.332,49
18495.332,18573.67367,50
18603.67367,18688.12145,51
18718.12145,18824.35769,52
18854.35769,18924.22422,53
19100.35369,19220.35369,54
19250.35369,19307.67434,55
19337.67434,19371.87187,56
19401.87187,19462.8295,57
19492.8295,19564.89823,58
19594.89823,19645.61228,59
19675.61228,19712.34568,60
19772.12546,19892.12546,61
19922.12546,20030.63063,62
20060.63063,20165.7324,63
20195.7324,20259.35936,64
20289.35936,20325.92593,65
20355.92593,20463.26326,66
20493.26326,20528.89556,67
20558.89556,20613.17985,68
20643.17985,20723.18986,69
22555.30864,22675.30864,70
22705.30864,22823.55689,71
22853.55689,22952.28562,72
23002.85619,23122.85619,73
23195.81582,23315.81582,74
23355.60894,23475.60894,75
23505.60894,23579.34601,76
23609.34601,23675.54221,77
23705.54221,23815.54888,78
23845.54888,23912.31231,79
23942.31231,24012.61261,80
24051.30464,24171.30464,81
24201.30464,24241.50817,82
24271.50817,24379.31265,83
24439.32599,24559.32599,84
24668.02135,24788.02135,85
24818.02135,24882.81615,86
24912.81615,25004.37104,87
25035.82249,25155.82249,88
25185.82249,25301.73507,89
25331.73507,25426.55989,90
