start,end,ID
2883.870537,3003.870537,1
3033.870537,3140.34034,2
3170.34034,3204.871538,3
3309.095762,3429.095762,4
3705.892559,3825.892559,5
3855.892559,3959.726393,6
3989.726393,4054.688021,7
4084.688021,4162.462462,8
4192.462462,4307.674341,9
4349.402736,4469.402736,10
4499.402736,4553.653654,11
4583.653654,4639.673006,12
4669.673006,4782.349016,13
4812.349016,4885.452119,14
4915.452119,5020.920921,15
5145.865866,5265.865866,16
5295.865866,5403.103103,17
6412.198866,6532.198866,18
6562.198866,6677.777778,19
6788.274942,6908.274942,20
6938.274942,7048.181515,21
7078.181515,7153.987321,22
7341.394728,7461.394728,23
8072.959626,8192.959626,24
8235.689022,8355.689022,25
8385.689022,8482.215549,26
8620.907574,8740.907574,27
8770.907574,8856.756757,28
9134.487821,9254.487821,29
9284.487821,9375.475475,30
9405.475475,9438.972306,31
13761.94862,13881.94862,32
15116.67,15236.67,33
15266.67,15373.67367,34
15403.67367,15503.97064,35
15533.97064,15613.14648,36
15672.49249,15792.49249,37
15822.49249,15918.41842,38
15948.41842,16009.87654,39
16039.87654,16113.91391,40
16143.91391,16243.44344,41
16273.44344,16379.21255,42
16485.17184,16605.17184,43
16635.17184,16748.21488,44
16778.21488,16828.92893,45
16976.16283,17096.16283,46
17126.16283,17233.43343,47
17263.43343,17381.94862,48
18345.26527,18465.26527,49
18495.26527,18573.57357,50
18603.57357,18688.05472,51
18718.05472,18824.29096,52
18854.29096,18924.12412,53
19100.28695,19220.28695,54
19250.28695,19307.60761,55
19337.60761,19371.80514,56
19401.80514,19462.7294,57
19492.7294,19564.79813,58
19594.79813,19645.54555,59
19675.54555,19712.24558,60
19772.05873,19892.05873,61
19922.05873,20030.53053,62
20060.53053,20165.6323,63
20195.6323,20259.25926,64
20289.25926,20325.82583,65
20355.82583,20463.16316,66
20493.16316,20528.79546,67
20558.79546,20613.07975,68
20643.07975,20723.12312,69
22555.24191,22675.24191,70
22705.24191,22823.49016,71
22853.49016,22952.18552,72
23002.75609,23122.75609,73
23195.74908,23315.74908,74
23355.50884,23475.50884,75
23505.50884,23579.24591,76
23609.24591,23675.47548,77
23705.47548,23815.48215,78
23845.48215,23912.21221,79
23942.21221,24012.51251,80
24051.20454,24171.20454,81
24201.20454,24241.44144,82
24271.44144,24379.24591,83
24439.22589,24559.22589,84
24667.95462,24787.95462,85
24817.95462,24882.74942,86
24912.74942,25004.27094,87
25035.75576,25155.75576,88
25185.75576,25301.7017,89
25331.7017,25426.45979,90
