start_time	end_time	transcript
0.00	3.00	g
3.00	8.00	me
23.98	27.00	read
267.00	292.24	in
292.24	296.80	2日に入れた
296.80	299.70	僕の新しい物語が始まる
299.70	302.10	ガレリアが僕を動かす
302.10	304.44	遊びがいつの間にか本気になって
304.44	307.04	挑戦を続ける自分がいた
307.04	308.60	一番になりたい
308.60	310.64	初めてそう思った
310.64	313.44	僕ならできる
313.44	317.64	さあガレリアとその先の世界
317.64	319.04	ゲーミングパソコ
319.04	321.36	ガレリア
322.24	324.24	ガレリアとその先の世界
324.24	326.24	ゲーミングパソコンガレリア
326.24	328.24	私の新しい物語が始まる
328.24	330.24	ガレリアが私を変える
330.24	334.24	こんなに仲間ができるなんて
334.24	336.24	もうっとみんなと繋がりたい
336.24	338.24	一歩踏み出せば
338.24	340.24	一歩変われる
340.24	342.24	私がそうだったように
342.24	346.24	さあガレリアとその先の世界
346.24	348.24	ゲーミングパソコンガレリア
348.24	350.24	ゲーミングパソコンガレリア
408.24	410.24	さあガレイアチェック
411.36	414.34	すごい良いね
498.24	503.24	このパン実はねまめでできたパンなの
503.24	520.24	もっちり美味しいしかもグルテンフリンこんなパン待ってた全部ブレット
521.24	530.24	無償に食べたいときってありますよね私は全部
530.24	534.24	食べよう思いっきり
534.24	537.24	全部
550.24	552.24	ん
552.24	557.24	ん
557.24	560.24	ん
560.24	562.24	ん
562.24	565.24	ん
565.24	568.24	ん
568.24	570.24	ん
570.24	572.24	ん
572.24	575.24	ん
575.24	577.24	ん
577.24	585.24	ん
585.24	587.24	ん
587.24	589.24	ん
589.24	593.24	ん
593.24	596.24	ん
596.24	600.24	ん
600.24	602.24	ん
602.24	604.24	ん
604.24	606.24	ん
606.24	610.24	ん
610.24	612.24	もん
612.24	613.24	おじこんじゃん
613.24	615.24	もん
615.24	618.24	わたしかがやい
618.24	619.24	てる
619.24	620.24	てん
620.24	622.24	しんじてたん
622.24	624.24	ん
624.24	627.24	ん
627.24	629.24	ん
629.24	631.24	ん
631.24	633.24	ん
633.24	635.24	ん
635.24	637.24	ん
637.24	639.24	ん
639.24	641.24	ん
669.24	671.24	かえそんな
671.24	673.24	消えた望み
673.24	677.24	誰にも気づいて
677.24	681.24	もらえないよる
681.24	684.24	ん
699.24	701.24	me
701.24	703.24	me
703.24	705.24	me
705.24	707.24	me
707.24	709.24	me
709.24	711.24	me
711.24	713.24	me
713.24	715.24	me
715.24	717.24	me
717.24	719.24	me
719.24	725.24	ずっとずっと思ってた幸せだから
725.24	731.24	きっと君にも会えるってそう思い込んでる
731.24	735.24	海を越え
735.24	738.24	どこまでも
738.24	745.24	君と手と手を繋る夢を見てる
745.24	749.24	気づついちゃっても
749.24	751.24	落ち込んじゃっても
751.24	757.24	ほんとの私はおいしいんだよ
757.24	761.24	飲み出してこ
761.24	765.24	さらずやってこ
765.24	769.24	あの街がどて君に
769.24	773.24	会えるまで
781.24	783.24	あ
783.24	787.24	あ
787.24	791.24	あ
793.24	797.24	あ
797.24	801.24	あ
801.24	805.24	あ
805.24	807.24	あ
867.24	896.24	さあ 世界中目のマイルス 人生最高の一日にしてもらいます
896.34	901.24	決勝戦 日霈は逃さない
902.54	911.74	勝ち終わりました!
926.24	929.36	さあ、皆さんは大変ながらくお待たせいたしました。
929.36	933.96	LGX ER5 APACのスプロリーグスプリット1V5を送りいたします。
933.96	936.52	実況の原口大きいですと、よろしくお願いします。
936.52	939.32	そして、解説はDG3です。よろしくお願いします。
939.32	942.12	はい、解説を担当します。DGです。本日はよろしくお願いします。
942.12	943.60	はい、よろしくお願いします。
943.60	947.32	さあ、プロリーグいよいよ、最終集中となりましたが、
947.32	951.72	4月の中旬から始まって、結構2ヶ月チャックという感じになりましたけども、
951.72	953.08	ここまでご覧のっていかがですか?
953.08	956.08	はい、ちょっと相手はいましたが、気づけば、
956.08	957.08	そうですよね。
957.08	959.08	今までリージョンファナルが決まるので、
959.08	962.08	そこから世界中で出てくるチームを決まってくるので、
962.08	964.08	今日の結果楽しみですね。
964.08	966.08	環境もね、途中でちょっと変わって、
966.08	968.08	スパローを入ってきたりとか、
968.08	971.08	選手も敵を難しかったシーズンだったんじゃないかなと思いますけど、
971.08	972.08	そのあったりいっかりですか?
972.08	974.08	そうですね。やっぱり、途中で、
974.08	977.08	メタが変わったりすると選手も敵を乗る力を、
977.08	979.08	ただで、サイレジンドバンで、
979.08	980.08	いや、そうなんですよ。
980.08	981.08	対応力求められているのは、
981.08	982.08	あっているんですけど、
982.08	984.08	さらにそこで新しいキャラクターが出てきたりする、
984.08	986.08	中でもやっぱり上位とっているチームは、
986.08	989.08	敵を力のあってさすがだなと思いますね。
989.08	990.08	はい。
990.08	995.08	そろなかでも、ちょっと新世代と言われるような新しい選手たちの役堂の
995.08	998.08	アリッツを送りしてきた最新週でありますから、
998.08	1000.08	どんなチームが最後活躍するのか、
1000.08	1001.08	非常に楽しみです。
1001.08	1004.08	では、まずはスプリット版プロリーグに共産いただいている
1004.08	1005.08	スポンサーのご紹介です。
1007.08	1008.08	まずはガレリアです。
1008.08	1011.08	PCゲームの魅力を最大限に引き出し、
1011.08	1014.08	プレイアの可能性を広げることを目指すゲーミングPCガレリア。
1014.08	1018.08	高いパフォーマンスが要求されるPCゲームをより多くの人が
1018.08	1021.08	楽しめるよう、ガレリアは最新パーツを採用した
1021.08	1024.08	4シリーズと豊富なモデルをご用意しています。
1024.08	1027.08	初めての一台から、4Kのビレーで高選再な
1027.08	1030.08	ゲーム世界を楽しめるハイエンドマシンはもちろん、
1030.08	1033.08	ご観を解きすまし、結果がすべてのストイックな強技心まで、
1033.08	1036.08	プレイアが求めるスタイルや環境にお答えします。
1036.08	1040.08	A-MDは世界の消費者の日常の生活、
1040.08	1043.08	仕事、遊びを工場させるために可能性の限界を
1043.08	1047.08	押し上げる構成ので、適用性の高い製品開発に注力しています。
1047.08	1051.08	アスロックはマザーボード、グラフィックカード、
1051.08	1054.08	グラフィックスカード、電源ユニット、エキショーモニター、
1054.08	1058.08	ミニPCなどを取り扱うPCメ、PCパーツメーカーで、
1058.08	1063.08	皆様に安心して長くお使いいただける製品作りを心掛けています。
1064.08	1068.08	ガレリアはA-MD及びアスロックとの強力なパートナーシップのもと、
1068.08	1071.08	A-LG-S A-PACのおスタイ会をサポートしていきます。
1071.08	1076.08	この強力体制によりE-Sportsのサラナル発展とプレイアの活躍をさせています。
1078.08	1082.08	ガレリアとA-MDはA-LG-S E-R-5 A-PACの制強産し、
1082.08	1085.08	合わせで大会強産モデルを販売中です。
1085.08	1088.08	A-LG-S E-R-5大会強産モデルは、
1088.08	1092.08	ガレリアのA-LG-S E-R-5 A-PACのス強産を記念したモデルで、
1092.08	1095.08	A-PACのプレイにもお勧めです。
1095.08	1100.08	Line-UpはA-MD搭載PCの全6記者、A-PACのステップで、
1100.08	1105.08	PCで回適プレイしたい方にお勧めのスペックとなっております。
1105.08	1107.08	全てのモデルには、
1107.08	1112.08	高入特点としてA-LG-S E-R-5大会強産モデルオリジナルカベガミを
1112.08	1114.08	初期設定してお届けします。
1114.08	1120.08	紹介機動地からA-PACスレジェンズのモチベーションが上がることを間違いなしとなっております。
1120.08	1122.08	特にお勧めのモデルは、
1122.08	1126.08	7800X3D搭載のガレリア、
1126.08	1129.08	X-A-7R-78-XT、
1129.08	1131.08	勝ちにこだわるプレイアニアもちろん、
1131.08	1136.08	これからA-PACスレジェンズを始める方にもお勧めのハイスペックモデルです。
1136.08	1138.08	詳しくはこちらのQRコード、
1138.08	1142.08	またはYouTube配信概要欄から販売ページをご確認ください。
1142.08	1146.08	続いては全部です。
1146.08	1150.08	E-Sportsに関わる全ての人のパフォーマンスと健康サポートしたい。
1150.08	1152.08	そんな思いから、
1152.08	1156.08	体にも地球にも優しいウェルビーイングな食性活を提案すれブランド、
1156.08	1160.08	全部が新たな強産スポンサーとして登場しました。
1160.08	1163.08	P-プロテインの原料理もなっているスーパーフード、
1163.08	1165.08	キーエンドオマメを始め、
1165.08	1167.08	食物をできる限り丸ごと使うことで、
1167.08	1170.08	素材そのもののA用とお椅子を楽しめる、
1170.08	1174.08	体にも地球にも優しい商品ライナップ化特徴です。
1174.08	1177.08	長時間にもウェルビーイングパフォーマンスと、
1177.08	1179.08	コンディショニング一応目指すつ、
1179.08	1181.08	実は地球にも良いことができちゃう、
1181.08	1183.08	今までになかった新しい食のスタイルを
1183.08	1186.08	このA-L-G-Sから発信していきたいと思います。
1186.08	1190.08	それでは本日は全部チップスをいただきたいと思いますが、
1190.08	1192.08	2人の人にも食べていただきたいと思います。
1192.08	1193.08	今後にやるんですけど、
1193.08	1194.08	いただいてみます。
1194.08	1195.08	はい、お願いします。
1196.08	1197.08	良い音。
1201.08	1202.08	すごいサクサク。
1203.08	1204.08	行ってますね。
1207.08	1208.08	すごい辛い。
1208.08	1209.08	もうぐもぐ。
1209.08	1210.08	いや、美味しそうだなぁ、
1210.08	1212.08	止めながら、役を見てますけどもね。
1214.08	1215.08	一口食べてみて、
1215.08	1216.08	このままのエンドオマメ。
1216.08	1218.08	キーエンドオマメの味がすごいしっかりする。
1219.08	1220.08	味付けになっていて、
1220.08	1223.08	ほら、塩の塩味も感じられるような味になってます。
1223.08	1224.08	なるほど。
1224.08	1226.08	本当に砂区感覚でちょっといただけるような、
1226.08	1227.08	焼食感もね、
