start_time	end_time	transcript
0.00	2.78	表一のミニー ライルルとは少し個人材!!
5.28	7.48	完営raispost!
15.78	18.62	この Again!
18.62	20.60	ok!
20.60	23.10	メンボする!
23.10	24.70	 They rev played when earlier
24.70	26.56	ねぇ目のプレイ まぁ!
26.56	27.86	マカシィリーノ!
27.86	29.70	東町のテップレーブь!!
59.70	67.34	頑張れん
67.34	69.66	1 용筋エカされ
70.20	71.18	4
75.04	76.42	放置
79.28	82.00	青運豊
82.00	82.72	ダンチャット
82.72	83.78	アーダー
85.28	87.06	回遣
87.34	88.96	楽しみ
88.96	92.60	学習
93.62	95.48	懐から
95.48	96.96	誰も
97.34	100.38	 If There is Any Đ��くらい in the top 10
100.40	111.34	 The
111.38	121.36	 Comment !
157.34	160.86	ed
162.86	166.62	sony &zone
166.62	180.50	goo
180.50	186.50	will
186.50	205.46	個人物を着信す必要と思います
205.46	207.48	ああみんな
207.48	208.00	皆さんああ
208.00	209.84	ス recursos
209.84	210.46	やそうですね
210.70	211.26	出版
213.26	214.14	拡遣
214.14	221.54	いくつを効くと立iresで結ばれ魂の中いとプライフに供ø相撲とかつやかい para 느�es
221.72	225.14	この子などは2Sampleの勝負につなった
225.38	229.40	よう気者消去させたない
229.92	233.64	Azion Hallsonを仕事講 B expectations
233.86	238.10	なぁいPacktulをたに付くことたけど
238.10	238.90	B skills
238.90	242.62	カバーでジャンプアルバイトさよなら
242.84	249.00	ゲームの透きにster 뵈を使ってすげたは文化に線を鎖定し、
249.00	268.28	どれもワンチアル緻の場上に並れた時にシDDを教えてあげたowser to get a chance to play
298.28	300.28	me
300.28	302.28	goo
302.28	304.28	me
304.28	306.28	me
306.28	308.28	me
308.28	310.28	me
310.28	312.28	me
312.28	314.28	me
314.28	316.28	me
316.28	318.28	me
318.28	320.28	me
320.28	322.28	me
322.28	324.28	me
324.28	326.28	me
326.28	327.28	me
327.28	329.28	me
329.28	331.28	me
339.28	341.28	me
341.28	344.28	me
344.28	347.28	me
347.28	349.28	me
349.28	351.28	me
351.28	353.28	me
353.28	355.28	me
355.28	357.12	me
417.12	419.12	、、えぇ、、
419.12	422.72	私はこんな流吹を登る様々なlocal
422.72	424.06	とようかなぜ
424.06	426.86	そしてありがとう
426.86	429.42	僕が父親を出現しました
429.42	433.12	sueの人との手に乗ってしまった
433.12	435.20	この旗輝をのせて
435.20	436.16	 Willables
436.16	437.84	 Willables
437.84	438.78	被平気がたらん
439.48	440.88	 These look great
440.88	446.88	要的是
446.88	451.86	にったい no
451.86	461.38	夕
462.88	471.88	とりあえず
471.88	472.50	この
472.50	474.24	躍ん
474.24	476.18	緑
476.18	501.26	きれるはない
506.18	508.98	リラドケano
515.50	517.82	ハム
517.94	521.42	テ ready
521.42	524.14	デル1
524.90	525.86	展で
527.36	531.94	ペイト
532.84	534.52	バター
534.88	537.40	コush
538.06	539.08	ダーーン
539.72	540.44	没で
540.88	542.72	なに?
542.78	544.78	のAre you kidding me ?
547.28	548.94	優しい
549.14	551.06	ウォッ
552.02	554.64	やuff
572.00	573.90	できた
576.86	577.40	10
577.40	577.82	チェック
577.82	578.50	調節
578.50	580.04	4
611.42	620.12	タイムみず melts
621.22	624.56	うん
624.56	628.06	うん
628.06	636.94	いいね
641.42	645.02	 excerpt
645.02	647.34	 deu
647.34	649.16	連携 alternative
650.56	654.32	は視点
654.32	660.02	ずれ
662.46	664.42	2全て
665.80	667.42	調べ下さい
667.42	670.20	- えつこれ影片がオメだからそうです。 prefacizione
672.24	674.38	- ふひちょにありますが命の中いっぱい
674.38	675.86	- ぷりね一目の上に準備されてる
675.86	678.18	- の memorable
681.86	684.14	父者が自動した die
684.14	686.70	- まき Peggie
686.70	687.46	we can make Blunt how green.
690.58	692.34	- え person
695.28	696.30	- ニott
697.18	704.56	トヴァiejエツ window
709.88	711.82	プレイウントプレイ
711.82	714.38	プレーティール
720.38	722.72	たくさんた成功
723.36	725.82	だんだろう
726.30	731.06	 überallintageぶっちゃ to be right in call sorta
734.70	736.46	male
736.48	739.44	 luckily
740.46	743.96	Didian
744.60	746.70	l
747.98	750.26	これが
752.52	755.64	ブルウール
756.30	759.34	近くだ。初番にわかったね。
759.34	761.86	あるけど腕をも Loser上に行われかけない。
762.26	764.26	3つ目を行いてください!
767.22	776.30	comes
776.54	777.62	急い。
777.62	778.78	楽しみり当た brave
778.78	780.28	 теперь遠きらな候補ならない
780.28	781.66	じじめota
782.66	783.66	正しい
783.70	784.44	ximipped
784.90	787.40	俺が助かせる now
788.16	790.80	私は勝つ相手も
790.80	792.80	楽しく年を出している
792.82	794.84	私が倒してる
795.44	796.22	。
796.22	796.68	あのボタンを狙いで
797.20	798.90	うまじで
798.90	800.16	bilial
801.24	801.44	 и反押響
801.44	803.22	フINK
803.58	804.54	ドエキ
804.54	804.76	ビール
804.76	805.56	おにかに
805.56	805.60	これを
806.34	807.86	よく使って
808.26	809.20	ドエキ
809.20	810.30	聞こえよ
810.48	810.96	ビール
811.30	811.42	ほい
811.92	813.08	センデハンプ
813.20	814.00	ボタン
814.82	816.08	だい prosecution
817.98	819.08	ありがとうございました
820.00	827.32	わずゅお殿
828.44	830.58	完全哨んだ
831.68	833.00	いえ
834.56	837.26	ライド風生水原
837.26	838.18	目icy�か
838.18	838.30	で force
838.30	840.22	十二 upside
840.22	840.36	are
840.36	840.96	itten
840.96	841.44	 rapidement
841.44	843.66	に日本
843.66	846.00	モノになるわ
846.00	847.74	お信頼者をだけで
847.74	851.16	ノーミィッブトに貼れる
857.64	859.72	この confirming
860.36	861.30	今も
861.30	867.48	ゴッチャー
987.48	992.64	ああ が
992.64	993.30	が
999.80	1001.32	 On
1001.32	1009.12	Live
1009.12	1010.44	You
1010.44	1011.54	N
1011.54	1012.98	What
1012.98	1013.88	esse
1073.88	1075.54	と思います。
1075.72	1078.38	今はあまりのポテラーメリ成功。
1078.60	1080.58	オブ working teamで作った時に、
1080.86	1083.22	ツンビーブーやってたのに ラブスタリーが
1083.56	1086.06	コメントでボタンのティブィーキャスクが
1086.10	1086.90	弾いたことをやってたってみよう。
1086.98	1088.48	さんの f they were Deutschlanders
1088.72	1090.72	ここで日本のラブンとしてくれ様子というのが
1091.06	1094.28	そこまで私たちとプレゼントの
1094.78	1096.58	記者、プレゼントの人生に来ても
1096.80	1098.92	私たちで ねだらけない捐 Voider
1098.98	1100.96	 Using Hand エピェコラー
1101.18	1103.38	結果 どうなんですか?
1103.38	1105.38	1v9
1105.38	1107.38	1v2
1107.38	1109.38	1v3
1109.38	1111.38	1v2
1111.38	1113.38	1v3
1113.38	1115.38	1v1
1115.38	1117.38	1v2
1117.38	1119.38	1v2
1119.38	1121.38	1v2
1121.38	1123.38	1v2
1123.38	1125.38	1v2
1125.38	1127.38	1v2
1127.38	1129.38	1v2
1129.38	1131.38	1v2
1131.38	1132.38	1v2
1132.38	1134.38	1v3
1134.38	1136.38	1v3
1136.38	1138.38	1v3
1138.38	1140.38	1v3
1140.38	1142.38	1v3
1142.38	1144.38	1v3
1144.38	1146.38	1v3
1146.38	1148.38	2v3
1148.38	1150.38	1v
1154.38	1156.38	1v3
1156.38	1158.38	1v3
1158.38	1160.38	1v3
1220.38	1224.10	同士とivering ウィンキフ Northwestは
1224.10	1226.36	CM2にこぼけてが
1226.36	1228.38	それを気づかーーす
1228.38	1238.18	ぜひぜひ
1238.18	1238.88	まさない生き物の
1238.88	1239.40	家旅を 20151月9日が
1239.40	1241.74	生活などの
1241.74	1243.62	間の注目だと
1243.62	1247.14	僕は
1247.14	1248.02	早速生ない
1248.02	1252.06	いつもとらいいかと思うもちっつり 私はとった馬区学で起こせね
1252.14	1255.38	やっぱり初めて気が加えない時なんだな
1255.46	1257.30	今的に保護した結果が、
