start_time	end_time	transcript
30.00	35.00	ん
35.00	39.00	ん
39.00	42.00	ん
42.00	46.00	ん
46.00	50.00	ん
50.00	55.00	ん
55.00	59.00	ん
59.00	62.00	ん
62.00	65.00	ん
65.00	68.00	ん
68.00	71.00	ん
71.00	74.00	ん
74.00	77.00	ん
77.00	80.00	ん
80.00	84.00	ん
84.00	87.00	ん
87.00	90.00	ん
90.00	93.00	ん
93.00	96.00	ん
96.00	99.00	ん
99.00	102.00	ん
102.00	105.00	ん
105.00	108.00	ん
108.00	112.00	ん
112.00	115.00	ん
115.00	117.00	ん
117.00	119.00	ん
119.00	122.00	ん
122.00	125.00	ん
125.00	128.00	ん
128.00	131.00	ん
131.00	134.00	ん
134.00	137.00	ん
137.00	140.00	ん
140.00	143.00	ん
143.00	145.00	ん
145.00	147.00	ん
147.00	150.00	ん
150.00	152.00	ん
152.00	155.00	ん
155.00	158.00	ん
158.00	161.00	ん
161.00	163.00	ん
163.00	166.00	ん
166.00	169.00	ん
169.00	172.00	ん
172.00	174.00	ん
174.00	176.00	ん
176.00	179.00	ん
179.00	182.00	ん
182.00	184.00	ん
184.00	187.00	ん
187.00	190.00	ん
190.00	192.00	ん
192.00	195.00	ん
195.00	198.00	ん
198.00	201.00	ん
201.00	203.00	ん
203.00	205.00	ん
205.00	208.00	ん
208.00	211.00	ん
211.00	213.00	ん
213.00	216.00	ん
216.00	219.00	ん
219.00	221.00	ん
221.00	224.00	ん
224.00	227.00	ん
227.00	229.00	ん
229.00	232.00	ん
232.00	234.00	ん
234.00	237.00	ん
237.00	239.00	ん
239.00	241.00	ん
241.00	244.00	ん
244.00	247.00	ん
247.00	250.00	ん
250.00	254.00	ん
254.00	257.00	ん
257.00	259.00	ん
259.00	261.00	ん
261.00	264.00	ん
264.00	267.00	ん
267.00	269.00	ん
269.00	272.00	ん
272.00	275.00	ん
275.00	277.00	ん
277.00	280.00	ん
280.00	283.00	ん
283.00	286.00	ん
286.00	288.00	ん
288.00	290.00	ん
290.00	291.00	ん
291.00	292.00	ついに手に入れた
292.00	294.00	僕の新しい物語が始まる
294.00	296.00	ガレリアが僕を動かす
296.00	299.00	遊びがいつの間にか本気になって
299.00	301.00	挑戦を続ける自分がいた
301.00	303.00	一番になりたい
303.00	305.00	初めてそう思った
305.00	307.00	僕ならできる
307.00	308.00	さあ
308.00	311.00	ガレリアとその先の世界へ
311.00	315.00	ゲーミングパソコンガレリア
315.00	317.00	ガレリア
317.00	320.00	ん
320.00	322.00	ん
322.00	324.00	やっと手に入れた
324.00	327.00	私の新しい物語が始まる
327.00	330.00	ガレリアが私を変える
330.00	333.00	こんなに仲間ができるなんて
333.00	335.00	もっとみんなと繋がりたい
335.00	337.00	一歩踏み出せば
337.00	339.00	きっと変われる
339.00	341.00	私がそうだったように
341.00	342.00	さあ
342.00	344.00	ガレリアとその先の世界へ
344.00	347.00	ゲーミングパソコンガレリア
347.00	349.00	ん
349.00	352.00	ん
352.00	354.00	ん
354.00	356.00	ん
356.00	359.00	ん
359.00	361.00	ん
361.00	364.00	ん
364.00	367.00	ん
367.00	369.00	ん
369.00	371.00	ん
371.00	373.00	ん
373.00	374.18	ん
374.18	376.00	ん
377.00	378.00	ん
378.00	380.00	ん
383.00	385.00	ん
385.00	387.00	ん
387.00	389.00	ん
389.00	389.62	ん
389.62	390.22	ん
390.22	393.00	ん
393.00	394.02	ん
394.02	396.00	ん
