start_time	end_time	transcript
0.00	1.80	 but also
1.80	5.56	 kind of illustrate the point that we've mentioned quite a few times we talked about at the beginning of the series
5.68	9.18	 He even set himself the first two lands. He was nervous
9.20	13.04	 And now is kind of gotten into a rhythm where he feels settled and feels much more
13.66	15.78	 confident looks and sounds more confident
15.78	19.20	 Yeah, and that's what we're talking about when
19.52	24.28	 experience comes into play for our established LGS teams versus some of those new squats
24.28	28.96	 I mean, he's also a player that has gone through the ringer when we talk about roster changes galore
28.96	40.16	正 Mich There
58.96	61.96	結構ないプランターに行くれるのだ。
62.42	66.44	走がさずmente化われがないづかかないと思ってさ
66.92	75.76	うたしというオープンは
76.48	79.12	人手形に伝わったふうが
79.12	81.66	確に loaderだったな。
81.80	84.86	スペリッティの理論も
85.08	87.82	カプデイを変えています。
87.82	91.82	虎 비じ現に来klichな
91.82	93.82	スパスタに何か要ってるけど
93.82	95.82	後漬けの中に
96.82	99.32	よきもまだ
99.32	101.78	 th
101.78	104.34	言いいうくらい
104.34	106.82	ピーナ希望も
106.82	108.82	電話を知ってくれ
108.82	109.92	意志と
109.92	111.52	見っ込みしない
111.52	112.32	電話っても
112.32	114.54	ini
114.54	116.80	ピビュッドales
116.80	119.00	最低になった people can see that Matt ν elder
119.00	136.06	 ygo
136.06	149.40	ですが楕子が Хingagoを mah 大らかに
149.40	154.92	もうパンはなあになった
154.92	160.16	前回ともって、ailing ball playerチーズ入って参考の待生を仕上げすぎました。
160.28	162.28	他们には優しかったわけですね。
162.44	164.30	 in レイキン w discovery
164.40	167.66	発売された時だけの受験に続くプストの
167.66	170.72	テーマに業界を活動しますし、
170.82	172.56	後 Immortion Immortion
172.56	176.34	中でたなんで相手のような試合はみんな晋されました。
176.34	179.24	今回もターボールをおそろ証明さんお願いします。
179.60	182.24	今回は最初は及守の試合の就是で中身の名簪が
182.24	187.50	さよなら
188.48	190.62	です
190.62	193.02	We have broken ground on new winners in a
193.02	195.34	FOTE of our first series and will continue to
195.34	199.26	Ilight more new faces and old veterans and
199.26	202.38	stars of our ALGS in just a bit.
202.38	205.34	We're going to take a quick break and make sure
206.06	208.78	 that when you guys are wanting to know whenever
208.78	211.02	 these things come up timing wise, you can
211.02	213.18	 always check out Play Apex eSports on
213.18	216.06	X4 Play Apex eSports on YouTube for twitch.tv
216.06	218.38	slashplayapex for the schedule upcoming about
218.38	221.02	50min we'll be right back to finish off the day
221.02	224.46	 here at the ALGS Open in day 1
237.02	239.26	 if i just stood up, what it look like i'm
239.26	243.82	I'm wearing this because someone bravely
308.60	337.26	www
337.26	339.80	イラー
339.80	342.32	オーナー
667.26	670.60	それだけ愛できる�の笑いがありましょう
697.26	699.26	1
699.26	701.26	2
701.26	703.26	5
703.26	705.26	1
705.26	707.26	1
707.26	709.26	1
709.26	711.26	1
713.26	715.26	1
715.26	717.26	1
