start_time	end_time	transcript
0.00	4.66	今回は治ばってね
4.66	7.60	これは就是
7.60	8.96	信号では一個に制定する
17.96	20.20	第o
260.20	270.28	ap
270.28	272.28	あ
288.84	290.60	ついに手に入れた
290.60	292.60	僕の新しい物語が始まる
293.56	295.56	ガレリアが僕を動かす
295.96	298.20	遊びがいつの間にか本気になって
298.20	300.20	挑戦を続ける自分がいた
300.84	302.04	一番になりたい
302.36	303.56	初めてそう思った
304.36	305.56	僕ならできる
307.16	307.96	さあ
307.96	309.96	ガレリアとその先の世界へ
311.48	313.48	ゲーミングパソコンガレリア
318.76	319.96	やっと手に入れた
320.44	322.44	私の新しい物語が始まる
324.52	326.52	ガレリアが私を変える
327.32	329.08	こんなに仲間ができるなんて
329.08	329.88	くれだよと
329.88	331.56	もっとみんなと繋がりたい
332.76	334.04	一歩踏み出せば
334.36	335.40	きっと変われる
335.96	337.48	私がそうだったように
338.44	339.24	さあ
339.24	341.48	ガレリアとその先の世界へ
342.68	344.68	ゲーミングパソコンガレリア
386.68	388.20	よいやいや
405.96	407.96	次今見 Daniel
476.52	481.52	このパン実はね
481.52	485.52	まめでできたパンなの
485.52	488.52	ん
488.52	491.52	ん
491.52	495.52	ん
495.52	498.52	ん
498.52	501.52	ん
501.52	505.52	ん
505.52	507.52	ん
507.52	509.52	ん
509.52	512.52	ん
512.52	515.52	ん
515.52	517.52	ん
517.52	520.52	ん
520.52	524.52	ん
524.52	528.52	ん
528.52	530.52	ん
530.52	532.52	ん
532.52	534.52	ん
534.52	536.52	ん
536.52	539.52	ん
539.52	541.52	ん
541.52	544.52	ん
544.52	546.52	ん
546.52	549.52	ん
549.52	552.52	ん
552.52	554.52	ん
554.52	557.52	ん
557.52	560.52	ん
560.52	562.52	ん
562.52	564.52	ん
564.52	566.52	ん
566.52	569.52	ん
569.52	572.52	ん
572.52	574.52	ん
574.52	577.52	ん
577.52	580.02	ん
580.02	581.52	ん
581.52	585.52	ん
585.52	588.52	ん
588.52	591.52	ん
591.52	595.22	少し違うくらいでいい
595.22	601.82	そんなこと話ってた夜もあるよ
601.82	605.52	気づついちゃっても
605.52	608.52	おじこんじゃっても
608.52	613.52	私輝いてるって
613.52	617.52	信じてた
621.52	625.52	なに
625.52	627.52	見た目ね
627.52	629.52	私は
629.52	631.52	私は
631.52	633.52	私は
633.52	635.52	私は
635.52	638.52	私は
638.52	641.52	私は
641.52	645.52	私は
645.52	648.52	私は
648.52	650.52	私は
650.52	652.52	私を
652.52	653.52	して
653.52	655.52	ちゃうど
655.52	658.52	もう大体ないなんて
658.52	662.52	思わないの
662.52	665.52	どうか返そうな
665.52	668.52	消えた望み
668.52	669.52	誰にも
669.52	671.52	気づいて
671.52	676.52	もらえないよる
710.52	714.52	ずっとずっと
714.52	716.52	思ってた
716.52	719.52	幸せだから
719.52	721.52	きっと君にも
721.52	722.52	あえるって
722.52	726.52	そうしんじってる
726.52	729.52	海を越え
729.52	732.52	どこまでも
732.52	734.52	君と手と手を
734.52	739.52	繋る夢を見てる
739.52	742.52	気づついちゃっても
742.52	745.52	おじこんじゃっても
745.52	749.52	本当の私は
749.52	752.52	おいしいんだよ
752.52	755.52	飲み出してこ
755.52	758.52	さらずやってこ
758.52	763.52	あの街から出来る
763.52	767.52	あえるまで
889.52	892.52	この一日にしておられましょう
892.52	893.52	決勝戦
893.52	895.52	リザー開幕
895.52	900.52	チュレートリンザー
900.52	902.52	撮った
902.52	904.52	フランゲット
920.52	923.52	皆さんも
923.52	925.52	また生きました
925.52	929.52	LGS EAR5
929.52	931.52	アーパックスプロリーグ
931.52	933.52	スプリット1
933.52	935.52	美術フォーの模様を
935.52	937.52	本日をお届けして
937.52	939.52	まいります
939.52	941.52	実況を担当する顔の回期
941.52	943.52	よろしくお願いします
943.52	946.52	そして解説はあれです
946.52	948.52	よろしくお願いします
948.52	951.52	まず先週繰り返っていくか
951.52	953.52	スパローという
953.52	954.52	新キャラクター
954.52	955.52	そちらの方が
955.52	957.52	非常に疲れた
957.52	959.52	VX3でございましたね
959.52	961.52	新キャラって今まで
961.52	963.52	そんなに疲れたイメージはないじゃないですか
963.52	965.52	スパローは
965.52	967.52	今弱いという中でも
967.52	969.52	評価としては高い
969.52	972.52	選手アプリティーの
972.52	974.52	作的能力であったり
974.52	975.52	アルテメットの
975.52	977.52	中で強さというところ
977.52	979.52	どちらも一週目で
979.52	980.52	バンされていくという
980.52	981.52	ね形でも
981.52	982.52	なるぐらいの
982.52	983.52	人気なデジェンドでしたが
983.52	985.52	今日もどんな活躍であったりとか
985.52	986.52	あとは使い方が
986.52	987.52	見られるのか
987.52	988.52	というところ楽しみですね
988.52	989.52	さあそれから
989.52	990.52	まずは
990.52	991.52	スプリット1プロリーグに
991.52	992.52	共産いただいている
992.52	994.52	スポンサーのご紹介です
994.52	995.52	まずは
995.52	996.52	アレリアです
996.52	997.52	PCゲームの魅力を
997.52	999.52	最大限に引き出し
999.52	1000.52	プレイアの可能性を
1000.52	1001.52	広げることも
1001.52	1002.52	目指す
1002.52	1003.52	ゲーミングPCの
1003.52	1004.52	アレリア
1004.52	1005.52	高いパフォーマンスが
1005.52	1006.52	PCゲームを
1006.52	1007.52	より多くの人が
1007.52	1008.52	楽しめるよ
1008.52	1009.52	ガレリアは
1009.52	1010.52	最新パーツを
1010.52	1011.52	参用した
1011.52	1012.52	4シリーズと
1012.52	1013.52	豊富なモデルを
1013.52	1014.52	ご用意しています
1014.52	1015.52	初めての一台から
1015.52	1016.52	4Kの
1016.52	1017.52	ビレーで
1017.52	1018.52	構成さえな
1018.52	1019.52	ゲーム世界を
1019.52	1020.52	楽しむ
1020.52	1021.52	ハイエンドマシンは
1021.52	1022.52	もちろん
1022.52	1023.52	ご観を解きすまし
1023.52	1024.52	結果がすべての
1024.52	1025.52	ストイックな強議心まで
1025.52	1026.52	プレイアが
1026.52	1027.52	求めるスタイル
1027.52	1028.52	や環境に
1028.52	1029.52	お答えいたします
1029.52	1030.52	A-M-L-E
1030.52	1031.52	世界中の
1031.52	1032.52	消費者の
1032.52	1033.52	日常の生活
1033.52	1034.52	仕事
1034.52	1035.52	させるために
1035.52	1036.52	可能性の
1036.52	1037.52	限界を
1037.52	1038.52	押し上げる
1038.52	1039.52	構成の
1039.52	1040.52	で
1040.52	1041.52	適用性の
1041.52	1042.52	高い
1042.52	1043.52	製品開発に
1043.52	1044.52	注力しています
1044.52	1045.52	アスロックは
1045.52	1046.52	マザーボード
1046.52	1047.52	グラフィックスカード
1047.52	1048.52	電源ユニット
1048.52	1049.52	いき象をもり
1049.52	1050.52	た
1050.52	1051.52	ミニピーシーな
1051.52	1052.52	ドオートリア使う
1052.52	1053.52	PCパーツメーカーで
1053.52	1054.52	皆様に安心して
1054.52	1055.52	長くお使いいただける
1055.52	1056.52	製品作りを
1056.52	1057.52	心がけています
1057.52	1058.52	ガレリアは
1058.52	1059.52	AMD
1059.52	1060.52	及び
1060.52	1061.52	アスロックとの
1061.52	1062.52	強力な
1062.52	1063.52	パードナーシップの
1063.52	1064.52	エールジェス
1064.52	1065.52	A-PACの
1065.52	1066.52	ス対回を
1066.52	1067.52	サポートしています
1067.52	1068.52	この
1068.52	1069.52	強力体制により
1069.52	1070.52	Eスポーツの
1070.52	1071.52	サラナル発展と
1071.52	1072.52	プレーユの
1072.52	1073.52	活躍を
1073.52	1074.52	製品を
1074.52	1075.52	座します
1075.52	1076.52	ガレリアと
1076.52	1077.52	AMDは
1077.52	1078.52	LGS
1078.52	1079.52	ER 5
1079.52	1080.52	A-PACの
1080.52	1081.52	成竵算し
1081.52	1082.52	合わせで
1082.52	1083.52	対回競算モデルを
1083.52	1084.52	販売
1084.52	1085.52	ApplgS
1085.52	1086.52	ER5
1086.52	1087.52	体回競算モデル
1087.52	1088.52	A-PAC
1088.52	1089.52	強算を
1089.52	1090.52	記念したモデルで
