start_time	end_time	transcript
0.00	2.00	1回応望せまぐり向かいます
7.00	9.00	この夏最後のマウンドになります
18.00	20.00	先浦高等の奥側
20.00	23.00	4支合32回と3分の1位に
23.00	25.00	1回応望せまぐり向かいます
25.00	27.00	先浦高等に1位
27.00	30.20	4試合32回と3分の1位人
30.20	31.72	知店は1位あるんですが
31.72	33.52	お屋さん 実践はありません
33.52	36.16	素晴らしい性責ですよね
36.16	37.56	高校生としては
37.56	40.96	本当にトップクラスのオピッチャーですよね
40.96	43.16	この奥側の立ち上がり
43.16	46.20	この決勝戦の一つ大きなポイントになるであろう
46.20	49.40	理性者高校の一番のモモタニーとのこの対戦ですね
49.40	50.44	そうですよね
50.44	52.80	どんな球から入ってきますかね
52.80	55.04	モモタニー君が打って失理すると
55.04	58.76	理性者は生き続きというふうに気になると思います
58.76	61.88	逆にそれを奥側が押さえ込むと
61.88	65.60	成料がこれまた成料をいけるぞという気持ちになる
65.60	69.44	そういった意味で非常にこのゲームの流れを裏なう
69.44	71.64	注目の第一出席だと思いますね
71.64	74.88	取り分けその第一出席の初級2回戦は
74.88	78.60	ツダガク園の前途中の141系のストレートを2ベース
78.60	81.96	3回戦は高校場技を払いの初級のカーブを打って
81.96	85.64	一人順順決勝回答第一の谷のストレートを打って
85.64	87.44	2ベース
87.44	95.48	どんなボールで決勝戦の初級奥側投手が入ってくるでしょうか
95.48	98.16	その初級です
98.16	102.40	初級を打って勝所
102.40	105.68	ボールがそれましたが打ちやなからを高え
105.68	108.80	モモタニー初級のストレートを打って勝所に変われました
108.80	111.64	一回のモテリ精車の攻撃です
111.64	114.32	やはりストレートで入ってくるので一番速いなタムの
114.32	116.00	しかもアウトコ
116.00	117.84	これが基本になるタムです
117.84	119.04	打ちやまくんね
119.04	121.40	取ってスロインが安定してるんですけど
121.40	122.48	ちょっと受きましたよね
122.48	123.88	非常に緊張しているっていうのが
123.88	126.00	考えますね
126.00	129.68	大谷さんもこの決勝戦の舞台選手として登場されています
129.68	131.12	独特の雰囲気があるんですよ
131.12	133.60	決勝戦はちょっと不意気が違いましたね
133.60	136.08	なかなかあのね
136.08	139.80	落ち着いてプレイができるのにちょっと時間がかかりましたね
139.80	141.88	チェンジアップを打ってレフト戦
141.88	146.64	伸びでいってトイターチョーダーになります
146.64	147.92	まだボールに置いかない
147.92	151.52	サンルイヤムタイヤム
151.52	155.12	モモタニー勝負れたと未来の行けだ
155.12	156.80	勝負が出ましてバンナーを取らんなぁ
156.80	161.32	サンルイ一回のモテリ精車の攻撃
164.12	166.32	挟んでいましたか
166.32	168.96	もう待っていたかのような打ち方ですよね
169.00	171.80	相当奥側君の背球をね
171.80	173.52	頭に入れた打ち方ですね
173.52	174.60	そうですか
174.60	176.64	成りをないやバッコン体制です
176.64	179.44	先生のチャンスを迎えた一回のモテリ精車
179.44	182.28	3番のサード2年生の小部方
187.80	191.28	まだ笑顔が見えます
191.28	193.80	どちらのテーマもこの決勝戦
193.80	198.08	先生点の重要性を話していました
198.08	202.08	2球インコースのストレートを続けて打ち取りました
205.08	208.96	1球ごとにランナーとことに大きな完成がある
208.96	211.40	公司へのプーラーを取らなさんでいいです
211.40	213.28	1回のモテリ精車の攻撃です
213.28	216.76	おやさん2球インサイドのストレートを続けました
216.76	219.96	非常に厳しいコースを注できましたよね
219.96	221.52	この犬を上くに対しても
221.52	227.20	インコースのボールが効果点使えるからですね
227.20	230.28	紹介から150キロを超えるストレートを
230.28	234.88	コーナーに投げ分けている奥がが
237.88	239.04	今のストレートに対する
239.04	241.04	広遊のスイングがちょっとね
241.04	244.64	あの繰り迫れてる感じですよね
249.80	251.52	広遊は追い込まれてから
