start_time	end_time	transcript
0.00	7.00	1本この中側はサウスポーで177時決しては小さくありませんけれども
7.00	12.00	電気の大型ウォアンの電頭は引きつまれていますはさ
12.00	15.00	どういう形で勝つにつながるか
15.00	19.00	一番見なかったんだったのもんもんもん
20.00	23.00	モンモカんとくの自然です
23.00	26.00	お兄さんには
26.00	30.00	この4月からの新東海大の新キャプテンです
33.00	35.00	ちながらしい
35.00	37.00	いいところにいましたが
37.00	39.00	一人は
39.00	43.00	何とー
43.00	45.00	いいときにも
46.00	48.00	一人は
48.00	49.00	何とー
49.00	51.00	高評
51.00	54.00	セカンドタイのファイプレーです
54.00	56.00	いいプレーですね
56.00	58.00	スコからよく処いにしましたね
58.00	59.00	そうでしたね
59.00	61.00	完全に見かけながら思ったんですよ
61.00	63.00	1ついって
63.00	66.00	11時1分のプレーボール
67.00	69.00	セントを終わった
69.00	71.00	まず一人ました
71.00	72.00	2番のカセダ
72.00	74.00	おもしろんな人からお話がありました
74.00	76.00	このカセダ君の方々が
76.00	79.00	おつか君の結上を救いましたね
79.00	80.00	そうなんでしょね
80.00	82.00	本当にごわりに気をするからね
82.00	83.00	はい
83.00	86.00	3試合ともひとを離っています
86.00	89.00	まとーかいでサラミは
89.00	92.00	カセダ君の方々が
92.00	95.00	おつか君の結上を救いましたね
95.00	97.00	かなり昔からですけど
97.00	99.00	分からんから結構いい選手がいっていました
99.00	102.00	このカセダも分からんはの出身です
104.00	106.00	まさに東海大学を引きます
106.00	109.00	1時に監督も分からんの出身です
109.00	111.00	東海大サラミの帯
111.00	113.00	1時に監督を使いました
123.00	125.00	ペンカチーを使いました
131.00	135.00	おかといの人人手勝で1人になっています
135.00	137.00	長週ちはレストライン
138.00	140.00	1人の一人
140.00	142.00	4人は2人で監督する
142.00	144.00	1人の一人で監督を使いました
144.00	146.00	1人の一人で監督を使いました
148.00	150.00	エラーが記録されます
150.00	152.00	フィットとエラーです
152.00	154.00	このコレで4試合で
154.00	156.00	全属一人のかせだ
158.00	159.00	おつか君のやつ
159.00	161.00	たまっているですね
163.00	165.00	東海大学は1、2回戦
165.00	167.00	非常に監督を使いました
167.00	169.48	しめていたんですけども
169.48	171.72	ほどというの順人化賞当たりから
171.72	174.24	出せるが勢くいています
174.24	176.00	3番の
176.00	179.12	そばの4もつけましたキャッチャーの子島
188.92	192.32	順人化賞ではタイムリ3別なあります
193.32	199.32	本間監督は1、2回戦ちょっと結果が出ていなかったので
199.32	202.32	そっけ的にシンをするように
202.32	204.32	そういう人達に市場を出しました
206.32	209.32	その結果な人人化賞14がんだ
209.32	211.32	8と9点
215.32	217.32	あとフラインがありました
217.32	219.32	なりた
223.32	226.32	そしてブループペンに今点に高校は
226.32	228.32	南沢東州が行っています
228.32	230.32	初東州ではありません
234.32	236.32	センターの左来ました
236.32	238.32	追い付きました
241.32	244.32	ツーアウトランナーにるいです
244.32	246.32	これもいい当たりだったんですが
246.32	248.32	横行きました
249.32	251.32	横行ってきました
251.32	254.32	左バッターがきっ張るではなくて
254.32	257.32	今クレセンターから
257.32	259.32	今のフラインが来る
259.32	262.32	今のフラインが来る
262.32	264.32	大戦がくれてきました
264.32	267.32	大戦で出場が4番です
267.32	270.32	シンバーに来る
270.32	273.32	シンバーに来る
273.32	276.32	大戦で出場が4番です
276.32	279.32	シンバー
279.32	282.32	180センチ8重動きを
282.32	284.32	非常にいいから倒しています
290.32	293.32	強烈な当たり
293.32	296.32	東海大西海先生の方向に置かります
296.32	298.32	風がホームイン
298.32	300.32	野盤のシバーから戦生
300.32	301.32	東海大西海
301.32	303.32	海道で行っても奪いました
