start_time	end_time	transcript
0.00	4.00	中央のピンチネワリゾイキッチング126球の感動でした。
5.00	9.00	さぁ32個が出場した今年の先発。
10.00	14.00	この決勝の舞台に上がります。
15.00	17.00	両チーム。
18.00	22.00	友にセリアイを生成してこの決勝までやってきました。
23.00	27.00	友達は、この選手の選手を選んでいるときは、
27.00	31.00	全ての試合、最初にマウンドに上がるという、
32.00	36.00	ここまでの戦いでる。
39.00	44.00	力強いバッキングを見せている高松町のその長い感動が1つキーマンと上げていた
45.00	49.00	一番進息の案材か、なあ点折の決勝が始まります。
50.00	52.00	セイフティー1との構えからです。
53.00	58.00	今、自然学園の村神がたら1人でマウンドを守っていました。
59.00	61.00	4試合で知っているわずかに、
62.00	65.00	素晴らしいところに来てみました。
66.00	69.00	一目のコントロールが非常に投入ですよね。
73.00	75.00	一人一人の折ってきた。
76.00	81.00	新作の案材2人フルー、いきなり上がりながりの4バール、
82.00	83.82	思ったく、2
84.28	86.00	突撃の部分はなあ。
87.00	89.10	いろいろ、
90.00	94.00	単黒の安田に行きなり registrationがありました。
95.00	99.50	今度や、 basesが高めにしていればまだ決めた。
100.02	107.00	Aikka上のBDCに進めやきれら che dramaticのストーストを
107.00	110.92	今の中側の中側ですね 一番の安在君のおすすり
110.92	113.80	これなのをすべてだと そこまで落ちちゃってましたね
113.80	117.20	そして二番のあらうち 非常にこの選手も進則です
117.20	120.80	しっかり送ってくるか3度に勝っちゃう 新視聴した3度におかれが
120.80	122.80	あっちゃったらしいよ
126.80	129.20	ノーアウトランダー1度1度1度
129.20	132.40	会見ついてくるな どうかなというところでしたか
132.40	134.80	いろくフィルダー市長ですご覧いただきましょう
134.80	137.80	勝っちゃすぐに3度にし 上手くん
137.80	139.80	あ
139.80	141.80	上手が上手くんが
141.80	144.80	あその方が早かったですね
144.80	146.80	ひらどいタイミングでした
146.80	148.80	後半の足の辺さが来ましたね 見えね
148.80	151.80	非常にそのベースの手前からもスピードもあります
151.80	155.80	あという間に先生のチャンス 三番キャプテンの寄れバック
155.80	158.80	内屋はダブルクレーのシュフトを 教えています
158.80	162.80	高松町用につってはもう 寝がってもいないぐらいの
162.80	166.80	素晴らしい形の勝ち上げのチャンスになりました
166.80	169.80	この中央的には力があります
174.80	177.80	キャプテンの寄れバック 四番にキャッチャー上手くん
177.80	179.80	五番セカン
179.80	181.80	この中央的は本当に力強いですからね
181.80	185.80	しかもチャンスに中央ですからね 風は今日こともありません
185.80	187.80	ほしい
187.80	191.80	雲リトラ少し明るい必要が出てきています
191.80	194.80	非常に暖かい空気の中で始まっています
203.80	207.80	ソールイモからめながらチャンスを 確実に点に見つぶつけて
207.80	212.80	ここまで勝ち上がってきました 高松町用の先生の大きなチャンス
212.80	215.80	三人頃2るいに投げる
215.80	219.80	少し逃げ直しましたが一るいや スォダーブルブレイ
220.80	222.80	ツーワウト3人で変わりました
224.80	227.80	揺れいきな心を昔に出ました
230.80	233.80	何なアプレスしっかり目で見てから 見つけてなきました
233.80	238.80	今のプレイは本当に革実に正確なプレイができますよね
238.80	242.80	さあ2人にツーワウト 目納るしく立ち上がり
242.80	244.80	ゲームが動いています
244.80	247.80	4番の上手教室にご覧の正式16ラスのななんだ
250.80	255.80	まず上番初回に大きなイニングがやってきました
259.80	261.80	このカーブも1つ村かみとしても落ち合わせですね
261.80	262.80	そうなんですよね
262.80	264.80	スピードを落としてですね
264.80	268.80	本当にその環境を上手く使う そのためのこのカーブですよね
268.80	271.80	ストレートカーブスライダーを持っています
272.80	274.80	インコスついてきました
275.80	279.80	このスリーボールはかなり経過してくることなんでしょうか
279.80	282.80	やはりあの仕上がりもバッテリーはですね
282.80	286.80	この裏の上手くもかなりマークしましょうね
286.80	288.80	またインコスです
293.80	296.80	1、2回線の頃はどちらかというと勝ち上がり
296.80	299.80	やや何なお世話というケースの多かったきちゃです
300.80	302.80	強いやからですか?
303.80	304.80	フリアウト
304.80	306.80	ノーアウト1類3類でしたが
306.80	309.80	高まる高まる場所の特点がありません
311.80	313.80	カーロルと転えてはいましたが
313.80	315.80	ただ東急がですね
315.80	316.80	純名に来ますよね
316.80	319.80	コントロールいい東急ができたと思いますね
324.80	326.80	先発はいつもこの裏です
326.80	328.80	関東というゲームをありましたし
328.80	330.80	セカンドを守る見のに
330.80	332.80	系統していくという方もあります
332.80	334.80	昨日の順決勝は熊元の主学感染
334.80	337.80	実に11回に及ぶ工房でした
337.80	340.80	147球はかなり玉数は投げましたが
340.80	342.80	知って2で押さえて
342.80	344.80	この決勝を進出を果たした
344.80	345.80	かまって勝にはです
345.80	347.80	昨日質疑がかかるのが多いかな
347.80	348.80	どこらになります
348.80	350.80	4社に投げてますから
350.80	352.80	使われは十分あると思うんですけども
352.80	355.80	しっかり体の系を押して
355.80	357.80	今日のゲームに望むといってますよね
358.80	360.80	この裏の立ち上がりも一つ
360.80	362.80	ポイントに上げていたのは
362.80	364.80	高松省業の長岡東です
364.80	365.80	一番の押された
371.80	373.80	少ししゅうとしていくストレート
373.80	375.80	左バターの特に引向こう側を
375.80	377.80	積極的に攻めてきます
383.80	385.80	ターブスライダーも持っています
386.80	388.80	糸的にシュートさせるゴール
388.80	390.80	それからマジラメにシュートするゴール
390.80	392.80	そういったボールを使い分けできます
394.80	396.80	インポースに移すと
396.80	397.80	ツリーボールです
398.80	400.80	準決勝が出られば
400.80	401.80	左バターのインポースは非常に
401.80	402.80	2勝的なボールですね
402.80	404.80	左出せに体制厳しく
404.80	407.80	ストレートを投げ込んできてますよね
407.80	408.80	ただツリーボール
412.80	413.80	一球をさめます
416.80	419.80	おさめは1、2回戦1となりませんでしたが
419.80	421.80	3回戦1攻撃破がかつやく
421.80	422.80	昨日は逆転の
422.80	424.80	さよならの2点対筆でした
427.80	429.80	カウントを今に戻してきました
429.80	430.80	すぐ感動です
436.80	437.80	ミラがこの関心
437.80	438.80	三番の方
438.80	439.80	ツリーボールから
439.80	441.80	選挙バッターをアウトン取りました
442.80	444.80	このボールです
444.80	446.80	アウトコース1回ですよね
446.80	448.80	上にコントロールよく
448.80	449.80	予選が出ましたね
452.80	453.80	コンストドックスナミンキチャー
453.80	454.80	でもあります
454.80	456.80	両選押し
456.80	458.80	2番キャプケンのおかざわです
459.80	460.80	このカードも
460.80	461.80	裏の直尾に合わせ
461.80	463.80	お茶の中が非常に
