start_time	end_time	transcript
0.00	5.00	さあトップバッタースゥーキが登場しました
5.00	7.00	エメポコーです
7.00	19.00	スゥーキは2年生です
19.00	25.00	センターハマンガチ
25.00	29.00	ジョークウの風はライトからレフトへの
29.00	32.00	いつものポーシンの風が吹いています
32.00	35.00	幕下さん5本になると風がちょっと強くなってきます
35.00	40.00	今日も前の試合でライトが目的を待ってましたから
40.00	43.00	非常に難しいと思います
43.00	48.00	まずセンターをしたりました吉川です
48.00	51.00	助けは2番のヒラミ
51.00	55.00	広島県クレシの出身です
55.00	61.00	センパツがまず吉川で来ました
61.00	65.00	吉川さんの距離の中は吉川センパツシミズリリーフという
65.00	66.00	パターンが多かったですね
66.00	67.00	そうですね
67.00	72.00	吉川は力で押すとよりは裁給力がある
72.00	74.00	そういうピッチャーですよね
74.00	81.00	非常にゲームメイクする力があるというこの吉川です
81.00	85.00	試合会社は2447分と発表されました
85.00	93.00	181cmの調子ンピッチャー
94.00	97.00	ブラッシュ
102.00	106.00	ブラッシュはゲームメイク力というセールスポイントも表示されております
106.00	111.00	でもしっかりとゲームを作って
111.00	115.00	勝ちパターンでシミズリスなきたいところで最悪感
115.00	119.00	今日されに気をされました2年生のヒラミ
119.00	122.00	彼は簡単な機体に答えましてきっとお話しました
122.00	124.00	バンダウトランの一例です
129.00	131.00	お湯子さんにもかきよなのですが
131.00	134.00	この素直に打ち返しますよね
134.00	136.00	ナイスバッティングです
136.00	139.00	そしてバッターは3番のドド
139.00	142.00	両番の素直この3番が
142.00	146.00	打つ方でも中心ですがマウンドに上がることもあります
146.00	148.00	中心選手になってきました2年生のドド
148.00	151.00	2分やたりです
151.00	153.00	2時間の倒やのキャプテン
153.00	155.00	1人のおか
155.00	158.00	1人のアウトウダブルプレー
158.00	160.00	とは打たれましたけれども
160.00	162.00	実力以上のものは出ないから
162.00	164.00	1人のおか
164.00	165.00	2人のおか
165.00	167.00	2人のおか
167.00	168.00	2人のおか
168.00	170.00	2人のおか
170.00	171.00	2人のおか
171.00	172.00	2人のおか
172.00	173.00	2人のおか
173.00	174.00	2人のおか
174.00	175.00	2人のおか
175.00	176.00	2人のおか
176.00	177.00	2人のおか
177.00	177.50	2人のおか
177.50	178.50	2人のおか
178.50	179.50	2人は出ないかもしれないけれども
179.50	181.50	持っている力を出し切りたいと話していた
181.50	184.50	霊明高校の神奈川感覚です
184.50	188.50	まずは無い予告です
188.50	189.50	続き
189.50	192.50	あーっと一人政府になりました
192.50	193.50	足が速い
193.50	196.50	トップのタタラ
196.50	198.50	無いアンダー
198.50	200.50	2なるでしょうか
200.50	202.50	2人になりました
202.50	203.50	センター
203.50	207.50	黄金地区
207.50	209.50	センター黄金地区
209.50	211.50	ゴロをこれがしてきましたが
211.50	213.50	さらさんいきなりこうないやんだってことを
213.50	215.50	思いましたなしが
215.50	217.50	はいですね
217.50	219.50	今の黄金地です
223.50	227.50	いつもの地面若いもと違うなっていうのは
227.50	229.50	おくるべくとくはおくるような
229.50	231.50	ゲームをやるようになりましたね
231.50	232.50	そうですね
232.50	235.50	中田に監督は繋いで1点を取りに
235.50	238.50	区のうちのこのチームのカラシュートを
238.50	240.50	いう話をしています
240.50	242.50	今度はバントの構えなし
242.50	244.50	さあ立ちやなりいきなり
244.50	246.50	ナイアンドで出る緩しました
246.50	248.50	シモムラ
250.50	253.50	早くも3名のアルプスカンドを
253.50	255.50	同じ身の自分の中や
255.50	256.50	まだアクリカンシンホリーに
256.50	258.50	聞こえてきました
259.50	262.50	新速のタタラが出ている
262.50	264.50	自分の中やな一回のうだ
268.50	270.50	これは低め
270.50	272.50	今のボールでしょ
272.50	274.50	非常に急速を抜いた
274.50	275.50	そうですね
275.50	277.50	いい構則にまいりました
277.50	279.50	まっすぐが微妙に変化する
279.50	281.50	そしてまた
281.50	283.50	チェンジアップを投げる
283.50	284.50	マンド上のシモムラですが
284.50	286.50	レプトザイン大きな当たり
288.50	290.50	大きいがかなりが出てきましたが
290.50	291.50	ハマンジナータでレプトザイン
291.50	293.50	ワンダー打ったらんない一類です
299.50	301.50	今のもかなり大きいの
301.50	302.50	普及に出ました
302.50	303.50	出ましたね
303.50	304.50	風に乗りましたがね
304.50	305.50	青やという当たりです
305.50	307.50	さあそして注目の
307.50	309.50	山の3番の
309.50	311.50	セカンド青山
312.50	313.50	じゃわり強い風
318.50	319.50	ドランのように
319.50	321.50	放射の浜風が強く吹いています
324.50	325.50	やっぱサートを切りました
325.50	326.50	急め
326.50	327.50	初級打ちです
327.50	329.50	バッター打ってきました
329.50	330.50	捜えされ
330.50	331.50	急が走ってきましたね
331.50	332.50	ねー
334.50	335.50	まああのー
335.50	337.50	シモムラくんのフォームを見て
337.50	340.50	サートが切りやすい
340.50	341.50	カラッという風に感じた
341.50	342.50	ドーンですよね
345.50	346.50	バッター青山です
346.50	348.50	周報
348.50	350.50	外屋市がちょっと
350.50	351.50	首部長大きく見いな方に変えました
355.50	357.50	青山は
357.50	359.50	川崎の出身です
359.50	362.50	中学時代にこのポーシエンで
362.50	364.50	製良工工のあの奥側通しと
364.50	366.50	中原の体温を見て
366.50	367.50	亡くがれを持った
367.50	368.50	いうに話しとりました
376.50	383.50	外屋市が今度6歳の広く開けています
392.50	393.50	インコスに向いたり
393.50	395.50	あっと1人しか出てしまいましたが
395.50	397.50	ピッチャーのシモムラがベースに入っています
397.50	399.50	ツイワーを取らなあにるい
402.50	404.50	やはりくさがさんボールがちょっと
405.50	407.50	いろんな回転しますんでね
407.50	408.50	今のもね
408.50	410.50	真っすぐ投げたんで
410.50	413.50	小学校を周答を回転してたんじゃないかな
413.50	414.50	どうでしょうね
414.50	417.50	この辺りやこのシモムラ君が
417.50	418.50	持ち合わせ
418.50	419.50	帰っていますね
420.50	422.50	ですからシモムラ君は
422.50	423.50	爆校信じて
423.50	424.50	自分のピッチングをですね
424.50	426.50	あまり行こう出場を
426.50	427.50	警戒しないで
427.50	429.50	自分のピッチングをすれば
429.50	430.50	いいと思うんですよね
430.50	432.50	そして向かえるバッターが
432.50	434.50	予防の中釣化です
440.50	441.50	オッド
441.50	442.50	生きなり進行系
442.50	444.50	1回から進行系のです
446.50	447.50	予防の中釣化
447.50	448.50	近期大会
448.50	450.50	3シアレンズフォーマンの手法
453.50	454.50	うん?
454.50	455.50	違いますか
458.50	461.50	新国福祉系の持ち手がありましたので
461.50	464.50	自分で先に
464.50	465.50	先に行きましたね
465.50	466.50	はい
467.50	469.50	でも
469.50	470.50	輝く感動
470.50	472.50	発災配にしそう
472.50	473.50	動いて
473.50	474.50	そうですね
474.50	475.50	決めてますよね
476.50	477.50	そして
477.50	478.50	御晩の言わさです
479.50	481.50	1年生の夏に
481.50	482.50	弁知りをしまして
482.50	483.50	優勝を経験しています
488.50	490.50	中釣化を警戒して歩かせました
490.50	492.50	1年生の夏に
492.50	494.50	外足が深めですから
494.50	495.50	進足の宿の宿から
495.50	496.50	2年生の夏に
496.50	497.50	これは普通の人だったら
497.50	499.50	おそらく正観できるでしょう
502.50	504.50	非常に深い指引地です
508.50	510.50	2話さはお父さんも
510.50	511.50	自分の駆け上がりの選手として
511.50	512.50	更新を経験しています
521.50	523.50	サオイコンでいるしももら
523.50	526.50	高まな球
531.50	533.50	急速は130キル1カードを
533.50	534.50	行きましたが
534.50	536.50	いろんなところへ投げ分けてきますのでね
536.50	538.50	今もね
538.50	539.50	本当にあの
539.50	540.50	ゆるい
540.50	542.50	カーボアウサイド
542.50	544.50	でインサイドに
544.50	545.50	収束見に投げる
545.50	546.50	本ですかね
546.50	547.50	バットは非常に苦しい
547.50	548.50	苦しいですね
550.50	552.50	先生なるか自分の駆け上がりは
552.50	553.50	バッターは5番の言葉さ
557.50	558.50	外へ
558.50	559.50	やーん
559.50	560.50	カロウィスとなったね
560.50	561.50	わかりました
567.50	569.50	窓区のフォームから
569.50	570.50	いわゆるくせだもん
570.50	571.50	投げてきます
571.50	573.50	1チャーのしももらです
581.50	583.50	バッターはパールにはしていますけど
583.50	586.50	なかなか心で捉えられません
592.50	594.50	ゆるい
594.50	595.50	破壁球に
595.50	597.50	付いていこうという気持ちがあるんで
597.50	599.50	今のソルドも少し遅れてなるのでね
599.50	600.50	はい
600.50	603.50	120キロ台ですけれども
603.50	605.50	で集まっています
605.50	607.50	6キュメ
607.50	608.50	アウダされました
609.50	611.50	チアゴロ
611.50	613.50	ピンチを切り抜けました
614.50	615.50	しももらたちやがり
615.50	616.50	いらんなをせよいましたが
616.50	618.50	まずゼロを入れています
620.50	622.50	学校そのものは
622.50	623.50	女学校として
623.50	625.50	対象6年
625.50	628.50	1917年に誕生しています
629.50	631.50	映明高校となりましたのは
631.50	633.50	2001年です
634.50	637.50	さあゲームは2回
637.50	639.50	ダブルプレイがありましたので
639.50	642.50	4番のすがからです
645.50	647.50	180cmありますよ
647.50	648.50	1バッター
652.50	653.50	前のチームから
653.50	655.50	4番を打っています
664.50	667.50	4番の
667.50	669.50	ヨシカートシュアップサカさん
669.50	670.50	近く大会では
670.50	672.50	一回
672.50	674.50	早く手元られることは多かったんですが
674.50	675.50	今はいいたさが出ると
675.50	678.50	今見ていると
678.50	679.50	ソルドを中心に
679.50	680.50	投げていますよね
680.50	683.50	秋は変化球は多かったんですよね
683.50	686.50	台部のフィュー
686.50	688.50	トレーニングを重ねて
688.50	690.50	スピードを上げていないかな
690.50	691.50	と思いますね
694.50	695.50	すぐの最速は
695.50	697.50	199キロときいております
705.50	706.50	こそ
706.50	708.50	カラブリです
708.50	709.50	カラブリです
712.50	713.50	バッターカラブリで
713.50	714.50	キャッチャー
714.50	715.50	コウイツ
715.50	716.50	ノーアウトランのアイジリー
716.50	718.50	キャッチャーは
718.50	719.50	次元
719.50	721.50	コンバーとされたばかりで
721.50	723.50	次元が
723.50	725.50	まずキャッチャーシュシュアの
725.50	726.50	中田に関東からすると
