start_time	end_time	transcript
0.00	16.00	先発まるのが、前田さん、東海大阪身は左のおまさわらなのか、この吉田ののかというところが、ずっと、きの一日急予備がありましたので、いろいろな人がどちらかな、という事を考えたと思うんですね。
16.00	25.00	吉田君が、全試合少し調子が悪かった分ね。そのリベンジという気持ちにかけたんじゃないですかね。
25.00	33.00	まずは、中幕の対戦から始まります。前の試合、吉田相手がもう、お越えから。
40.00	42.00	よく立てね落ちます。
42.00	48.00	あ、完全なワンバンド、お越えはスーホンスピードで一人に出しますが、何だいこう。
49.00	57.00	あ、縦のスライダーに、カラブリしてしまいました。ボール玉でしたが、お越えからブリランナウト。
58.00	62.00	かなり構えでワンバンドしましたが、売られてしまいました。
62.00	65.00	やはり横を散てる証拠ですよね。
66.00	69.00	来たんですね。
71.00	74.00	縦のスライダーです。
74.00	79.00	姫玉、特員の縦のスライダー、連続参信。
79.00	82.00	ショーター、ビトークリーン。
82.00	86.00	フルーパンとか、もう一つフルーパンとか来ました。
87.00	92.00	さあ、ここは一人は一つスライダーに、かかりますんで、逃げましたね。
92.00	95.00	そういう話をヨネザーターとしていました。
95.00	97.00	こんなスタートしてきました。
97.00	100.00	今期はスタダイカー、アウト。
104.00	112.00	ドール1パイ。ここは早速仕掛けてきましたが、ドール1パイ、キャッチャーキャプテン長くらが見るような装着を、
112.00	114.00	いいボールを送りました。
115.00	118.00	4人のピッチャーがいるとご紹介しました。
118.00	123.00	監督大臣ですが、まえらさんはサウスコーの安倍をまた先発に持っていました。
123.00	127.00	ここまで安倍君が一番先発が多いんでね。
127.00	129.00	3試合目ということになりますかね。
132.00	135.00	1番セカンド、血のです。
135.00	137.00	受け立った!
137.00	140.00	初経攻撃力と前引き、
140.00	144.00	ちょっとこの大会はボールを見過ぎているので、
144.00	147.00	本来自分が持っている強くくれるというところを、
147.00	149.00	今日は出したいという話をしていました。
149.00	151.00	このですが、初級攻撃。
154.00	156.00	どんなスタートしてきた!
156.00	158.00	3水入りました。
158.00	163.00	ボール1リバンマーは、3水を切り出してきました。
163.00	165.00	学校にときません。
166.00	169.00	生成交換台のサガミ。
172.00	179.00	バッコのタイルを出して、ここにもかなり2回目もできたかもしれません。
179.00	180.00	そうですね。
180.00	185.00	ボールが成功する監督を持っていたいというところですよね。
185.00	189.00	こういう仕掛けが下手くなった監督ですよね。
190.00	194.00	ただ、こういう場面でしっかり決めれるバッター、
194.00	197.00	また一番の地の組みをしているので、
197.00	199.00	素晴らしいソールでしたね。
201.00	203.00	これもX4!
203.00	205.00	そんな大事に収納しました。
205.00	207.00	ミリランも3水を待っている。
207.00	211.00	2点目の方向、バッターの見るいです。
215.00	217.00	2体入れ。
218.00	223.00	東海大阪の低くて強いやかり3分続きました。
223.00	225.00	今度は1リセン。
226.00	230.00	スコー自体ミングをね、崩されているんですけどもね。
230.00	233.00	本当に身体が好きくいだけよね。
237.00	239.00	キー!
239.00	242.00	見を使う!
242.00	243.00	そうだ!
248.00	250.00	最大29号!
250.00	253.00	初回から、
253.00	255.00	素直にすればいい!
255.00	257.00	平成さんの出せ!
260.00	263.00	第1回31号!
268.00	269.00	こんな。
269.00	271.00	完璧に捉えましたね。
271.00	273.00	ボールは引っ張ったんですけどね。
273.00	275.00	それが、その元じゃないですかね。
275.00	278.00	しっかりボールを張れてたという感じもします。
278.00	281.00	おさようと言う利気の量があるんですね。
281.00	283.00	としてもまだ。
283.00	286.00	これもライトセンディス!
288.00	290.00	ランラーを見るに行く!
293.00	295.00	ノート2類。
295.00	298.00	ホームランダーとランラーはいなくなりましたが、
299.00	301.00	ミソウアミンがまたつぶやすいと。
301.00	302.00	これでトップから、
302.00	303.00	ホレンダー。
303.00	307.00	後半勝負という構造を迎えがきましたが、
307.00	309.00	ホワボール。
312.00	314.00	やりあの、地の君の、
314.00	316.00	こういう初級から重きって、
316.00	318.00	吹いていた、あのキットですね。
318.00	319.00	それが、いなに、
319.00	321.00	うつって行ったような感じも行けますね。
321.00	323.00	なるほど。
323.00	325.00	ふいしていきたいですね。
325.00	326.00	ここは送ります。
326.00	328.00	サンドイークル。
328.00	329.00	そして一度や、
329.00	330.00	一度や、
330.00	332.00	オクリコンクアスパイです。
333.00	336.00	ここは落ち着いてバントを処理しました。
340.00	343.00	これも中間に伸べていく。
343.00	345.00	ただ、これはライトを実きそうです。
346.00	347.00	流しまとりました。
347.00	349.00	2類ランダーはサンドイーに向かっています。
352.00	354.00	ツーアウトランナー、サンドイー、
354.00	356.00	ツーアウトランナー、
356.00	358.00	ツーアウトランナー、
358.00	360.00	スーボールランスパイで行く。
360.00	362.00	中に入った。
362.00	364.00	オクソルのスタッフルのスリーヤルトランナー、
364.00	366.00	レビューにつけた金子は、
366.00	368.00	チリアウトの3つ、
368.00	370.00	立て続けにいっぱいいました。
370.00	372.00	立てしまうと言うね。
372.00	374.00	あ、立てしまいました。
374.00	376.00	3つ目の3シーンです。
376.00	378.00	ここまで、
378.00	380.00	自分で、しかり回転できると、
380.00	382.00	これ1番いいですね。
382.00	384.00	1つ目の3シーンです。
384.00	386.00	1シーンです。
386.00	388.00	1シーンです。
388.00	390.00	1シーンです。
390.00	392.00	1シーンです。
392.00	394.00	最後、オイコンでからのスライダーです。
394.00	396.00	ちょっと高かったですね。
396.00	398.00	それがしっかり、
398.00	400.00	自分の右足でチックをしっかりしてますからね。
402.00	404.00	ガンナーサートした。
404.00	406.00	2類をする。
406.00	408.00	2類はスライフだ。
408.00	410.00	1リーワールと。
412.00	414.00	4点差あるというところですが、
414.00	416.00	監督第一、
416.00	418.00	この2回のコメント。
418.00	420.00	1リーワールが動かして、
420.00	422.00	1人に返していった黒田のバッティング。
422.00	424.00	ランナーサートしてましたが、
424.00	426.00	2類に投げて。
