start_time	end_time	transcript
0.00	7.00	1回戦についてマブチ感毒は、固かったけれども、そんなによくまとめてくれたと、
7.00	12.00	控えています。多くずれしないテッチャー、おそらく兄田のお坂等に会いてにも、
12.00	15.00	3点以内に遅れてくれるんだよね。マブチ感ズがいていますね。
15.00	19.00	非常に信頼がありますよね。
20.00	23.00	石自身は2番の見根元を警戒していています。
23.00	25.00	見根元の前にランナーを出したくない。
25.00	29.00	ですからこの一番の中村からしっかり切っていくことが大事だといっています。
29.00	33.00	大坂等に1番キャプテン、ベストの中村。
37.00	39.00	まずはインコースをついてきました。
39.00	43.00	伸びのあるストレート、それから立てよくのスライダー、
43.00	48.00	本人はカットボールもこの春から覚えてきて、それが非常に効果があるという話もしています。
50.00	51.00	またインコースに投げていきます。
51.00	52.00	パーブです。
53.00	56.00	微妙に動く球も持っている気しですが、
57.00	59.00	またかっちゃインコースだ。
59.00	60.00	つまっときた!
60.00	61.00	見のがしの参信!
61.00	62.00	ワンナウト!
65.00	67.00	まずは狙い通り一番バッターをしっかり切りました。
67.00	69.00	今までと違いますよね。
70.00	74.00	さあそして2番の去年も更新を経験している見根元。
74.00	77.00	ここもインコースからバッテリーは一番警戒しています。
80.00	82.00	セカンド速いだ,キューラー!
83.00	87.00	おいつきません、センター前に転がって、センター前とオーカーランダーは2mかう!
87.00	89.00	セーフだ!コーソリー!
91.00	93.00	ダキュウの速さそして、足の速さを見せました見根元。
93.00	95.00	ワンナウトランが2mにいる。
95.00	96.00	さあは中途です。
96.00	98.00	3番サードかつき。
98.00	100.00	この人も去年の夏の高芯、
100.00	102.00	その時から中途を任されているバッターです。
106.00	108.00	ああ、大きな当たりだ!
108.00	110.00	伸びる数は逆ですがどうか!
111.00	113.00	関係なく入った!
113.00	115.00	数らのボーグラム!
115.00	119.00	先生ときでは大阪都委に似てんがびました。
120.00	124.00	1回の応募で3番かつきの数らのボーグラム!
124.00	127.00	逆風をものともしません!
128.00	131.00	大会18号の数らのボーグラムです。
135.00	139.00	確かに要求よりは真ん中に行ったともだったと思いますが、
140.00	142.00	今日もかなり浜田で強いんですが、
142.00	144.00	力がありますよね。
144.00	148.00	数は関係なくしっかりと捉えただけを止めますね。
148.00	150.00	さあ、大阪都委員が2点を先生しました。
150.00	151.00	しかも1回です。
151.00	156.00	4番のサード、小水をつれ、1st小水を迎えています。
158.00	160.00	こういった印象がありますよね。
163.00	164.00	これもストレート。
164.00	167.00	センターへ、ワンナウトランが1類、
167.00	170.00	そして、売った小水も2類を浮かないような動きから戻ります。
172.00	175.00	1番の中村は、逆をつかれるような感じがありましたが、
175.00	178.00	2番に行こうがしっかりと、ここはオクリーバントが困りを見せます。
