start_time	end_time	transcript
0.00	5.00	山田行き監督がどのように選手を踊るか大産主はスタートです
11.00	15.00	172cm 65黒という境遺当師です
15.00	19.00	ドジャースに行った山本吉登場当師を待てて
19.00	24.00	いきなり戦闘バッターでましたお見高校トップの盛り島会社
25.00	47.00	こっしゃる積極だ
47.00	55.00	2番のおかもとに手がたく送らせるかというベテランの大み高校を参加する
55.00	61.00	大参試合は5後48組にゲームが始まっています
62.00	65.00	3番のおかもとに手がたくさんのとにも大きい
65.00	70.00	大参試合は5後48組で中心の描き合わせで
70.00	74.00	1番のおかもとにも大変です
74.00	78.00	1番のおかもとにも大変です
78.00	83.00	1番のおかもとにも大変です
83.00	88.00	1番のおかもとにも大変です
89.00	92.00	その分1つ前のおりに行っていることで
92.00	96.00	東京コグルミューシーもガイケさんが結構増えてます
96.00	100.00	フェザーの後ろのこうわさているんですが
100.00	102.00	それがすこななっています
102.00	104.00	僕は大事に送ってもしいですよね
104.00	107.00	湾防ルトーストライクで亀感とくは
107.00	110.00	奥リバンとメイジルカという
112.00	116.00	ご覧のようにガイやレクトセンライトちょっと朝目
116.00	118.00	右前です
120.56	122.56	3番との構えです
124.32	126.96	一度いらんなの盛り島海ら選手は
126.96	129.76	秋の公式選ん通り1つ記録しています
134.24	136.24	3番と
138.56	140.56	しっかりと送ってきました
140.56	142.56	はい 付いてましたね
143.12	146.56	このおかもとの送りバンドで大み高校
146.56	149.60	亀感度はワンナウトランナニルイフュー
149.60	151.60	集中所を作りました
152.96	154.72	手寝2丁話がありましたが
154.72	156.72	この3番と目は
157.20	159.20	だけで見てきましたね
159.20	161.36	1茶前にシンを外したマンド
161.36	165.36	またですね 3番が島村です
166.16	168.16	うまいことレフトマイでセカンダランナーは
168.16	170.16	3度一ストップです
170.16	172.16	これもレフトがかなり遊んでいる
172.16	174.16	しかないよね
174.16	176.16	本音なんね
176.16	178.16	あの選挙はホームの帰ってもかしくないですよね
178.16	180.16	ですからこの辺が低半発の
180.16	182.16	距離の出ないバットに変わって
182.16	184.16	ちょっと今年の高校野球
184.16	186.16	私が変わってきています
186.16	188.16	1番と目の中で
188.16	190.16	この辺の中で
190.16	191.36	1番と目の中で
191.36	193.36	高校野球私が変わってきています
195.36	197.36	ちょっと離った島村
199.36	200.48	早くもキャッチャーのテラウが
200.48	202.48	マウンドに向かいました
202.48	204.48	ワンナウト1ルイス3ルイン
204.48	206.48	また立ち上がり
206.48	207.68	卵数も多くないんですが
207.68	208.96	坂井当市の印象というのも
208.96	210.96	ガキアさんいかがですか
210.96	212.96	そうですねあのちょっと
212.96	214.96	単調かなって言ってますけども
214.96	215.96	はい
215.96	217.96	店舗早いのはいいんですけどね
217.96	219.96	あやっぱり店舗早いのと
219.96	221.56	単調は紙人いなんですね
221.56	223.56	ガイアさんね
224.76	225.96	ナイヤは朝目の市民
225.96	227.56	バンナウト1ルイス3ルイン
227.56	228.76	夜間のキャプテンの
228.76	230.76	大石です
233.96	235.76	秋の公式選ば7本のヒットル
235.76	236.76	地2ベースが
236.76	238.76	日本という大石を迎えて
238.76	239.76	セカンドション
239.76	241.16	極端名前では
241.16	243.16	ダブルプレイシフトでいいですか
243.16	244.36	まあそれいいと思います
244.36	244.76	はい
244.76	245.76	はい
246.56	247.96	あぶり前守るってことは
247.96	248.96	それだけヒットゾーンが
248.96	249.76	受けろなります
249.76	250.76	そうなりますね
252.76	253.96	あとは低半発で
253.96	255.56	打球年依給もちょっと
