start_time	end_time	transcript
0.00	5.00	先行行為を守なく試合が始まります
5.00	7.20	スタートはせず送る
7.20	9.40	イーバンとなります
9.40	13.44	送りバンと成功さードの盛り事が押し付いて騒ぎました
13.44	17.92	ワンナウトランナーにより1回の場で先生点のチャンスを作って
17.92	21.48	出席さあ中国のバター
21.48	25.00	中村生成向かいます
25.20	29.00	本体会4本のホームラン
30.48	34.52	6割6部7人という大切です
34.52	36.44	特異だ場はインコースですが
36.44	39.80	いいやたりがセンターにセンター下がる
39.80	43.92	初中を確認
43.92	48.44	先生の通覧ホームラン中村生
48.44	53.32	偉大な記録にならびました
53.32	57.72	本体会5本目のホームラン
57.72	60.24	この世界
60.24	63.40	初級
63.40	68.04	ちょっと真ん中品入りました高めのボールでしたけれども
68.04	70.84	しっかりとセンター方向へのね
70.84	74.04	近いセクバッティングで
74.04	78.84	なら大会は5割を超えるだりそう誇ったこの人の
79.84	83.84	カットします
83.84	87.84	特点のチャンスを迎えているのはテンビです
87.84	90.84	どうしても当てに行ってしまっていますので
90.84	93.04	そうする投稿を引っかけるんですよね
93.04	96.44	バトのヘートが先回りするという感じになるんですね
96.44	98.44	もうちょっと人の君は今のようなボールを
98.44	100.44	右方向に押し込むようなバッティングのね
100.44	103.44	特にな選手なんですけどね
103.44	106.44	バッティングの先に当てる宇宙官は広がっている
106.44	109.24	合わせてバッティングが向けた
109.24	114.04	ランナー1人返ってくる1点さもう1人返ってきた
114.04	116.04	当てー
116.04	119.84	なら全立販売の裏を追いつきました
119.84	125.04	古神データ予盤の人の暗いつく当たりです
125.04	128.16	マエラーのランナーを狙いに送られた
128.16	131.16	マウンドの薄い
131.16	135.16	負けたら
135.16	139.16	貧乏ときれるかどうか入る
139.16	140.36	超大構成
140.36	143.36	ランナー3で今はある
143.36	145.76	すぐさま勝ち越し
145.76	147.16	4回の持て
147.16	149.16	高量3回に
149.16	151.96	守る高量の外側全身
151.96	154.96	前よりそのアサイライトの高方
154.96	157.16	下がってベースまで行くのか
157.16	158.66	抜けてしまう
158.66	160.96	それを見てからランナーはスタート
160.96	164.96	2人が並ぶようにしてフォームに帰ってくる
164.96	166.76	逆転
166.76	170.16	4回の裏なら全立
170.16	174.66	勝ち越された捕獲
174.66	178.46	超初めての3連だ
178.46	182.16	この回の戦闘バッター仲村生
182.16	185.66	新記録が出ました
186.66	189.66	戦闘バッターで
189.66	192.66	出席に入って
192.66	194.66	見事なフォームラン
194.66	195.66	大会
195.66	198.66	通産ドッコンメ
198.66	203.66	同店フォームランを打ちました
203.66	205.66	4対4
205.66	207.66	5回の持ての戦闘バッターでした
207.66	211.66	そのフォームランをご覧いただきましょう
211.66	214.66	2ボールからの3球目
214.66	216.66	こんなかよりでした
216.66	218.66	撃った瞬間でした
218.66	221.66	自信が語る
221.66	225.66	撮影感の当たりが自分の調子のバロメーター
225.66	227.66	そのだけが伸びていきました
227.66	230.66	深いとこのね
230.66	233.66	膝を開かないで左の膝をね
233.66	235.66	右型を下げないで撃ってますよね
235.66	237.66	ですからも
239.66	241.66	ボール戦闘
242.66	244.66	中に入ったボールを撮らえたランナーは3で
244.66	245.66	ストップです
248.66	250.66	ノーアウトランナー1で3で
250.66	252.66	5回の裏
252.66	255.66	8個しのチャンスを迎えたなら店に
255.66	260.66	確かに感染に良い人の国自信を取り持ちしました
260.66	263.66	ボールに対するこの見方
263.66	265.66	見送り方が非常に良くなってますね
265.66	267.66	バースの走が
267.66	268.66	デフトの指見に入っています
268.66	270.66	守る効料
270.66	272.66	ノーアウトランナー1で3で
273.66	275.66	5番の白したカプテム
277.66	279.66	スクイズプソキュー
279.66	281.66	フュイテスマター
281.66	282.66	カツアーのカプラソーズ
283.66	285.66	3で1でダブルプレイスができる
285.66	287.66	オワイアドリプルプレイが
287.66	289.66	というプレイ
290.66	292.66	130kGのストレート
292.66	295.66	そしてこのカーブスライダーがあります
295.66	297.66	バッタの小学もね
297.66	300.66	一緒という事よりもない事が増える前にいますから
300.66	303.66	しっかりと頭をこそという考え方は必要だと思います
303.66	304.66	合わせただけ
304.66	306.66	サウドのパールフライ
306.66	308.66	ランナーは構然すめず
308.66	311.66	1ナウトランナー2で3で出す
311.66	312.66	きなか村姓製です
312.66	314.66	いやー見事は
314.66	315.66	引き増しましたね
315.66	316.66	今はこれは
316.66	320.66	サブリクアウトコースのボール玉で支えましたよね
321.66	323.66	大会心機力の6本のフォーマラーを
323.66	325.66	頼った仲村にこの白手
325.66	328.66	ただ1リベースがあったという状況ここはバッテリー
328.66	331.66	少し申しませんよね
332.66	335.66	ただはずしたら中端端のはずしかたしない事ですよ
335.66	339.66	今もまだアウトコースいっぱいで立ち上がって
339.66	340.66	ではありませんでした
340.66	343.66	ちょっとこれは危ないはずしかたですね
343.66	346.66	初級よりははっきりとわかるボール
346.66	348.66	はずすんでしたら
348.66	349.66	東京の直前にキャッチャーが
349.66	352.66	もう立ち上がってはずくらいがちょうどいいと思います
353.66	354.66	3ボールです
355.66	357.66	この後予防具は村神
358.66	361.66	中村君の成功学院戦闘高めのこの
361.66	363.66	ボール玉のはずすボールをほんましましたからね
364.66	365.66	はっきりはずします
365.66	366.66	ボアボール
366.66	368.66	ワンナウトフルベース
368.66	370.66	6回の持て
370.66	373.66	貼り越しのチャンスが広島の高量
376.66	379.66	ここまでは両勉強のおもわく通りですね
379.66	382.66	おそらくこれをここの中へ監督のある
382.66	384.66	かされるだろうと思っているでしょうし
385.66	388.66	中村監督としても予想学院を取ってくれされば
388.66	390.66	こういうパターンになるだろうと予測ありましたから
390.66	391.66	このからがしょうんですね
392.66	394.66	左バッター村神今日
394.66	396.66	薄いから1本のヒット
396.66	397.66	サウス高の
398.66	400.66	魚に変わって最初の助き
404.66	407.66	ポントロールはいいこの魚に有魔とおすり年齢
407.66	408.66	はい
408.66	409.66	しかし
409.66	411.66	このところを突きすぎて
411.66	413.66	下しと言うこともありますから
413.66	416.66	その辺りも頭に入れてのこれ投挙になります
416.66	417.66	しっかけた
417.66	418.66	まさごろ難しいバウンド
418.66	419.66	よっ
419.66	420.66	握り合わせて
420.66	421.66	ホーム1つアウト
422.66	426.66	難しいバウンドでしたがよくファーステアさら合わせました
426.66	427.66	1つアウトを取りました
427.66	428.66	ドアウトフル
428.66	430.66	これはおきづらいですね
430.66	432.66	簡単なのに見えますけれども
432.66	434.66	左出所はこの
434.66	435.66	アウトフォースのボール
435.66	437.66	出っかけたボールってのもちろん弱いですよ
437.66	439.66	それなかなか大きいがきませんので
439.66	441.66	よくこれやさらぐに取って
441.66	442.66	ちょっと握り変えましたけれども
442.66	444.66	どっちにちしたもん今は
444.66	446.66	多分くら取れませんからね
446.66	447.66	よく落としました
447.66	448.66	そして5番には先ほどから
448.66	449.66	マウンドに上がっている
449.66	451.66	ヒラモトがこのダジュに入っています
453.66	455.66	ピッチャーのヒラモトですが
457.66	458.66	今太会話
458.66	460.66	8出数2アンダ2割5分
462.66	464.66	ツーラウトクルベース
465.66	467.66	ながに入る
467.66	470.66	そろってガンドオブション
470.66	472.66	1点かつかしい答えよ
472.66	474.66	2人帰ってきました
474.66	477.66	6対4と回応まで
477.66	479.66	いろしま考慮
479.66	481.66	エースのヒラモトのバッティング
485.66	487.66	サウスコーに変わってどうか
487.66	489.66	3流感抜ける
489.66	490.66	ドアフトの前
490.66	492.66	3メラになら止める
495.66	497.66	2アウトクルベース
499.66	500.66	6対42点リードの
500.66	502.66	キロスが考慮
502.66	504.66	さあここで迎えるバッター
504.66	506.66	3番の仲間ら小正
506.66	508.66	小学運のバッドボトロが
508.66	509.66	見事ですね
509.66	510.66	高ね君は
510.66	513.66	小日本のホームラム
517.66	518.66	直径
