start_time	end_time	transcript
0.00	4.00	先発は機能に続いて伝統になります。
5.00	9.00	機能は5回3分の1、169、7.3
10.00	14.00	パークを分かっちりあがりどんなきちんをするかかけたに
15.00	19.00	見え方向は1番はカジタ
20.00	23.00	初戦でニアンが機能は1番
23.00	26.00	1番はカジタ
27.00	32.00	169選手はあまり上手いわりません。
33.00	37.00	この人が出ると8割がかかってくるという
38.00	42.00	突破をなる戦士です。いきなりキッチャーな足元ですが
43.00	47.00	ここは高けたに落ち着いていました。
47.00	50.00	1番はカジタ
51.00	53.00	1番はカジタ
54.00	56.00	1番はカジタ
57.00	61.00	1番はカジタ
62.00	65.00	1番はカジタ
66.00	69.00	2番はウラムチです。
70.00	74.00	本体会フォームラムも1本離っています。
75.00	78.00	当たっているウラムチの前にランナーは
79.00	83.00	デマセンでした見え高校。
84.00	88.00	174選手は
89.00	93.00	5時28分にプレーボールがかかっています。
94.00	98.00	ボール3つはこの大会合わりバッター
99.00	103.24	前にスカッチげ bul
104.00	107.00	2人がかけた
107.00	112.00	ジャマグルトガラビス
122.00	125.02	1000人共に pel略6番
125.02	129.02	1位
133.02	135.02	3番のマガリを迎えます
137.02	139.02	今太会に似合んだは友にちょうだ
140.02	142.02	風呂施筆等に本離っています
143.02	145.02	まず立ち上がりそんな球がずはないんですが
146.02	148.02	広がさんどんな印象ですが高い投手
149.02	151.02	そうです少しボールがわずってるのは気になりますね
152.02	153.02	さあダブルフレーバー!
153.02	157.02	1位ランナーは3位
159.02	161.02	例えばダブルフレーコースタッタンですが
162.02	163.02	グラボの下抜けていきました
164.02	167.02	見え高校の選手と打球は広がさん早いですね
168.02	171.02	この中の攻撃力に自治者を持っていますね
172.02	173.02	はい、接局的です
174.02	175.02	今太会まだギダはありません
176.02	178.02	決してバントが嫌いなわけではない
179.02	180.02	しっかり練習はしていますという
180.02	182.02	見え高校の小島監督です
186.02	189.02	ワンナウト1位3位
190.02	192.02	4番の多川を迎えています
199.02	201.02	2回初戦はヒットがありませんでした
202.02	203.02	機能に案だ
205.02	208.02	28歳若い小島監督見え高校です
209.02	211.02	ここはまたボール選抗になりました
