start_time	end_time	transcript
0.00	7.84	きょう先発のマウンドをたくされたセバンゴー14番盛り遥き2年生189戦
7.84	18.20	83キロ最速は151キロのストレートがありますその他カーブスライダーポークチェンジャップなどがあります
20.08	23.96	さあ今試合が始まりました
24.96	33.68	バーチアンガリストレートから入りました一番カミムラ学園は2年生の入力がかつきです
33.68	52.36	収束のバッターストレートを続けますさて会ましたさん この試合情報ですがどのあたり注目してご覧になりますかそうですねあの強力田繊の神のかけんですね大阪というのを7人のピッチャンですねはいどうさえるかですよね
52.36	57.36	まず追い込んだのはマウンド上の森です
57.36	60.36	ストレート2球なと挟んできました
63.36	65.36	これは高め
65.36	70.36	この試合の会市時刻は午後2時25分と発表されています
72.36	76.36	その協力出線相手に立ち肌軽く盛り張る気
77.36	80.36	そして山下さん神村学園なんですが
81.36	84.36	左バッターが8にいるんですよね
85.36	86.36	そうですね
87.36	88.36	目指しですね
90.36	95.36	美琉ピッチアの森相手に左バッターが並ぶと入田線
102.36	105.36	この森ですが秋はゴシアイに等番がありました
105.36	110.56	15位人が投げて実践点は0です
110.56	116.56	まあ西田に監督もこの森遥をこの試合の先発に上げたというところで
116.56	120.36	状態もいいし森一人でということはないんですけども
120.36	127.36	この試合の頭ゲームを作って欲しいという思いを込めてマウンドにあげましたと話していました
128.36	136.36	一晩の位所を見極めたオーボールの悪くらんない一類です
136.36	139.36	山下さんこのボールも一晩の位所ですね
139.36	144.36	そうですねあのナウテルボールはねほとんど厳しいボールないでるんですよね
144.36	150.36	ただこの一晩のイリキダ君がねマグボールを選挙してますよね
150.36	153.36	そして二番のマスダすでにバントの構えです
154.36	159.36	一類いらんなのイリキダは非常に足の速い選手です
161.36	165.36	そしてこの二番のマスダは一回戦で一つ送りバント決めています
165.36	169.36	バントしていきましたがファール
170.36	177.36	このマスダは一回戦作診学院との試合では全製の回無理2ベースを払っていると
177.36	180.36	マスダですがここはバントの構え
181.36	186.36	やはり両チームとも選手点というところは非常に重点を置いているところですね
186.36	187.36	そうですね
187.36	190.36	両チームと一二番がねすごくいいんですよね
190.36	191.36	そうですね
192.36	194.36	これはキマになと思いますよね
196.36	198.36	バントしていきましたが
200.36	204.36	キャッチが取ってアウトワンナウテランない一部位です
205.36	207.36	遅ることができませんでした
207.36	208.36	ミムラ学院
210.36	216.36	やはり両差が遠いのものも盛り通しは簡単にバントとはそう簡単には行きません
216.36	217.36	そうですね
217.36	218.36	角度ありますね
218.36	220.36	盲利に切れありますからね
220.36	222.36	ちょっとバンが難しいですよね
222.36	226.36	バンナウテランない一部位で3番の今を傾くんです2年生
229.36	233.36	この選手はカミムラ学院のおだ感的なスターセイを感じると
234.36	236.36	いうふうに話している選手
238.36	239.36	初級からいきます
239.36	242.36	ファーストラマルが追っていきますがどうか
242.36	243.36	ファールです
