start_time	end_time	transcript
0.00	6.00	さていない場合を紹介しましょう。1回戦とは6番と7番のダジュンが入れ変わっています。
6.00	9.00	1番の姫のちょうどれく思っています。
9.00	14.00	ご覧のように、宿場メンバーは万年なくヒットを話しました。
14.00	20.00	予盤キャプテンのタバタそして、ご案が先生タイムリーの機種。
20.00	26.00	どこからでもヒットが出てくるきれめのない出戦が1つ大阪大会からも特徴でした。
26.00	32.00	左一は8番のピッチャーの3つだったという右バッター中心の出戦です。
32.00	36.00	九州国際大不足のスターチングメンバーをご覧いただいています。
36.00	42.00	1回戦では4番だお話しました。1番の吉井、3番の岩先がキャプテンです。
42.00	45.00	会田戦もよく当たりました。
45.00	50.00	ラストバッターのピッチャーのギーがいは1回戦と同じメンバーです。
51.00	54.00	高射での戦跡をご覧いただいています。
54.00	59.00	1位人が出す例、1試合、3位人を投げまして、
59.00	64.00	ヒアンダ3、7.1、4.9、1という1回戦の戦跡です。
64.00	69.00	さあ、まず大阪海星、外パッター、相談力もあります。
69.00	70.00	きれいのに対します。
70.00	74.00	初級地位、あたり、ネフトの前に落ちました。
74.00	78.00	初級からし、カリと捉えていきました。
79.00	82.00	1回のおもて、大阪海星、農は撃ったら1位です。
86.00	89.00	初級いきなり変化するから撮られてきました。
89.00	93.00	高射で、秘めのく初級の変化をうまく使いました。
93.00	98.00	バントをしっかりと練習してきたという話、2番とになりました。
98.00	99.00	ニューリアムリです。
99.00	102.00	遅りバントいきなり成功は撃ったら2位です。
102.00	105.00	1回のおもての大阪海星、戦跡のチャンスを作りました。
109.00	112.00	ラッド、左の方のところ当たりました。
112.00	113.00	手ドボールです。
113.00	117.00	ワンナウトランナーは1位にいるい、少し変化級が抜けてしまいました。
117.00	122.00	外は深め、高く上がりました。
122.00	126.00	ライトかセカンドかセカンドのカメアです。
126.00	129.00	ツーアウトになりました。
129.00	131.00	ツーアウト1位にいるい。
131.00	133.00	アナミス、
135.00	138.00	歌詞ました、サードしかし抜け出した。
138.00	142.00	サコちゃマスで、フィックがバッグボールする、ちょっとにいた。
142.00	145.00	先生、点、次のね、くりぼであります。
146.00	150.00	1点先生を高海星学園、
150.00	153.00	ローマー、ツーアウトにいるい、3でい。
153.00	155.00	ミヨーリアム、
155.00	159.00	バックダリーからすると、
159.00	161.60	一分以上の当たりだったんですが、このコースでした。
161.60	165.00	スイングは、早いぶ間に抜けていきましたよね。
165.00	171.00	その後、秘めの君のソールが、さぁ、どう思ってからの加速が非常に良かったですよね。
171.00	174.00	なおも、2位は2位と2位さんの位になりました。
175.00	177.00	セープティバンと、これになった!
177.00	179.00	いいバンとなった!
179.00	183.00	1位は、とかなっととなり、2点目。
184.00	189.00	2点、先生になりました。お坂海製学園。
191.00	195.00	記録はない案が、素晴らしいバンとでした。
197.00	202.00	このツーアウトの場面で、やってくるわけですから、かなりの自信があるんでしょうね。
202.00	207.00	これは、サードの山本を半身に乗って、素晴らしい装着だったんですが、
208.00	213.00	わずかに及ばず、なおも、2位は、と1位さんといらなばん、浜口職中、
213.00	215.00	宇宙かに飛んでいる!
215.00	220.00	よくはいつきました、センターヤダウチ、3位アウト。
222.00	227.00	1回のおもてしかし、大阪海製学園、モチアジが出た攻撃に、
227.00	228.00	点を先生しました。
229.00	232.00	さぁ、いきなり、追いかける形になりました。
232.00	233.00	9種国際ライフ属、
234.00	237.00	叩いていって、ショートンマットバイオコイツイッター、
237.00	239.00	逃げり直した!
239.00	241.00	ミチレアウト!
243.00	245.00	2位プレイが出ました、バンナウトランになりません。
245.00	248.00	多いんずいて、ちょっと逃げり直したんですが、
248.00	250.00	装着は正確でした。
252.00	255.00	しかし、抜ける可能が出るのは全然違うでしょうか。
255.00	259.00	今のも、まとばくの打球に対する1本がいいですよね。
260.00	264.00	1回戦、しがの冷算高校戦が1回1人で投げ抜きました。
266.00	268.00	まず守りにいいプレイもありました。
268.00	270.00	大阪海製、きっちゃあごろです。
270.00	272.00	ここは変化球を出せました。
272.00	274.00	2アウトランになりません。
275.00	278.00	ストレートとそれからのカーブも非常に楽さが、
278.00	281.00	左バターに対しては今のカーブですよね。
285.00	286.00	そしてストレートです。
286.00	288.00	少し振りをくれました。
288.00	292.00	深めのガイヤライト、浜口、風がありますが、3アウト。
294.00	298.00	1回の装着、高校の休習国際大ウゾク3人で攻撃を終わりました。
298.00	300.00	大阪海製、守りでもいいプレイがありました。
300.00	302.00	片様はなぜしょうかね。
302.00	304.00	本当に感動も押されてましたよね。
306.00	307.00	レフト上がっています。
307.00	310.00	少し朝目に守っていたレフトン向かりました。
311.00	313.00	バタランなアウトランは2人に向かいます。
314.00	316.00	2回の戸、2点をリードする大阪海製学院の攻撃です。
316.00	319.00	2番全体に前に出てきていたガイヤジ。
319.00	321.00	その図上を抜けていきました。
321.00	323.00	風も強いですね。
323.00	324.00	はい。
338.00	339.00	ピチャマイ、ちょっと強めです。
339.00	340.00	3人投げる!
341.00	342.00	スーパーズが飛ばした!
344.00	347.00	テースに戻るタイミングがまず、鍵をかけたか。
347.00	350.00	記録はサードもエラー。
350.00	353.00	ノーアウトランな1ロイ3ロイ。
357.00	358.00	借り上がった。
358.00	361.00	サールグラウンド風があります。
361.00	363.00	気になるところよくとりました。
363.00	365.00	サンドイランはスタートル構えだけです。
365.00	367.00	ここは秘めのおうちとりました。
368.00	370.00	スクイズしてきました!
370.00	373.00	フォーム、フォームの来るし、
373.00	376.00	スクイズしパイ。
380.00	382.00	2つ目のおうと取りました。
382.00	385.00	完全にプラブトスという感じではなかったんですか?
385.00	388.00	はい。ただの何回も後のノインくんのですね。
388.00	391.00	スタート出手が非常に良いですよね。
391.00	394.00	これ初くなる感じですよね。
394.00	398.00	キレイなトスにはならなかったんですけども、
398.00	402.00	スタートが良かったとしっかりとキャッチャーまで出ておきましたよね。
402.00	405.00	ここはイープレイも一つありました。
405.00	408.00	主番の流れに左右されそうな画面になりました。
408.00	412.00	それといい反応ですのによく取りました。
412.00	415.00	スリーアウトランナーミシャザンディ。
415.00	420.00	2回のおうと大きなチャンスを作った大阪海星学園ですが
420.00	422.00	九州国際大不足が気に抜けました。
422.00	424.00	いいプレイでしたね。
424.00	427.00	何度後の反応バンド処理もそうですけども、
427.00	428.00	非常にですね。
