start_time	end_time	transcript
0.00	6.00	フォリエートをしてこの大会3試合目の先発になります
6.00	9.00	Kijimaさんどんどんの回復のプッチャーというふうにご覧になっていますか
9.00	14.00	やはりこの変化球でこう打たせで撮るそういうタイプのピッチャーですね
14.00	18.00	特に今新ジャプあるやすいだ
18.00	22.00	この2つの変化球が初心だと思います
22.00	26.00	初社間のことはフォリエートをしてはこの大会の方が
26.00	28.00	ちょっと高いという話をしています
28.00	32.00	今日はそのボールの1つポイントになるでしょうという話をしていました
32.00	34.00	中学間にはプレッチャーがかかります
36.00	38.00	撮ち取りましたセカンドフライです
38.00	42.00	セカンドはセバンゴ14番の宮城浜がなうか
44.00	46.00	最後に9球で起きてくる感じです
46.00	48.00	ダイニング外れました
48.00	51.00	高めのチェンジアップまたセカンドフライです
51.00	53.00	宮城浜で続がう
57.00	59.00	3シンプル
59.00	62.00	最も138くらい
62.00	64.00	ショット最も自然だよ感じに見えましたね
66.00	68.00	ストレートですね
68.00	70.00	ナチラウでちょっとここを続きましたね
70.00	74.00	ウラトーションは4試合目の先発です
77.00	82.00	前回の改正高校との試合では5回3分の1でマウンドを降りました
83.00	87.00	前回はちょっとうち込まれたというところもありましたけれども
87.00	90.00	ウラトーション気じまさんどうご覧になるんですか
90.00	93.00	やはりストレートを見せた間にしながら
93.00	95.00	低バラやっぱり変化というんですよね
95.00	97.00	これボロを打たせたいですよね
97.00	99.00	ただ主旅行ったのを確保した
99.00	101.00	打球が強いですから
101.00	103.00	このボロを高ましよくないやが
103.00	105.00	しっかりととるというところ
105.00	106.00	これが大事ですね
106.00	108.00	特にお差し組まれない場所が
108.00	110.00	差し組まれて一緒にしますが
110.00	113.00	構え置きをしないというふうになるんですね
113.00	116.00	改正高校選では高松省の
116.00	118.00	趣味が握れてやつの知ってに
118.00	120.00	繋がったということもありました
120.00	121.00	もう一度しっかりは
121.00	123.00	この中夜に見直してきました
124.00	126.00	さあ一番しようと見つようから
