start_time	end_time	transcript
0.00	4.00	さっこうしんでは去年の先発以来の配決
5.00	14.00	1番の境量や
15.00	19.00	中学3年時には力上の100mで
20.00	23.00	12やオリンピックにも不正を果たした選手です
24.00	26.00	そこから野球一本にしもって
26.00	29.00	この大阪東海に進学をしました
30.00	33.00	勝手の上
34.00	36.00	レプトマイヒット
37.00	39.00	ノーアウトランな1類です
40.00	42.00	奥らさん早速捧いが進めた
43.00	45.00	よかったりなりました
46.00	48.00	昨日もサフォンですか
49.00	51.00	本当に気分良くしてるんでしょうね
52.00	55.00	昨日は3がんだここまで8だす4がんだ1だけんです
56.00	58.00	2番の吉田小木
59.00	62.00	なおよじ15分にプレーボールがかかっています
63.00	64.00	バントの構え
65.00	66.00	流れるような攻撃
67.00	69.00	バンナウトランな2リ奥リバント成功です
70.00	71.00	良いバントでしたね
72.00	75.00	もう奥の時は奥ルンだっていう手ってしてますね
76.00	78.00	きっちりとき見てこのあたりの小さも
79.00	80.00	期待を上げられてきてるんですね
81.00	82.00	そうですね
83.00	84.00	今なんか本当に素晴らしいバントですよね
84.00	86.00	3番の特負る改正
87.00	88.00	福キャプテンです
94.00	96.00	サオグラさん早速捧展圏のチャンスト
97.00	98.00	よくとりなりましたね
99.00	100.00	やりあの高い君が出て
101.00	102.00	そして捧展圏に行ってこの捧まるくん
103.00	105.00	やり相手としたらきょういですよね
106.00	107.00	外側も見てましたけども
108.00	109.00	素晴らしいバッティングしますよね
110.00	112.00	インコースをついていきます
114.00	117.00	秋の近期大会の大阪東員専門工この
118.00	119.00	けさまるが先発でした
120.00	121.00	その時は6回と3分の匂いを投げて4シッテム
122.00	125.00	アホニンもカジョウに大阪東員も意識したところがあったんじゃないか
126.00	127.00	大スミカンとく話をしています
131.00	132.00	落とした
133.00	135.00	外野のシビーチバーオグラさんどうでしょうか
136.00	137.00	少し前に来てますね
139.00	140.00	そうですね
141.00	142.00	ライトはちょっと高くかめっていうぐらいですか
142.00	144.00	デフトは早く前に出てきてますよね
145.00	147.00	デフトセンターが前に来ています
150.00	151.00	小さめがプルコーシエン
159.00	160.00	カラブリサッシン
161.00	162.00	かかめのボールでした
163.00	164.00	ツールバーを取らんなら匂いです
165.00	167.00	オグラさん最後はかかめのマスグ
168.00	169.00	そうですね
169.00	171.00	ちょっと見るわずはゴールかなと思うんですけど
172.00	175.00	やはりに角度があってあの高めのどうしてもやっぱり手が出ちゃいますよね
176.00	180.00	あのトオインさんとしたらあの高さはちょっと気を付けていかなきゃいけないところだと思います
181.00	183.00	横番のラマルギーディンだたな焼け
185.00	188.00	シーム1のパワーが武器の不動の横番です
191.00	196.00	高校通産28号まー開き残す期間では5号まー開くといいます
200.00	205.00	オグラさんはこのラマルという選手はどのようにご覧になっていますか
206.00	207.00	パワーありますのでね
208.00	209.00	そして思い切って負ってきますよね
210.00	214.00	でつかやはりけざまるとしたらやはりコースを間違えないこと
215.00	217.00	手でねにひくめに上げることですね
224.00	228.00	インコースアウトコースとオグラさんここまではコントロール予算スポーズでしょ
229.00	235.00	そうですねちょっと今もうなんかバッターを意識していて3つボールになってしまったんですかね
236.00	239.00	ここはまぁポースと開いてますから
240.00	241.00	真ん中にはいったらダメですよね
242.00	243.00	ひわど聞いけるか
245.00	246.00	アウトポース決まっています
249.00	254.00	マウンドショーけざまる1回選ばメリハリのあるトオキーを見せてくれた
255.00	256.00	そんな風に話しておいています
260.00	262.00	ギリー決戦球の構えだけ
263.00	267.00	大阪党員の西田に公術監督はこのけさまの見ついて
268.00	270.00	スピードはもちろん落ちるボールも持っている通信
271.00	272.00	秋葉このボールが打てなかった
273.00	276.00	去年の春からまあ精神面でも成長している話をしています
277.00	278.00	とてに当たったか
279.00	280.00	大丈夫でしょうか
281.00	284.00	レドボールでツーバーを取らんな1連入れになります
285.00	289.00	板槽なソブリありますがラマルは一類へと進みます
290.00	292.00	最後のボールはちょっと抜けたボールなんですね
293.00	294.00	そうですね
295.00	296.00	まあ毛ざまる分からするとですね
297.00	298.00	ハリ一人一人ばった力ありますから
299.00	300.00	やっぱり気を抜けませんのでね
301.00	302.00	ちょっとやっぱりリキンだからわかりませんね
303.00	304.00	そうですね
305.00	307.00	さあ大阪党員チャンスを広げています
308.00	310.00	5番の山地
311.00	312.00	福キャプテム
314.00	315.00	この少し力が入ったでしょうか
317.00	318.00	最速は151キロ
319.00	320.00	フォークボールスライダーカーブ
321.00	323.00	この辺りを使いながらの
324.00	325.00	超新の本格側です
329.00	333.00	やがまっすぎがおぐらさんやはり高く来てるんでしょう
334.00	337.00	そうですねちょっとボールが高めに行くのじゃねー
338.00	339.00	そういう風に行くのがいい
339.00	341.00	そういう風に行くのがいい
342.00	343.00	そういう風に行くのじゃねー
