start_time	end_time	transcript
0.00	4.00	マウンド少大阪等院選発の寝室
5.00	9.00	今太会、K2試合17人5を投げまして
10.00	14.00	252球を投げています。防具率は0.53
15.00	19.00	機能順決勝見え高校選で5回からリリーフ等断、
20.00	24.00	8人ぐ994万が無しっても素晴らしいピッチングを見さまして
24.00	27.00	移動についての連動と言うことになります。
28.00	32.00	マウンド少の寝室、そして早くも3リンが投給練習場
33.00	36.00	エースナンバーをつけました。かきりが勝ちボールを始めています。
37.00	39.00	先章選プレーが勝たりました。
43.00	46.00	自然また山高校、トクワクターが完全に
47.00	49.00	収束高度のリードフマンです。
50.00	53.00	山下さん、まずやはり先端寝室の立ち上がり
54.00	55.00	中国ですね。
56.00	59.00	そうですね。逆めに2球いいボールが来てますね。
60.00	64.00	昨日99球を投げての伝統ということになります。
65.00	67.00	マウンド少の寝室。
69.00	73.00	本人は今日の朝、疲れはそれほどないということは話していました。
74.00	76.00	バースとアイサーか、何なことを答え。
79.00	83.00	アカウスさん、この目をのコンタイカーへの印象ですが
84.00	85.00	アカウスさんにかかるんですか?
86.00	89.00	印象を一旦に投げた時に
90.00	94.00	2選発して、その時というのはコントロールが
95.00	96.00	見られてたんですよね。
97.00	99.00	それを昨日の試合ではしっかりシュースでしてきて
100.00	104.00	修正能力の高さというんですが、そういうのも感じらせてもらったというか
104.00	107.00	本当に機能の試合のビッチングというのは
108.00	109.00	素晴らしいプチングだったなと思いますよね。
110.00	114.00	その3回戦名秀久選が、感動勝利を上げたんですが
115.00	117.00	ボアボールがここのスタリーでした。しかし機能は
118.00	121.00	8人5投げて、ボアボールは0だったというマウンド少の寝室。
122.00	124.00	その辺りしっかり自分で立て直してくる
125.00	127.00	その辺りさすがたなというところですよね。
128.00	129.00	そうですね。
130.00	132.00	2番の西川を迎えています。
133.00	136.00	あと、スライダーは少し抜けました。
140.00	142.00	バンナウトからリシカワースとり、
143.00	146.00	そして、今回回中国のバッター、
147.00	150.00	自分分かりは3番の早晶に迎えています。
151.00	153.00	順々結晶でホームランを離っています。
154.00	158.00	風は現在、センターからキャッチャー高校をそして
159.00	162.00	レフト高校に少し増えているという安心高身級場です。
165.00	166.00	初級から行きました。
167.00	171.00	山下さん、この3番の早晶に注目されていますけれども
172.00	173.00	この早晶のバッティング、今後は
174.00	175.00	フリア勝負は早いですよね。
176.00	178.00	あの、初間方向に打っただけは早いんですけどね。
179.00	180.00	ちょっとあの引っ張りすぎですよね。
182.00	185.00	本人もちょっと気持ちが入りすぎているかなという風話はしていますね。
186.00	188.00	そうですね、硬い力が入っているので、
189.00	191.00	もしもし硬い力を2点くったらいいと思うのですけどね。
192.00	196.00	高校通産3中、4号マーというバッターボックスの早晶です。
197.00	198.00	運人高生。
201.00	205.00	この目を2対して、自分分かりはどう攻略していくか
206.00	207.00	その辺り赤ウスさんポイントに上げています。
208.00	210.00	松野達上がりです。
216.00	218.00	青と高生パイ!
222.00	224.00	ツイワーと音を取りました。
225.00	228.00	いやー、高校さん、素晴らしいボールですよね。
229.00	231.00	そうですね、最高の音を投げましたよね。
232.00	234.00	その前の2球がインコースをきっちり投げてましたので、
235.00	238.00	やっぱり左バッターからすると、あのインコースの内側に入ってくる
239.00	242.00	この寝奥のスライダーというのはなかなかうちくずの難しいですよね。
242.00	243.00	はい。
247.00	248.00	4番のキャクテン、踏み物。
249.00	251.00	この踏み物は今回会講庁です。
252.00	256.00	4割1グニリン、バッツグンの調だ力を起こります。この踏み物。
261.00	262.00	赤ウスさん、このスライダー。
263.00	264.00	そうですね。
265.00	268.00	寝奥のこのスライダーというのは、多分今まで対戦してきたピッチャーの中でも
269.00	270.00	ちょっとグーンを抜いてすごいスライダーだと思うんですよ。
271.00	275.00	そういう意味で言うと、このスライダーを見極めてまっすぐ狙っていくのか
276.00	280.00	その辺というのも、地面若いまがどう攻略していくかひとつのポイントにはなるでしょうよね。
281.00	286.00	今2回のスライダーを投げられましたが、ここはバッドが止まりました。
287.00	288.00	よく見送りましたよね。今ね。
289.00	290.00	アウトコース
299.00	303.00	やー山下さん、本当にコントロールよくスクリックよく来ますね。
304.00	305.00	ねー、今日はいいですね。
306.00	309.00	すごくもうストレックかボールが上がらないようなボールがないできますかね。
310.00	312.00	まつかれはありません。
313.00	316.00	今日朝先発を告げられて、よしと思いました。
317.00	318.00	そう話していました。試合前の寝室。
329.00	334.00	まこのオース、予感のキャプテンクリモとオースカ東インに革かめにここまでやってきた。
335.00	339.00	オースカ東インは仕事期、今日はレオドスライダーに気を付けたい。
340.00	343.00	ストレートには力巻きしないようにいきたい。
344.00	345.00	そう話していました。
346.00	347.00	カキャが2つ目のデドボールです。
349.00	352.00	山下さん、ちょっとスライダーが抜けているボールもありましています。
353.00	357.00	ミンバッターのインコースに投げるスライダーが、やっとボールにあってますからね。
358.00	361.00	左バッターのときはスライダーが決まっているんですけどね。
362.00	364.00	バッターボックスは5番のとみた。
365.00	369.00	このとみたも今回会、広場を全試合でヒットを穴っています。
377.00	382.00	そしてこの後は、今回会、大化せやく、未練生の黒川。
384.00	387.00	順序決勝では、さよならタイムリーツイレース。
388.00	389.00	そして、ボームなのも話しました。
391.00	394.00	3回2話して 戦幌の5つ目
395.00	397.50	をoughs over the einf know
398.00	400.52	ばっかりしていないライ câが飛行するようになり Ei
401.00	404.00	店長が負けいないです。
405.00	407.00	店長は巴皇献だいぶ使い過ぎるだけ、
408.00	409.52	一口でファリゲー、
410.00	411.00	取り命児生的な野球に広場歩地、
412.00	414.00	気 see って乗ってた秒の衣群では
415.00	416.00	 really good but...
417.00	420.00	ていますよね?
421.00	426.48	立ち上がりピンションも変えています ラウンドショーセンパスと目を
433.08	436.48	センパーは不思議だ セリアウトランナー2人
436.48	440.88	そういうの下が出てんに押さえています
440.88	445.40	今日センパツマンドを曲がされました 2年生のイケダです
445.40	455.12	今回会 6回と3分の2を投げまして 防具率は9.45 k179をここまで投げています
458.76	463.60	1回の裏大阪東イン高校1番が宮崎
463.60	467.60	4回の中に出ています
471.60	476.60	さあ両投資がどんな立ち上がりを見せるのかこの決勝戦
478.60	482.60	山下さんが自然わけ山の京都学校コイントがという話がありましたが
482.60	487.60	このイケダがどんなピッチンに見せてくれるかですね
488.60	494.60	大阪東の左出ては多いだけでこの左出てはどうしているかですね
494.60	501.60	左バッターこの後2番の青ち3番の中側そして4番の不知ばら5番の目音
501.60	505.60	左バッターがついていきます
506.60	509.60	風はホローです
509.60	512.60	しかしレフトと見たのしび範囲真の音
512.60	516.60	まず戦闘バッターを一人ました
516.60	520.60	京本すぎ上に強い浜稼が入っています 半身高専急庁
520.60	526.60	2番は青ち 今太会当たっています
526.60	532.60	2回戦3回戦は1試合連続で3回の中側に出ています
532.60	537.60	2回戦3回戦は1試合連続で3番だを話しました
545.60	550.60	ファーストをキャッチェン踏みろとツウワーと
550.60	554.60	まず2つ出てた後取りました 京先発のイケダ
554.60	557.60	このイケダは2回戦のとやま少業戦でリリーフトーバン
557.60	561.60	そして機能診決勝の東海代探店で先発
561.60	564.60	しかし機能はバンナウトも取ることができずに
564.60	567.60	1回途中4時点で後半と言うことになりました
567.60	572.60	機能21気を投げ 京伝統のマウンドと言うことになります
572.60	574.60	先発とイケダ
574.60	578.60	大阪等員3番はキャプテルの中側
582.60	585.60	赤ウスさんはい、先発とイケダとしましては
585.60	588.60	機能の悔しさを持っての京のマウンドと言うことになりますよね
588.60	593.60	それがこの戦闘バッタそして2番との対戦を見てね
593.60	595.60	そう感じますよね
595.60	599.60	レフト第1よりパールです
599.60	603.60	そのスイッパーをしっかりまず立ち上がり
603.60	605.60	2人が会うとにとってね
605.60	607.60	来ましたよね
607.60	612.60	京仲とに京地から先発を告げられたということを話していました
612.60	613.60	イケダ
613.60	615.60	機能は悔しいきっちりになってしまったけれども
615.60	617.60	機能の分を取り返すやり返す
617.60	620.60	そういう気持ちで京話マウンドに上がりたい
620.60	622.60	そう話していました
625.60	628.60	特にクリーンラップには気を付けたいと話しています
628.60	630.60	マウンド少のイケダです
