start_time	end_time	transcript
0.00	5.00	中目のこの法徳学園体先台区への医戦
6.00	9.00	今日先発を任されたのは巻アイウムでした
10.00	12.00	ここまでは西アイ
13.00	16.00	いずれもリリーフでの答案ということになりましたが
17.00	21.00	今日の解説は完成学院高等部野球部全監督
22.00	25.00	広川マソノブさんでお送りをしていますが
26.00	29.00	さあ広川さんこの巻のピッチングどの当たり期待されるでしょうか
30.00	32.00	新的にも非常に強いですし
33.00	36.00	大事な試合それよりの立ち上がり見せるか注目ですね
37.00	40.00	巻アイウムピンチにも同時ない同競があり
41.00	43.00	2年生と言うふうにお寿命監督は話しています
49.00	50.00	名ボールがかかりました
54.00	56.00	変化球から巻き込みました
56.00	61.00	巻き込みのバッターボックスが一番のまだ週や
62.00	63.00	100点です
72.00	74.00	さあこの巻の立ち上がりということになります
75.00	77.00	本体会西アイトもリリーフ等番ですが
78.00	81.00	いずれもノウヒットに押さえているという安定感のピッチーです
87.00	89.00	試合は4時10人プレーボールかかっています
90.00	91.00	大会東カメの第4試合です
94.00	99.00	さあこの巻き変化球のカットボール2Cのチェンジャップスライダーと
100.00	101.00	タサイナピッチャーです
102.00	103.00	この線台意見に対して
104.00	105.00	巻き込みたてでいくか
106.00	107.00	おなかにも注目ですね
108.00	110.00	この巻き込みのバッターボールは
111.00	113.00	1つの巻き込みのバッターボールは
113.00	115.00	1つの巻き込みを引き込みたていったりも注目ですね
116.00	118.00	ここまで平安コッターちゃがり変化球ですね
119.00	120.00	へー
122.00	124.00	この巻きの縦に割れる変化球
125.00	126.00	このボールに決まりましたか
127.00	129.00	一番の山が似たりするピッチングです
135.00	137.00	巻きと降りのバッテリーです
139.00	142.00	どうこの巻き込みの線台意見を向かっていくか
143.00	145.00	一番の山が似たりするピッチングです
146.00	148.00	一番の山が似たりするピッチングです
149.00	151.00	セントーバッターフォアボールで出ました
152.00	153.00	ノオワウトランナー1類です
154.00	157.00	50メートル6秒1 収束の山々が出ました
158.00	161.00	セントーバッターは広がさフォアボールで出すという形になりました
162.00	164.00	そうですね ストレートが少し近いできましたですね
165.00	166.00	へー
167.00	168.00	3回線は
169.00	171.00	5つの通りをチームで決めたという線台くらい
171.00	173.00	どこでこの通りを仕掛けてくるか
174.00	175.00	二番の橋本講がです
179.00	182.00	広がさん教見のキャッチャーを掘りなんですけれども
183.00	185.00	この通りという部分どのようにご覧になっています
186.00	187.00	非常に見物ですよね
188.00	190.00	足の線台くらいたい教見を掘りくの体決
191.00	192.00	見物ですね
193.00	194.00	どこで仕掛けてくれでしょうか
195.00	196.00	教見教団の掘りです
197.00	199.00	非常に勝手が強いキャッチャー
200.00	203.00	昨日のゲームでは通りを一つ決められて非常に悔しかったと
204.00	206.00	いう風にゲームを話していました
213.00	215.00	収束の山々しかけるか
220.00	223.00	かなりピッチャーも広がさん警戒しているので
223.00	224.00	今度のゲームをお見せします
231.00	232.00	セイフティバットの構え
233.00	234.00	シンゴを取られましたキャッチャーに一リ装着ですが
235.00	236.00	タッチはセーフレス
237.00	238.00	もう一気しましたね
239.00	240.00	盛り組んですね
241.00	242.00	ガーサツ一リ装着
243.00	244.00	片も強かったですがね
245.00	247.00	今撮ってから速いし片も強いですよね
248.00	250.00	だから一リランな山々もよく戻っていました
253.00	257.00	客隊は2人の上に
258.00	259.00	1人の横
260.00	261.00	センターマイヒット
262.00	263.00	1リランなアバッジ2リストップ
264.00	266.00	ローアウトランナー1リ2リ
267.00	268.00	選d 行けチャンス拡大です
269.00	271.00	広がさ今のバッティングどのようなグランナルでしょうか
272.00	274.00	変化吸が少し上手く入ってきました
275.00	277.00	しかしバッター上手く引きつけましてね
278.00	279.00	センターにうち解しました
279.00	283.52	3番のテラダがこれからバッターボックスに入ります
283.52	288.12	すげー監督が広がさことクリーヤプレイどうしかけるか
288.12	292.00	もう何度もできますよねバッターリーセフティバンターリーですね
292.00	297.20	今日でありですね本体会はまだヒットが出ていませんバッターボックスのテラダです
297.20	299.58	バントの構えピチャの前頃だった
299.58	302.50	大きいデサルやよくさしました
302.50	307.24	ホープレーバッターを取らんない1類に入りに変わります
307.24	312.54	マーキングが感発入れずに広がさスタンルに行きました
312.54	314.74	バントが正面になりましたけどですね
314.74	317.10	フィルティブをやらかいですね
317.10	319.54	ナイスフィルティックです
319.54	321.58	チャンス拡大とはなりませんでした
321.58	324.58	戦隊行くから特点権にまだランナーがいます
324.58	327.62	真ん中を取らんない1類に入り
329.62	332.94	両チームの監督が指示を飛ばします
332.94	335.54	4番の再途を開か
335.54	340.44	今体会場9出数の4がんだ当たっています
342.60	349.14	チームナンバー1のコンタクト力と入風に強いカットクは話しています
349.14	353.74	言いばっかに広がさまわるという形になりましたね
353.74	357.24	あんなを取らんな1例に入れです
358.24	363.24	バッテリーとしてはどんなことを考えながらの攻めになるでしょうか
363.24	366.24	ともか思い切って両コーナーを攻めてもらいたいですね
366.24	370.24	チータンパラを受けますと入手のバッターですからで
370.24	372.24	しっかりと引いてきますよね
372.24	374.24	ガイヤバコランのシビーチです
376.24	380.24	3度いなば風に乗って切れていきました
380.24	383.24	この大温試合非常に風が強くいています
383.24	385.24	今のボールは外をいいところに行きましたでしょうか
385.24	387.24	そうして少し暴かったんですけど
387.24	389.24	腕がよく触れてましたからね
389.24	390.24	球が消えてましたね
390.24	392.24	先発をたくされました
392.24	394.24	マウンド上の2年生巻きです
396.24	398.24	上空はライトからレクトを攻撃の風
401.24	403.24	逆方向に脱ぎを飛ばしていきます
405.24	408.24	キャッチャーは広がさに銀行かなりよったところに構えていましたが
408.24	410.24	はい、思い切っていこうしてましたね
412.24	414.24	バッターの再途を開いた場
415.24	418.24	初戦逆方向に3段で離っています
422.24	423.24	レフトフライ
423.24	425.24	山巻きが下がって球を構えました
426.24	428.24	スーパーを1連揺れに変わります
430.24	432.24	うまく打たせたような形になりました
432.24	434.24	そうですね、追い越えましたからね
434.24	436.24	最後はユルイボールでタイミングを外しましたね
437.24	440.24	上空はご覧の風、ライトからレフトを攻撃の風が吹いています
441.24	443.24	5番の大型ミキトです
444.24	447.24	競験競だ2戦続けてアルチット離っています
457.24	458.24	マウンド上巻き
458.24	460.24	初回0で死ぬゲルか
468.24	469.24	ユルイアカチョ!
469.24	470.24	セブン
471.24	473.24	ここもしっかりドランスを見ています
473.24	474.24	キャッチャーのホリです
474.24	476.24	ずっとなってますよね
476.24	477.24	何度も強いですね
477.24	479.24	と言うりしませんね
480.24	482.24	これは戦内行けもかなり不戦争です
483.24	484.24	キャッチャーのホリ
487.24	488.24	レフトの前
490.24	491.24	追い付きました
491.24	492.24	山巻きが取っています
492.24	494.24	スーパーを1連揺で選振り
495.24	496.24	この高橋がどこで出てくるかも
496.24	498.24	ギロカさん楽しみになりますね
498.24	499.24	楽しみですよね
499.24	502.24	もうキャッチャーモールを初め音をすることがありましたが
502.24	503.24	あの
503.24	505.24	昨日開いてるんですね
505.24	506.24	東側がなくて
506.24	508.24	そういう面ではバッテムだと思いますね
509.24	510.24	一番のイバモト
513.24	515.24	半知力がある一番です
516.24	518.24	明らけの犬大会は2番をつとめていましたが
518.24	521.24	今太会はいずれも一番出る必要です
522.24	523.24	戦闘は2端
526.24	528.24	最速147キロを誇る
528.24	530.24	大半サウスポです
532.24	533.24	遠駆を続けてきました
539.24	540.24	大一戦駆9
541.24	543.24	キロカさんはこの2番ピッチング
543.24	545.24	どんなところ期待されるでしょうか
545.24	547.24	とこかく素材はですね
547.24	548.24	一球日だと思いますからね
548.24	549.24	腕をよくずって
549.24	550.24	覚えきけなげてもらいたいですね
550.24	551.24	ねぇ
552.24	555.24	高調子は有意に140キロを超えてくるという
555.24	556.24	真っすぐになります
556.24	557.24	マウンド状の2ターハルト
558.24	560.24	2場手権大夫な都市出身
560.24	562.24	少年野球チームと中学校の
562.24	563.24	4学年上に
563.24	565.24	ダベルBCでも活躍した
565.24	567.24	ささきローキトをしないです
571.24	572.24	2映画質の3心
572.24	574.24	ワンナウトランなありません
575.24	576.24	変化キューローここは
576.24	577.24	広化さん続けました
577.24	578.24	はい
578.24	580.24	思い出の振りで変化キューキューきましたからね
580.24	582.24	来光家席に決まりました
583.24	584.24	2番の山マス
589.24	593.24	初戦場雨で
593.24	594.24	抜かるマウンドに
594.24	595.24	くせんもしまして
595.24	597.24	成球がさらわりませんでした
597.24	599.24	ただきょうは立ち上がり
599.24	600.24	非常に安定してるという
600.24	601.24	マウンド状の2ターです
602.24	603.24	ガイヤはセンターが
603.24	604.24	やや左降りです
609.24	610.24	左バッターなんですが
610.24	611.24	センターやや
611.24	612.24	左降り
612.24	613.24	全体的にガイヤが
613.24	614.24	左降りですの
614.24	615.24	そうですね
615.24	617.24	はい、はい、はい、ボール1ターいして
617.24	620.24	逆をこう狙ってくるだろうという事なんですね
620.24	622.24	ショートゴロ
622.24	623.24	しっかりとさまきました
623.24	624.24	山中さまいて
624.24	626.24	あん、ツーアウトランなありません
627.24	628.24	ナメラからステップアクが
628.24	630.24	光るという山中さまいています
631.24	633.24	今はもうマスグ
633.24	634.24	はい、今らすましたね
634.24	636.24	ショート警戒なシピでした
636.24	637.24	山中
641.24	643.24	素晴らしいシビガールという
643.24	644.24	キャプテン山中です
645.24	646.24	こちらもキャプテンが
646.24	647.24	ホリ
650.24	652.24	競件競だ足も早いという
652.24	653.24	ホリ収納
654.24	655.24	昨日の3回線は
655.24	657.24	4月3日んだ
657.24	658.24	1打点と
658.24	659.24	当たっているバッカーです
661.24	663.24	バッカーのホリバー
663.24	665.24	センターイクエイが
665.24	666.24	昨年の夏
666.24	667.24	高射で優勝する瞬間を
667.24	669.24	スタンドから見ていたという事です
671.24	672.24	このセンターイクエイの
672.24	673.24	キャッチャー
674.24	675.24	このオガ
676.24	677.24	大型に対して
677.24	678.24	ライバルシングある
678.24	679.24	タイヤルバッターボックスのホリ
689.24	691.24	注目のバッターということに
691.24	692.24	一つ広くさんになりますが
692.24	693.24	なりますよね
693.24	694.24	はい
694.24	696.24	非常に実践的なバッターですね
700.24	701.24	一つ間を取りました
702.24	705.24	ホリの
705.24	706.24	ラッティングのいいポイント
706.24	708.24	実践的なバッティングが
708.24	709.24	できるという話がありました
709.24	710.24	そのあたり
710.24	711.24	それとですね
711.24	712.24	今もう3本からですね
712.24	714.24	普通は行きも
714.24	715.24	あってもいいところなんですけども
715.24	716.24	キティングですからね
716.24	717.24	4個は
717.24	719.24	そういう積極をせっていますか
719.24	720.24	8期な面で出てますよね
725.24	727.24	ツーバーを取らんな1類です
728.24	729.24	ツーバーを取らながら
729.24	730.24	ランナーを出しました
730.24	732.24	さあそして
732.24	733.24	ランナーを1人出して
733.24	735.24	4番の石の連絶が
735.24	736.24	好きに入ります
736.24	738.24	初戦
738.24	739.24	ツーランホームランも
739.24	741.24	払ったというこの石の
741.24	743.24	運行スイクメの
743.24	744.24	広がさん難しいボールですが
744.24	746.24	難しいボールをコンパクトに
746.24	747.24	振りましてね
747.24	748.24	ライナーでレフトで
748.24	749.24	一応くせんですよね
749.24	751.24	その石のが
751.24	752.24	出すぎに入ります
752.24	754.24	本体会
754.24	755.24	8だすうの4が
755.24	757.24	当たっている石のです
760.24	761.24	そして
761.24	762.24	足も早いという
762.24	763.24	1リランナーの
763.24	764.24	ほり
764.24	765.24	50メートル
765.24	766.24	6キピョを1の収束です
766.24	768.24	ライバルだと思っている
768.24	769.24	このキャッチャーの
769.24	770.24	大型に対して
770.24	771.24	通りを仕掛けるか
772.24	773.24	このあたりの
773.24	774.24	キャッチャー同士の
774.24	775.24	争いというのも
775.24	776.24	勝手いうのも
776.24	777.24	見所ですかね
777.24	778.24	見所ですね
778.24	780.24	キャッチャーの大型も
780.24	781.24	競件です
786.24	787.24	ランナースタート
787.24	788.24	キャッチャー2リ装飲
788.24	790.24	タッチバッセフ
790.24	792.24	取り成功
792.24	794.24	ツーバウトランナー2リです
794.24	796.24	ライバルである
796.24	797.24	大型から
797.24	798.24	通りを決めました
798.24	799.24	取り主流なです
799.24	801.24	今のスタートはいかがでしたでしょうか
801.24	802.24	いいスタートですよ
802.24	804.24	もう優秀シェフでしたからね
804.24	805.24	そうですね
805.24	807.24	完璧なスタートを
807.24	808.24	見せました取り主流な
808.24	810.24	ツーバウトランナー2リ
810.24	811.24	チャンスを作っています
811.24	812.24	豊富学園です
816.24	818.24	ランナーを
818.24	820.24	広化さ得点権に進めて
820.24	821.24	この予防の石のと
821.24	823.24	というのは一つチャンスですかね
