start_time	end_time	transcript
0.00	4.00	6点後、お手のこれから4回の持ての攻撃カーじまりです
4.00	8.00	当たちさんの最後の夏は、初は59年のレートでしたけれども
8.00	13.00	さあ、6点後4回の持て、自分は、かやま高校の攻撃です
16.00	21.00	これ、高難の1年生プッチャー、200ギートってばこの6点というのは、こうですが、非常に有気になりますかね
21.00	27.00	そうですね、やはり対量点とってもらったんですね、楽になられると思いますね
31.00	38.00	この1年生プッチャーをみんなで盛り立てていきたいという話をしていました、たりです
40.00	44.00	自分はかやまはこのタイヤバのクラのからです
44.00	49.00	 in
51.00	52.00	3
52.00	53.00	2
59.00	63.00	スマッています、スマッています、ドバイト、カワミツ
64.00	66.00	数が、目前数が無限な撃 Naughtranaにありません
66.00	69.00	4回の持て、6回レート、6点 boilingです
69.00	72.00	自分はかやま高校の攻撃です
72.00	84.80	そうですねあのやっぱり インコースのそれとというのは絶対投げてくるボールなんでねやはりそのへのインコース中心にやっぱり右だしゃは待っててもあの面白いと思いますよね
89.04	92.32	ご番来途先です
92.32	97.32	バッタの先勝と金城
97.32	100.52	一ベーッ
100.52	104.22	後ろにそらしたバッタランの一流に行きかけた
104.22	106.16	戻ります
106.16	108.56	見るに行きかけて戻ります
108.56	117.76	1名うくらんな一流記録がショートのエラーが記録されています4回のモテロク回で6点を自弁枠やまの攻撃です
117.76	125.32	さあ自弁枠やまとしてはこのランナー大臣才ですね そうですねあの鳥がグランナーをためてですねあのやっぱり行ってんす
125.32	137.96	あの返していくっていうのは一番ですねこれ1点でも返すとこの回違いますかそうですねあの取られたあとすぐ取るっていうのはねやはりあのダメージは相手一分ダメージはありますよね
137.96	141.56	6番のファースト2元です
141.56	147.08	今のインコースのスレートから入ってきましたかなり足を下げてよきまして
153.32	156.36	このインコースを狙っても面白いというような仕上りましたね
156.36	162.12	そうですねあの必ずインコースくるんでですねそこをね貼ってでもいいですよね
162.12	173.00	ドキオリ右バッターの外へのストレートもあるんですがあれば右バッターどうかのように
173.00	178.12	そうですねあのどちらも音っていうのはね撃ちないと思うんでね
178.12	180.60	1回当たりに向ける
180.60	188.04	1なうとらんな1類2類4回のモテロク回で6点もいます自弁枠やまの攻撃です
189.00	191.72	どちらもと言うのがとなですかねそうですね
191.72	197.56	やはりあのインコースに貼るかここに貼るかというところで撃った方がいいと思いますね
197.56	201.72	今のもねインコースの高めに来てそうねしっかりやっぱりセンターに返しますんでね
201.72	203.72	多分いいと思いますね
203.72	206.92	レフター止めたくん
206.92	214.20	さあそしてエラーヒットでワンラウと1類2類で並ばのレフト止めた
214.36	220.84	特点のチャンスは4回のまて6点も専用された直後です
220.84	223.56	ここもインコースから入ってきます
223.56	228.68	さっきほどねトミタ君ね本当にいい当たりしてますんでねあのインコース怖いと思うんですけどねやっぱりインコース
228.68	230.44	来ますからね
230.44	235.88	さあドムグラードを始めようないい当たりの3比 senのギテレスか
238.12	241.08	そのトミトにインコースに引き続けますねそうですね
241.16	247.80	トミタ君はやはり先ほどやっぱりインコースを打ってるんでアウトコースに貼ってるみたいな見送り方でしたよね今のは
247.80	252.20	それを感じて逆を付いたんですかそうですね
254.28	259.88	キャッチアマタイインコース外に来たファルです今のトミタの感動はどう感じですか
259.88	267.72	やはりアウトコース行ってるんでやっぱり外からの変化器ですけどしっかりやっぱり打ちに行きましたよね
268.68	271.56	構えは打ちでしたバッテンです
272.52	276.44	4回のまて6点を専正されたちょっとご自分はファヤマ
276.44	278.92	カッチアプレアートコース
290.60	294.76	地方大会ではホームランになりますトミタ
295.72	299.72	またキャッチア外
302.44	311.32	見ています事故とは3人になりましたニュースはこの会の自弁バカイ場の攻撃が終わり次第を伝えします
315.56	320.84	また打ちよりに構える
321.80	327.80	追い込んでからのバッテリーの背鳴そしてバッターの反応を感じます
327.80	335.24	早い球にやはりタイミングが押しますんで今の変化器はパールにしたという感じですよねバッテンです
337.88	341.88	トフテンのチャンス4回のまて4弁バカイマ
341.88	343.88	カッチアインコース
343.88	348.20	厳しいコースです3ボールスです
350.84	352.84	3ボールスです
356.84	360.84	1ボールスです
360.84	366.84	次は89名ランナースタート
366.84	370.84	1ボールスです
370.84	372.84	2ボールスです
373.80	377.80	ここも変化器が付いてきました
377.80	383.80	追い込まれてもやはりしっかりストレート変化器が共に付いてきてますよね
383.80	387.80	次は99名です
389.80	392.84	4ボールス
392.84	396.84	格闘はよくネバッティ4ボールは選びました
396.84	400.84	1なうくらんなら万類4回のまて自弁バカイマの攻撃です
400.84	404.84	6点の戦争された直後4回の戦士
404.84	407.84	1番ショート2しかが
407.84	412.84	3万類守ります高男高校は6点のリードもしり
412.84	416.84	2番ショートが2ルイシューのラブルプレイ改正
416.84	420.84	8番のショート2しかが1年生
425.84	428.84	本当に見いわったのインコースへの攻撃を変えますよね
431.84	434.84	第1出席はデドボールでする意識です
434.84	436.84	89ネバリーにしています
444.84	446.84	1回目です
452.84	456.84	1回目の意識となったら大事なのが大事になりますか
456.84	460.84	1回目の戦争は早い場合に合わせて
460.84	464.84	変化技を守っているかと思うので
468.84	472.84	1人帰ってきて6回1
472.84	474.84	2ルイランナーソップ
474.84	478.84	4回のまて6点の戦争された直後1点も開始ました
