start_time	end_time	transcript
0.00	5.00	1回選抗風のエース、子供はベンチスターと言うことになります。
5.00	10.00	11番の糸、それから16番の宮本がピッチャーです。
10.00	14.00	1回目、英語高校の東に決め。
15.00	19.00	1回目、ファンダー新幹線と40歳です。
19.00	25.00	1日若山高校から最初が来いに来い、2012年8月からTも引いています。
25.00	28.00	高校選5回目の災害、商業家の先生です。
28.00	30.00	次第に始まります。
31.00	34.00	1回選、3番から1番が上がりました。
34.00	35.00	とってもです。
36.00	40.00	中野のこのゲームの勝ち上がるべくなるのになります。
40.00	43.00	秋の高校室店はご覧の数字です。
45.00	49.00	ただ、特意すべきは、それまでマークシマムは143教でしたが、
50.00	55.00	3月6日の練習時代で146キロマークシスと登り上がりです。
55.00	56.00	そうですね。
56.00	57.00	登りザカリですよね。
57.00	58.00	2年生です。
58.00	60.00	173cm、78キロ。
63.00	66.00	このボールの積み合い当たり、どうですか?
66.00	71.00	自信を持っているのは、ストレートとスライダーだと思います。
71.00	75.00	かなりボール力が強い感じで投げています。
75.00	77.00	24分プレーボー。
78.00	79.00	これがスライダーでしょうか?
81.00	83.00	こづの組み合わせですが、
84.00	87.00	多輩の辺が、秋の中に持っているようですね。
87.00	88.00	今は遊んでましたね。
88.00	89.00	遊んでましたね。
91.00	94.00	まず、トークボールを投げました。2年生の4年だ。
97.00	98.00	ストレートです。
100.00	101.00	フェアです!
101.00	104.00	サークロック、2回選ば3番だ。
104.00	106.00	2回選に最初のバッターボックスで、
106.00	107.00	フェアとイレース!
108.00	110.00	フェアと選に入れました。
110.00	112.00	ノーガオトランナー2ライン、
112.00	114.00	早速ワクマス1リエンガバー、ご覧いただきます。
114.00	117.00	ソッドのバッターボックスとストレートを投げました。
117.00	120.00	本当に上手く腕を伸ばして、
120.00	121.00	ハッコいました。
121.00	126.00	やはり一番に黒く持ってきた戦断したいという気持ちが、
126.00	128.00	やはり形になっていますよね。
128.00	131.00	ある程度、こぞの先発想定で、
