start_time	end_time	transcript
120.00	123.88	wh
123.88	129.36	1
132.60	136.10	h
136.14	138.86	d
139.22	144.78	uce
264.78	288.14	【作詞姿】
288.14	295.14	一つ cl に
348.14	355.14	ん
355.14	360.14	ん
360.14	365.14	ん
365.14	370.14	ん
370.14	373.14	ん
373.14	377.14	ん
377.14	384.14	ん
384.14	389.14	ん
389.14	395.14	ん
395.14	399.14	ん
399.14	404.14	ん
404.14	411.14	ん
411.14	414.14	ん
414.14	418.14	ん
418.14	423.14	ん
423.14	427.14	ん
427.14	431.14	ん
431.14	433.14	ん
433.14	440.14	ん
440.14	443.14	ん
443.14	445.14	ん
445.14	448.14	ん
448.14	452.14	ん
452.14	456.14	ん
456.14	459.14	ん
459.14	462.14	ん
463.14	465.14	ん
465.14	467.14	ん
467.14	470.14	ん
470.14	473.14	ん
473.14	475.14	ん
475.14	478.14	ん
478.14	481.14	ん
481.14	484.14	ん
484.14	488.14	ん
488.14	491.14	ん
491.14	493.14	ん
493.14	495.14	ん
495.14	498.14	ん
498.14	501.14	ん
501.14	503.14	ん
503.14	506.14	ん
506.14	509.14	ん
509.14	511.14	ん
511.14	514.14	ん
514.14	517.14	ん
517.14	520.14	ん
520.14	522.14	ん
522.14	524.14	ん
524.14	527.14	ん
527.14	530.14	ん
530.14	532.14	ん
532.14	535.14	ん
535.14	538.14	ん
538.14	540.14	ん
540.14	543.14	ん
543.14	546.14	ん
546.14	549.14	ん
550.14	552.14	ん
552.14	554.14	ん
554.14	557.14	ん
557.14	560.14	ん
560.14	562.14	ん
562.14	564.14	ん
564.14	567.14	ん
567.14	569.14	ん
569.14	572.14	ん
572.14	576.14	ん
576.14	579.14	ん
579.14	581.14	ん
581.14	583.14	ん
583.14	586.14	ん
586.14	589.14	ん
589.14	591.14	ん
591.14	594.14	ん
594.14	597.14	ん
597.14	599.14	ん
599.14	602.14	ん
602.14	605.14	ん
605.14	608.14	ん
608.14	610.14	ん
610.14	612.14	ん
612.14	615.14	ん
615.14	617.14	ん
617.14	620.14	ん
620.14	623.14	ん
623.14	626.14	ん
626.14	628.14	ん
628.14	631.14	ん
631.14	634.14	ん
634.14	637.14	ん
637.14	640.14	ん
640.14	644.14	ん
644.14	647.14	ん
647.14	650.14	ん
650.14	654.14	ん
654.14	657.14	ん
657.14	660.14	ん
660.14	663.14	ん
663.14	666.14	ん
666.14	669.14	ん
669.14	673.14	ん
673.14	676.14	ん
676.14	680.14	んと
680.14	684.14	ん
684.14	686.14	ん
686.14	689.14	ん
689.14	692.14	ん
692.14	695.14	ん
725.14	729.14	★
729.14	731.14	★
731.14	735.14	★
735.14	738.14	★
738.14	741.14	★
741.14	745.14	★
745.14	749.14	★
749.14	752.14	★
752.14	753.14	★
753.14	757.14	★こんにちは、ぽちっていいですか?mcのレイニャーコード、キョコレーなです★
757.14	765.14	★このコーナーでは、様々なゲームのスペシャリストとともに、1欄しぐっつをご紹介させていただくコーナーとなっております★
765.14	769.14	★本日のゲストは、口色を変わったら★
769.14	773.14	★皆さん、ポチってますか?勝つよんです!よろしくお願いします★
773.14	776.14	★ポチってますか?★
776.14	779.14	★本日、きょかさんにポチっていただくのはこちらです★
779.14	782.14	★ルシアントセラのディアフィアト★
782.14	786.14	★ポチってますか?★
786.14	790.14	★プープレセットですから、ここで3分でまとろいの大変ですよ★
790.14	811.14	★ルシアントセラがね、プープレーターというのは、皆さんご存知のと思うんですけれども、初めはね、ルシアンしかいなくて、そもそもスレッシュにおくさんの魂取られちゃいましたが、ストリー持ち出てきたキョンだったんですけれども、10周年記念イメントの後に、見事をスレッシュのランタの中から開放されまして、大体こいつの性能ですけれども、スレッシュ以外者の会みたいなもんね★
811.14	815.14	★ジャンベロタカンにもありますから、これしゃべることが生まれまるぞ★
815.14	827.14	★ブジネを開放されまして、見事今はフルーフで様々な人に見切るようなったし、光の番人として一生戦っていますと、光の番人イメントもよかったですね★
827.14	830.14	★おー、セナ★
830.14	836.14	★セナはめちゃくちゃデカい武器持ってるって言うのに出てきたのがすごい印象的でしたよね★
836.14	842.14	★ルシアンが二調装車で使っている武器の一つはセナが戻ってた武器です★
842.14	855.14	★スレッシュにバレてしまった後に日本武器になったというのが、これを後ろに出ているスクラッシュアートというか、あとは、LORの方で出てきたアートなんですけど、これ、生存のセナなんで、一調絶もっていったでしょ★
855.14	857.14	★ウォンタダー★
857.14	865.14	★セナが持ってるクソでかい武器は、ルシアンナラン、スレッシュのランタの中にとっても、光の番人たちが持っています★
865.14	877.14	★フークセットなんで、やっぱりタンピンで売る必要じゃないわけですよ★
877.14	884.14	★ナマデに利用で売ってあると言うのが、でもデザインもかなりいいですよ★
884.14	889.14	★こういう風にやしながら、ダメだね★
889.14	892.14	★この人はダメです★
