start_time	end_time	transcript
60.00	62.00	4
62.00	64.00	2
64.00	66.00	2
66.00	68.00	3
68.00	70.00	2
70.00	72.00	3
72.00	74.00	2
74.00	76.00	3
76.00	78.00	4
78.00	80.00	3
80.00	82.00	4
82.00	84.00	4
84.00	86.00	4
86.00	88.00	4
88.00	89.00	4
89.00	91.00	4
91.00	93.00	4
93.00	95.00	4
95.00	97.00	4
97.00	99.00	5
99.00	101.00	5
101.00	103.00	5
103.00	105.00	5
105.00	107.00	5
107.00	109.00	5
109.00	111.00	5
111.00	113.00	5
113.00	115.00	5
115.00	117.00	5
117.00	118.00	5
118.00	120.00	5
120.00	122.00	5
122.00	124.00	5
124.00	126.00	5
126.00	128.00	5
128.00	130.00	5
130.00	132.00	5
132.00	134.00	5
134.00	136.00	5
136.00	138.00	5
138.00	140.00	5
140.00	142.00	5
142.00	144.00	5
144.00	146.00	5
146.00	147.00	5
148.00	150.00	5
150.00	152.00	5
152.00	154.00	5
154.00	156.00	5
156.00	158.00	5
158.00	160.00	5
160.00	162.00	5
162.00	164.00	5
164.00	166.00	5
166.00	168.00	5
168.00	170.00	5
170.00	172.00	5
172.00	174.00	5
174.00	176.00	5
176.00	177.00	5
177.00	179.00	5
179.00	181.00	5
181.00	183.00	5
183.00	185.00	5
185.00	187.00	5
187.00	189.00	5
189.00	191.00	5
191.00	193.00	5
193.00	195.00	5
195.00	197.00	5
197.00	199.00	5
199.00	201.00	5
201.00	203.00	5
203.00	205.00	5
205.00	206.00	5
206.00	208.00	5
208.00	210.00	5
210.00	212.00	5
212.00	214.00	5
214.00	216.00	5
216.00	218.00	5
218.00	220.00	5
220.00	222.00	5
222.00	224.00	5
224.00	226.00	5
226.00	228.00	5
228.00	230.00	5
230.00	232.00	5
232.00	234.00	5
234.00	235.00	5
235.00	237.00	5
237.00	239.00	5
239.00	241.00	5
241.00	243.00	5
243.00	245.00	5
245.00	247.00	5
247.00	249.00	5
249.00	251.00	5
251.00	253.00	5
253.00	255.00	5
255.00	257.00	5
257.00	259.00	5
259.00	261.00	5
261.00	263.00	5
263.00	264.00	5
264.00	266.00	5
266.00	268.00	5
268.00	270.00	5
270.00	272.00	5
272.00	274.00	5
274.00	276.00	5
276.00	278.00	5
278.00	280.00	5
280.00	282.00	5
282.00	284.00	5
284.00	286.00	5
286.00	288.00	5
288.00	290.00	5
290.00	292.00	5
292.00	293.00	5
293.00	295.00	5
295.00	297.00	5
297.00	299.00	5
299.00	301.00	5
301.00	303.00	5
303.00	305.00	5
305.00	307.00	5
307.00	309.00	5
309.00	311.00	5
311.00	313.00	5
313.00	315.00	5
315.00	317.00	5
317.00	319.00	5
319.00	321.00	5
321.00	322.00	5
322.00	324.00	5
324.00	326.00	5
326.00	328.00	5
328.00	330.00	5
330.00	332.00	5
332.00	334.00	5
334.00	336.00	5
336.00	338.00	5
338.00	340.00	5
340.00	342.00	5
342.00	344.00	5
344.00	346.00	5
346.00	348.00	5
348.00	350.00	5
350.00	351.00	5
351.00	353.00	5
353.00	355.00	5
355.00	357.00	5
357.00	359.00	5
359.00	361.00	5
361.00	363.00	5
363.00	365.00	5
