start_time	end_time	transcript
0.00	7.00	ん
7.00	14.00	ん
14.00	18.00	ん
18.00	24.00	ん
24.00	27.00	ん
27.00	29.00	ん
30.00	33.00	ん
33.00	37.00	ん
37.00	40.00	ん
40.00	44.00	ん
44.00	48.00	ん
48.00	51.00	ん
51.00	55.00	ん
55.00	58.00	ん
58.00	60.00	ん
60.00	62.00	ん
62.00	65.00	ん
65.00	68.00	ん
68.00	70.00	ん
70.00	72.00	ん
72.00	75.00	ん
75.00	78.00	ん
78.00	81.00	ん
81.00	84.00	ん
84.00	87.00	ん
87.00	89.00	ん
89.00	91.00	ん
91.00	94.00	ん
94.00	97.00	ん
97.00	99.00	ん
99.00	101.00	ん
101.00	104.00	ん
104.00	106.00	ん
106.00	109.00	ん
109.00	113.00	ん
113.00	115.00	ん
115.00	117.00	ん
117.00	119.00	ん
119.00	122.00	ん
122.00	125.00	ん
125.00	127.00	ん
127.00	129.00	ん
129.00	132.00	ん
132.00	134.00	ん
134.00	138.00	ん
138.00	141.00	ん
141.00	144.00	ん
144.00	146.00	ん
146.00	148.00	ん
148.00	151.00	ん
151.00	154.00	ん
154.00	157.00	ん
157.00	160.00	ん
160.00	163.00	ん
163.00	165.00	ん
166.00	169.00	ん
169.00	172.00	ん
472.00	474.66	食べてみなさい
477.42	482.34	ご視聴ありがとうございます
484.26	488.86	いただき多い
492.50	498.84	とうなに
532.00	539.00	ん
539.00	544.00	ん
544.00	549.00	ん
549.00	555.00	ん
555.00	559.00	ん
559.00	561.00	ん
561.00	563.00	ん
563.00	568.00	ん
568.00	571.00	ん
571.00	575.00	ん
575.00	579.00	ん
579.00	583.00	ん
583.00	586.00	ん
586.00	589.00	ん
589.00	591.00	ん
591.00	593.00	ん
593.00	596.00	ん
596.00	598.00	ん
598.00	601.00	ん
601.00	604.00	ん
604.00	608.00	ん
608.00	611.00	ん
611.00	614.00	ん
614.00	617.00	ん
617.00	619.00	ん
619.00	624.00	ん
624.00	627.00	ん
627.00	632.00	ん
632.00	636.00	ん
636.00	640.00	ん
640.00	644.00	ん
644.00	646.00	ん
646.00	648.00	ん
648.00	650.00	ん
650.00	653.00	ん
653.00	656.00	ん
656.00	658.00	ん
658.00	661.00	ん
661.00	664.00	ん
664.00	666.00	ん
666.00	668.00	ん
668.00	671.00	ん
671.00	674.00	ん
674.00	676.00	ん
676.00	678.00	ん
678.00	681.00	ん
681.00	684.00	ん
684.00	687.00	ん
687.00	690.00	ん
690.00	693.00	ん
693.00	697.00	ん
697.00	699.00	ん
699.00	701.00	ん
701.00	703.00	ん
703.00	705.00	ん
705.00	707.00	ん
707.00	710.00	ん
710.00	713.00	ん
713.00	715.00	ん
715.00	718.00	ん
718.00	721.00	ん
721.00	725.00	ん
725.00	729.00	ん
729.00	731.00	ん
731.00	734.00	ん
734.00	737.00	ん
737.00	740.00	ん
740.00	743.00	ん
743.00	746.00	ん
746.00	750.00	ん
750.00	753.00	ん
753.00	756.00	ん
756.00	759.00	ん
759.00	760.00	ん
760.00	762.00	ん
762.00	764.00	ん
764.00	767.00	ん
767.00	770.00	ん
770.00	772.00	ん
772.00	775.00	ん
775.00	778.00	ん
778.00	782.00	ん
782.00	785.00	ん
785.00	788.00	ん
