start_time	end_time	transcript
0.00	7.00	ん
7.00	12.00	ん
12.00	18.00	ん
18.00	22.00	ん
22.00	26.00	ん
26.00	29.00	ん
29.00	32.00	ん
32.00	35.00	ん
35.00	38.00	ん
38.00	41.00	ん
41.00	44.00	ん
44.00	47.00	ん
47.00	50.00	ん
50.00	53.00	ん
53.00	56.00	ん
56.00	58.00	ん
59.00	62.00	ん
62.00	65.00	ん
65.00	68.00	ん
68.00	71.00	ん
71.00	74.00	ん
74.00	77.00	ん
77.00	80.00	ん
80.00	84.00	ん
84.00	87.00	ん
87.00	89.00	ん
89.00	91.00	ん
91.00	94.00	ん
94.00	97.00	ん
97.00	99.00	ん
99.00	102.00	ん
102.00	105.00	ん
105.00	107.00	ん
107.00	110.00	ん
110.00	113.00	ん
113.00	116.00	ん
116.00	119.00	ん
119.00	122.00	ん
122.00	125.00	ん
125.00	128.00	ん
128.00	131.00	ん
131.00	135.00	ん
135.00	139.00	ん
139.00	142.00	ん
142.00	145.00	ん
145.00	148.00	ん
148.00	151.00	ん
151.00	154.00	ん
154.00	157.00	ん
157.00	160.00	ん
160.00	163.00	ん
163.00	166.00	ん
166.00	169.00	ん
169.00	172.00	ん
172.00	174.00	ん
174.00	176.00	ん
176.00	178.00	ん
178.00	181.00	ん
181.00	184.00	ん
184.00	187.00	ん
187.00	190.00	ん
190.00	193.00	ん
193.00	196.00	ん
196.00	199.00	ん
199.00	202.00	ん
202.00	204.00	ん
204.00	206.00	ん
206.00	209.00	ん
209.00	211.00	ん
211.00	214.00	ん
214.00	217.00	ん
217.00	220.00	ん
220.00	223.00	ん
223.00	227.00	ん
227.00	230.00	ん
230.00	232.00	ん
232.00	234.00	ん
234.00	237.00	ん
237.00	239.00	ん
239.00	242.00	ん
242.00	245.00	ん
245.00	248.00	ん
248.00	251.00	ん
251.00	254.00	ん
254.00	257.00	ん
257.00	259.00	ん
259.00	262.00	ん
262.00	267.00	ん
267.00	270.00	ん
270.00	272.00	ん
272.00	274.00	ん
274.00	277.00	ん
277.00	280.00	ん
286.00	287.00	ん
287.00	288.00	ん
288.00	288.80	ん
618.80	622.86	स
635.78	638.90	am
638.90	645.90	このような 어머っ
645.90	649.50	で
649.50	667.50	d
727.50	733.24	うん
733.24	743.56	うん
743.56	756.40	みなさんこんにちは こっちっていいですかMCのレイニアンコド
756.40	760.26	記憶アレーナです こちらのコーナーでは様々なゲームの
760.26	764.20	スペシャリストと一緒に1予製テムをご紹介させていただくコーナーと
764.20	769.20	なっております 本日のゲストはこちらの方です
773.56	784.42	すごいしい持ってきたね あのアニメのねあのシーンよねちょっと
784.42	789.12	伝措されたときも感じるだろう カバレんだんに向えなきゃいけない
789.12	793.56	というところでね 言うことで本日のゲストはカーツにおかねご
793.56	799.42	でご紹介させていただきます こちらはあの開けに入れてきました
799.42	803.86	パウダーちゃんが作ったおもちゃのね 何におされさんのネグルミウインダップ
803.86	808.78	もおきなんですけれども この動きとねあれがをあるシーンを
808.78	813.22	中時に探しをおりましてパウダーと ネバイブンを結手に書いて
813.22	816.42	しんくらなかったんですけれども そんな非常に気転すべきアイテム
816.42	819.66	こちらはね 県次の方に是非お勧めしていきたいんですがこちらの
819.66	822.78	本体だけではなくていろいろ通ったの 付いているものも素晴らしくて
822.78	827.98	まずはこちら 4枚のステッカーが付いております トレモンですね
827.98	833.34	パウダーらしいアーケンらしいデザインになっております そしてこちらが
833.34	836.54	インダップもんきんですね 接見面称ですね 光ったりのネジマー
836.54	839.06	したいのでけんですけれどもそれもこうなっています
839.06	843.02	パウダーが敵すれかきましたよ みたいな感じのデザインで出来ております
843.02	848.78	そしてこちらのポストカールは キルトーバーとゾーンの街を繋ぐ橋
848.78	852.98	のところを写真でこう収めたような デザインになっておりますね
852.98	858.58	橋もねあの新良かったよね 何にも言えないんだけど良かったよね
858.58	861.34	はい 裏面もね 出ますよ
861.34	865.06	これもね インダップもんきんもと全然 開かれていますがポロン
865.06	867.38	だっかきなんかもあったりしてめちゃくちゃかわいですね
867.38	871.86	ちょっと怖い そうしてそして 二人があったりなんでいっている
871.86	876.58	あったりしらの坂板のね コースターを再現しつつ
876.58	880.22	可能たちが楽楽しちゃったよね ちょっと小さしたような感じ
880.22	882.82	もしかねなんかこう生活があって いいですよね
882.82	886.90	両方が動かれてます 中でさえされております
886.90	890.94	そしてですねこちらを箱もこうかな 使用なんですよ
890.94	894.06	かなり大きさありますけど イラストがすごいですよね
894.06	898.94	色もねめちゃくちゃいいんですけど 開けていただくとこんな感じですね
898.94	903.50	もうパウダーの楽器が 全部に箱全面に描かれている
903.50	907.22	素敵な掃除になっております コロベストを気になっちゃうとして
907.22	909.86	おかわいですね 皆さんぜひ持ち出てください
909.86	912.50	最後まで動画を見てくださって ありがとうございました
912.50	916.98	おかげも様々話を紹介動画ありますので そちらもチェックしてください
916.98	919.98	にきむ楽しみ たどー準備すぎる
1027.22	1034.22	ん
1034.22	1039.22	ん
1039.22	1042.22	ん
1042.22	1046.22	ん
1046.22	1050.22	ん
1050.22	1054.22	ん
1054.22	1056.22	ん
1056.22	1063.22	ん
1063.22	1066.22	ん
1066.22	1070.22	ん
1070.22	1074.22	ん
1074.22	1077.22	ん
1077.22	1080.22	ん
1080.22	1083.22	ん
1083.22	1085.22	ん
1085.22	1092.22	ん
1092.22	1095.22	ん
1095.22	1099.22	ん
1099.22	1103.22	ん
1103.22	1106.22	ん
