start_time	end_time	transcript
0.00	7.50	あぁああああああうわ おえん
7.50	11.80	上
11.80	15.88	ああ あああ
15.88	22.96	ani
22.96	26.60	 invari
26.60	29.28	erc
359.28	366.28	ん
366.28	371.28	ん
371.28	376.28	ん
376.28	382.28	ん
382.28	386.28	ん
386.28	388.28	ん
388.28	395.28	ん
395.28	398.28	ん
398.28	403.28	ん
403.28	408.28	ん
408.28	413.28	ん
413.28	417.28	ん
418.28	425.28	ん
425.28	428.28	ん
428.28	433.28	ん
433.28	438.28	ん
438.28	443.28	ん
443.28	447.28	ん
448.28	455.28	ん
455.28	458.28	ん
458.28	463.28	ん
463.28	468.28	ん
468.28	473.28	ん
473.28	477.28	ん
477.28	479.28	ん
479.28	482.28	ん
482.28	484.28	ん
484.28	487.28	ん
487.28	489.28	ん
489.28	492.28	ん
492.28	495.28	ん
495.28	498.28	ん
498.28	502.28	ん
502.28	505.28	ん
505.28	512.28	ん
512.28	515.28	ん
515.28	520.28	ん
520.28	525.28	ん
525.28	530.28	ん
530.28	533.28	ん
533.28	535.28	ん
535.28	538.28	ん
538.28	540.28	ん
540.28	543.28	ん
543.28	546.28	ん
546.28	549.28	ん
549.28	552.28	ん
552.28	555.28	ん
555.28	558.28	ん
558.28	561.28	ん
561.28	568.28	ん
591.28	601.28	ん
601.28	603.28	ん
603.28	606.28	ん
606.28	609.28	ん
609.28	610.28	ん
610.28	611.28	ん
611.28	614.28	ん
614.28	616.28	ん
616.28	618.28	ん
618.28	619.28	ん
619.28	620.28	ん
620.28	623.28	ん
623.28	630.28	ん
630.28	632.28	ん
632.28	635.28	ん
635.28	638.28	ん
638.28	639.28	ん
639.28	640.28	ん
640.28	642.28	ん
642.28	645.28	ん
645.28	647.28	ん
647.28	648.28	ん
648.28	658.28	ん
658.28	661.28	ん
661.28	663.28	ん
663.28	665.28	ん
665.28	667.28	ん
667.28	673.28	ん
673.28	675.28	ん
675.28	676.28	ん
676.28	677.28	ん
677.28	679.56	5分のオーバータイムに突入し
680.26	682.02	それでも結着がつかなければ
682.02	684.52	処定のルールに下がい消費が決められます
685.42	687.22	なお放送は不正防止のため
687.22	688.42	実際の試合からは
688.42	690.82	15分のデレーを設けて進行いたします
691.98	694.62	さていべさルールの確認をここまで行ってきました
694.62	694.78	はい
694.78	696.22	もう本体がいるルールいかがですか?
696.22	696.62	はい
696.62	698.38	ルール上を見ても
698.38	699.96	やはり3レッキを用意して
699.96	702.22	そして相手のレッキとの総合さようですよね
702.22	703.66	自分のレッキのどこが
703.66	705.46	弱点として疲れやすいか
705.46	707.96	なので相手の出来をどうやってちゃうかさせるか
707.96	709.06	むしろ
709.06	712.36	自分のデキの構成が何に弱いかをしっかり把握してこそ
712.36	713.98	この試合に勝っていけるのかなって
713.98	715.34	ゆるるになっていますので
715.34	716.58	そういったところも含めて
