start_time	end_time	transcript
90.00	116.50	さあ始まりました デオーピーティ2020 グランドファイナル
116.50	124.34	本日はデイワンシー東京の配信を行いたいと思います 実況はエタワタクシカウリンと
124.34	128.90	開設はプロポーカープレアのキハラナオン よろしくお願いします
128.90	133.22	お願いします 始まりましたね
133.22	139.06	このデオーピーティの会場ですが 最近はネズッとしばらく新宿の方が続きたんですけど
139.06	146.66	本日は 宅延々に配信を戻して 久々の宅延々のジャーフィー開催となりをしました
146.66	151.06	ここはとても綺麗な配信で 広く広くていいですよね
151.06	157.46	ここはご飯がすごく美味しい なんかというフレアさんからも人気の配信になっています
157.46	166.66	本日のデイワンシー東京ですが 現代のブラインが3500アンティ500エントリーが528エントリーとなっております
166.66	174.26	本日の配信は15時からスタートいたしまして 終了が大体24時45分後ろを予定しておりますので
174.26	177.26	最後の一気合いよろしくお願いします
177.26	180.46	それでは早速見ていきましょうか
180.46	183.46	見ていきましょう よろしくお願いします
183.46	189.86	キハラさんとの解説が聞けるのが初めて過ぎて 緊張と楽しみと
189.86	193.46	絵全然お開くにやっていただければと思います
193.46	200.66	今までダイバーのウィサーさんでしたり いつのさんに 甘えてダイブを助けていただいてここまで来たのです
200.66	203.66	ちょっと本日はよろしくお願いします 大丈夫です
203.66	206.66	さすがです
207.26	211.26	現在プレイヤーが8プレイヤー 7枚ですね
211.26	215.86	7枚ですね 新たく7枚で進行しています
215.86	222.26	近駆にとエステンがいますね 近駆にが指の方ですね
222.26	226.06	黒本のJさんがオーブンしてますね 1200にも
226.06	229.06	ボタンカコールで
229.06	234.06	これSBが3500に3ベットですね
234.06	238.26	SB今は3ベットしたのが
239.26	242.66	マウイーさんですが4番ですね
242.66	245.26	4番きっとSBベットして
245.26	250.46	Sの6Jさんでいいんですか
250.46	251.26	Jさんです
251.26	253.46	そこは6番子とのJさん
253.46	256.26	Jさんが3ベットを着て
256.26	258.46	ボタンがポリましたね
258.46	262.66	ボタンのカッターもポールだね
262.66	268.06	1200のレイズに3500は結構小さめの3ベットにやりますね
268.06	272.66	なので割と広くコールするところかなと思ったんですが
272.66	277.06	Sテンは結構割と加減なハンドです
277.06	279.66	参加する加減なハンドだったので
279.66	282.06	割ったんじゃないかなと思います
282.06	284.66	コールするのも自然だと思いますけどね
284.66	288.06	Sが当たっても近駆を当たっても
288.06	291.06	当たってもどっちも面倒くさい
291.06	294.06	普通に上がいてファンなハンドではありましたね
294.06	297.06	そばって育てるときに負けて育てるところです
297.06	299.46	さぁオールドで回って
299.46	301.26	ボタンのプレアもフォールドで
301.26	303.06	どれんか普通ですかね
303.06	306.86	つかぽんさんスモールバンドでSテン数とですね
306.86	311.56	Jさんも6ヨン数とのデマを守ることは守るんですが
311.56	316.06	もしかしたら3ベットは普通はコールですか
316.06	318.06	次で2コールを選びましたね
318.06	320.06	Sテン数と強くので当然レイズ
320.06	323.06	でこうオールということでフラップに行きます
323.06	325.06	フラップが79キング
325.06	326.06	これもススペード
326.06	328.06	これもつかぽんさんのことですね
328.06	332.06	単に12ベストハンドでフラドローもついて
332.06	334.06	プレーシーやすくてJさんのプレイ
334.06	335.06	何もない
335.06	337.06	はい
337.06	339.06	さぁ本日の配信もですね
339.06	341.06	こちらYouTubeのフォームで配信してるんですけども
341.06	344.06	コメントもですねどうしてだし受け付けてますので
344.06	346.06	キャラさえのご質問など
346.06	348.06	もしあればお伺いできるチャンスです
348.06	350.06	皆さんよろしくお願い致します
350.06	354.06	コメントも我々が見ることができるのが15分後なので
354.06	357.06	できれば今のハンドはあとかいっても
357.06	359.06	15分後に今のハンドってどれだろうとなっちゃうんで
359.06	362.06	なんかちょっとわかりやすいようなことで
362.06	366.06	コメントをいただけたらこちらもいろいろ
366.06	368.06	答えやすいところでよろしくお願いします
368.06	369.06	どうしてお願いします
369.06	370.06	大阪のデレイありますので
370.06	372.06	ちょっとわかりやすく書いていただけると
372.06	375.06	解説要素いかなというところでよろしくお願いします
376.06	379.06	JSANがSBからクインナナオフで
