start_time	end_time	transcript
660.00	663.32	皆さんこんにちは、日本最大のポーカートオーナメント、
663.32	668.00	JOPTのYouTube生配信です。よろしくお願いします。
668.00	671.42	ということで、昨日にきつづき本日はメイイイベント、
671.42	674.48	D1Cの模様をお伝えしていきたいと思います。
674.48	676.92	実況は私、村下みやりと、
676.92	679.72	化石には3ミリオンポーカークラブの代表、
679.72	681.48	ソジロさんを迎えしております。
681.48	684.64	皆さん、こんにちは、ソジロです。
684.64	687.84	最近、ファンポーカーライブという、
687.84	691.04	YouTubeチャンネルを作って配信、ポーカーの配信をやったり、
691.04	693.12	いろいろやってますね。よろしくお願いします。
693.12	695.12	よろしくお願いします。
695.12	697.68	はい、ということで、
697.68	702.76	昨日はですね、同じくソジロさんをお招きしてまいりましたが、
702.76	707.04	本日は、その二人で楽しく実況解説していきたいと思いますので、
707.04	711.20	ぜひ皆さん、チャットの方にコメントもお待ちしております。
711.20	713.68	私も一緒にお話せいただこうと思うので、
713.68	715.64	ぜひ、質問や聞きたいこととか、
715.64	719.80	いろいろあったら、ぜひコメントの方をいただければ読み上げていきたいと思います。
719.80	722.28	ぜひ、一緒に参加してください。
722.28	726.08	はい、そしてですね、今回のメイベントが、
726.08	729.88	ファイナルテーブルシンスで、なんと、日本、
729.88	733.00	日本国の最大の賞金となっております。
733.00	734.60	ソープライズ学がなんと、
734.60	737.40	過去最大の25万ドルで、
737.40	740.92	ちょっと、先に、めっちゃめちゃできます。
740.92	742.44	先にちょっと言葉しちゃかんですけど、
742.44	744.32	ファイナルテーブルシンスで、
744.32	746.80	1万ドルが保証されています。
746.80	749.44	それはもう、STいくまでの、
749.44	752.24	残り3テーブルぐらいになったときの緊張感がもう、
752.24	754.64	やばいですよね。
754.64	758.32	もう、あと少しで、
758.32	760.40	ワンドルを獲得できると思ったら、
760.40	762.64	すごいプレイもね、
762.64	765.52	自分のプレイをできるかどうか、私は。
765.52	767.52	私は、ガタガタシャツだったんです。
767.52	771.44	JOPT自体が、日本のポーカープレアのアコガレみたいな舞台。
771.44	772.44	そうですね。
772.44	774.24	この中でね、FTに残るっていうのは、
774.24	775.92	めちゃくちゃな目を残すなんで、
775.92	778.24	それにさらに初期もくっついてくるってことで、
778.24	780.08	めちゃくちゃ期待が高いわけです。
780.08	782.56	いやー、誰がトロフィを獲得するのか、
782.56	784.40	今から楽しみですね。
784.40	785.76	はい、ということで、早速、
785.76	786.80	ハンドを見て、
786.80	789.04	地球を解説していきたいと思います。
793.84	795.00	今は、
795.00	797.04	デイワのレベル5ですね、
797.04	799.84	ストラクチャーが35000なんで、
800.40	802.40	初期スタックが3000なんで、
802.40	805.76	初期スタックだと60PP持ってるって状態ですね。
811.84	813.28	まだ全然 jobんですね。
813.28	814.08	そうですね。
814.08	815.28	あればね。
823.04	824.64	RFIDのハンドは、
824.64	825.44	この辺のプラン。
825.44	826.16	はい、まだ、
826.16	828.16	まだやつってませんね。
828.24	830.16	おっ、キャキャキャキましたね。
830.16	832.16	めちゃくちゃキレだな。
832.16	833.52	ははははは。
833.52	835.52	やすい感じで。
839.76	841.76	3500000で、
841.76	844.96	もう、ぶつかったプレイヤが200BB声。
844.96	845.60	あ〜、
845.60	846.48	めちゃくちゃびっくりした。
846.48	847.20	すごいですね。
847.20	848.16	ぶつかってますね。
850.16	852.16	はい、ということで、
852.16	854.00	エーステンを普通テットで、
854.00	856.16	2番の福島さんですね。
856.16	857.16	そうね。
857.16	858.16	アップンして、
