start_time	end_time	transcript
60.00	79.08	Pamp
90.00	94.00	 heard
104.00	108.00	 tell
110.00	114.00	rad
114.00	116.00	3
116.00	118.00	4
118.00	120.00	4
120.00	122.00	5
122.00	124.00	5
124.00	126.00	5
126.00	128.00	5
128.00	130.00	5
130.00	132.00	5
132.00	134.00	5
134.00	136.00	5
136.00	138.00	5
138.00	140.00	5
140.00	142.00	5
142.00	143.00	5
143.00	144.00	5
144.00	146.00	5
146.00	148.00	5
148.00	150.00	5
150.00	152.00	5
152.00	154.00	5
154.00	156.00	5
156.00	158.00	5
158.00	160.00	5
160.00	162.00	5
162.00	164.00	5
164.00	166.00	5
166.00	168.00	5
168.00	170.00	5
170.00	172.00	5
172.00	173.00	5
173.00	175.00	5
175.00	177.00	5
177.00	179.00	5
203.00	205.00	5
205.00	207.00	5
207.00	209.00	5
209.00	211.00	5
211.00	213.00	5
213.00	215.00	5
215.00	217.00	5
217.00	219.00	5
219.00	221.00	5
221.00	223.00	5
223.00	225.00	5
225.00	227.00	5
227.00	229.00	5
229.00	231.00	5
231.00	232.00	5
233.00	235.00	5
235.00	237.00	5
237.00	239.00	5
239.00	241.00	5
241.00	243.00	5
243.00	245.00	5
245.00	247.00	5
247.00	249.00	5
249.00	251.00	5
251.00	253.00	5
253.00	255.00	5
255.00	257.00	5
257.00	259.00	5
259.00	261.00	5
261.00	262.00	5
262.00	264.00	5
264.00	266.00	5
266.00	268.00	5
268.00	270.00	5
270.00	272.00	5
272.00	274.00	5
274.00	276.00	5
276.00	278.00	5
278.00	280.00	5
280.00	282.00	5
282.00	284.00	5
284.00	286.00	5
286.00	288.00	5
288.00	290.00	5
290.00	291.00	5
291.00	291.98	5
291.98	293.98	5
293.98	295.98	5
295.98	297.98	5
297.98	299.98	5
299.98	301.98	5
301.98	303.98	5
303.98	305.98	5
305.98	307.98	5
307.98	309.98	5
309.98	311.98	5
311.98	313.98	5
313.98	315.98	5
315.98	317.98	5
321.98	323.98	5
323.98	325.98	5
325.98	327.98	5
327.98	329.98	5
329.98	331.98	5
331.98	333.98	5
333.98	335.98	5
335.98	337.98	5
337.98	339.98	5
339.98	341.98	5
341.98	343.98	5
343.98	345.98	5
345.98	347.98	5
347.98	349.98	5
349.98	350.98	5
350.98	351.96	5
351.96	353.96	5
353.96	355.96	5
355.96	357.96	5
357.96	359.96	5
359.96	361.96	5
361.96	363.96	5
363.96	365.96	5
365.96	367.96	5
367.96	369.96	5
369.96	371.96	5
371.96	373.96	5
373.96	375.96	5
375.96	377.96	5
377.96	379.96	5
379.96	380.96	5
380.96	382.96	5
382.96	384.96	5
384.96	386.96	5
386.96	388.96	5
388.96	390.96	5
390.96	392.96	5
392.96	394.96	5
394.96	396.96	5
396.96	398.96	5
398.96	400.96	5
400.96	402.96	5
402.96	404.96	5
404.96	406.96	5
406.96	408.96	5
408.96	409.96	5
409.96	410.94	5
410.94	412.94	5
412.94	414.94	5
414.94	416.94	5
416.94	418.94	5
418.94	420.94	5
420.94	422.94	5
422.94	424.94	5
424.94	426.94	5
426.94	428.94	5
428.94	430.94	5
430.94	432.94	5
432.94	434.94	5
434.94	436.94	5
436.94	438.94	5
438.94	439.94	5
439.94	441.94	5
441.94	443.94	5
443.94	445.94	5
445.94	447.94	5
447.94	449.94	5
449.94	451.94	5
451.94	453.94	5
453.94	455.94	5
455.94	457.94	5
457.94	459.94	5
459.94	461.94	5
461.94	463.94	5
463.94	465.94	5
465.94	467.94	5
467.94	468.94	5
468.94	470.94	5
470.94	472.94	5
472.94	474.94	5
474.94	476.94	5
476.94	478.94	5
478.94	480.94	5
480.94	482.94	5
482.94	484.94	5
484.94	486.94	5
486.94	488.94	5
488.94	490.94	5
490.94	492.94	5
492.94	494.94	5
494.94	496.94	5
496.94	497.94	5
497.94	499.94	5
499.94	501.94	5
501.94	503.94	5
503.94	505.94	5
505.94	507.94	5
507.94	509.94	5
509.94	511.94	5
511.94	513.94	5
513.94	515.94	5
515.94	517.94	5
517.94	519.94	5
519.94	521.94	5
521.94	523.94	5
523.94	525.94	5
525.94	526.94	5
526.94	528.94	5
528.94	530.94	5
530.94	532.94	5
532.94	534.94	5
534.94	536.94	5
536.94	538.94	5
538.94	540.94	5
540.94	542.94	5
542.94	544.94	5
544.94	546.94	5
546.94	548.94	5
548.94	550.94	5
550.94	552.94	5
552.94	554.94	5
554.94	555.94	5
555.94	557.94	5
