start_time	end_time	transcript
90.00	92.00	2位
92.00	94.00	はいっというのでは始まりました
94.00	96.00	2023年JOPPの
96.00	98.00	1位
98.00	100.00	1位
100.00	102.00	1位
102.00	104.00	1位
104.00	106.00	1位
106.00	108.00	1位
108.00	110.00	1位
110.00	112.00	2位
112.00	114.00	2位
114.00	116.00	2位
116.00	118.00	はいっというのでは始まりました
118.00	120.00	3位
120.00	122.00	JOPPの
122.00	124.00	ヘザブトーナメント
124.00	126.00	ファイナーで
126.00	128.00	ベストイートからの
128.00	130.00	解説
130.00	132.00	配信
132.00	134.00	よろしくお願いします
134.00	138.00	おのじく編集のモリピーです
138.00	140.00	よろしくお願いします
140.00	142.00	おのじくの
142.00	144.00	にぎやかし
144.00	146.00	ジム
146.00	148.00	組みです
148.00	150.00	よろしくお願いします
150.00	152.00	そんなことでもういきたい始まっているじゃないですか
152.00	153.00	もう
153.00	154.00	エンシックスで
154.00	156.00	弱ないスーツは当たるんですよ
156.00	158.00	もうちょっと見てきたいですよ
158.00	160.00	もうこれでベイン回も
160.00	162.00	やらせてもらったけど
162.00	164.00	とりあえずも展開が毎回あるから
164.00	166.00	もう目が半世辺というか
166.00	168.00	僕らももう
168.00	170.00	ね1番の視聴者として
170.00	172.00	めっちゃ楽しましてもらえながら
172.00	174.00	こうしゃべれるとこしゃべっていきましょうよ
174.00	176.00	10000ということは
176.00	178.00	フロークチェックチェック
178.00	180.00	あっメシさん貰った
180.00	182.00	1 6 6 5 5 5
182.00	184.00	4 5 5
184.00	186.00	言うなれば
186.00	188.00	なんじゃないですか
188.00	190.00	シビー打ちやすいボード
190.00	192.00	サイバードが近くはやばかった
192.00	194.00	本当にオリジナルが
194.00	196.00	強いったよ
196.00	198.00	ボタンからのレーズめっちゃ強いよ
198.00	200.00	勝利
200.00	202.00	100ビビー持ってる状況だったら
202.00	204.00	やっぱりレーズしていいと思うけど
204.00	206.00	そんなにするんですよ
206.00	208.00	逆にまたこの
208.00	210.00	30ビビー分だったら
210.00	212.00	ボタン側は100%ドライスを
