start_time	end_time	transcript
60.00	63.60	です
63.60	66.74	いい
66.74	70.88	2023東京グランドファイナル トートデイスリーの
70.88	71.74	そうですねはい
71.74	72.54	になります
72.54	74.28	もので有労が決まります
74.28	75.22	そうです
75.22	79.42	はい長い3日間の匂いとっての方さん が決してまいりましたが
79.42	84.06	本日のデイスリーはこの11時からの方さんから
84.06	85.88	有労者決定の瞬間まで
85.88	88.68	はい皆さんと一緒にお届けできる またいと思いますので
88.68	90.68	よろしくお願いします
90.68	92.68	実況は私へ香りにと
92.68	96.68	解説、正反は木原の親でよろしくお願いします
96.68	98.68	お金がいたしまーす
98.68	101.68	ご飯で、あの、おばらさんといる代わりになります
101.68	103.68	はい、はい、よろしくお願いします
103.68	104.68	よろしくお願いします
104.68	108.68	じゃあ、一番のため、開催になりましたね
108.68	110.68	はい、やっていきましょう
110.68	113.68	あ、ビビがまだ、ビビの方がまだいらっしゃってないですね
113.68	116.68	そうですね、ちょっと朝早いんでやっぱり
119.68	123.68	現在のコリノプレイアーさが23名と
123.68	124.68	はい
124.68	127.68	そして、こちらの配信タクが7名で、スタートしています
127.68	131.68	現在のブラインドが25000個、アンティーボマン
131.68	135.68	アベルゼスタックが147万、4000となっております
135.68	140.68	147万、木残なかったから、ちょっとなんかすごい離れたかんがいますね
140.68	142.68	人知、半戦だっただけで、かなり
142.68	145.68	しかも、感動くらい、かなり入ってるんだねですか?
145.68	146.68	はい
146.68	152.68	今、かまきさんがエースナイスウトでレイズして
152.68	156.68	今、9番のメガネさんがエースクインで応援しましたね
156.68	157.68	そうですね
157.68	159.68	さても、おそらくおれるでしょうね、皆さんおりて
159.68	162.68	はい、ことが発問だと思います、メガネさん
162.68	167.68	で、ビビかまきさんエースナインのスーテット、デフォルド
167.68	170.68	かまきさんがレイズした人ですね、かまね
170.68	173.68	なるほど、そうですね、ビビフザイだったのですよね
174.68	176.68	レイズはサッチュウルト
176.68	179.68	はい、そう、こういうオッキーですよね、今ので
179.68	182.68	5万、5万、25000にオレイズが11万点
182.68	184.68	23万、5千点とかも
184.68	185.68	やっすか
185.68	188.68	あれだけで、ノーリスクって言ってんのか分からないけど
188.68	192.68	まあでも、そのままオロして23万でこれとオッケーで
192.68	193.68	そうですね
193.68	195.68	やっぱりこのブラインがなってくるとかなり
195.68	197.68	そういうのかちっていうのが
197.68	199.68	スチールもオッキー、リスチールもオッキーですね
199.68	201.68	はい、どんどんオッキーになっていきます
201.68	205.68	このアカイチップが25000、チップ
205.68	207.68	黄色が5千点チップ
207.68	210.68	そしてその上になんかちょっと
210.68	212.68	何色っていうんですかね
212.68	214.68	上からのカメラとやつがピカーって
214.68	216.68	反射するような金属質な
216.68	218.68	まあ、顔で真ん中が金みたいな
218.68	219.68	金属質なのか
219.68	221.68	あのチップが10万点チップですね
221.68	224.68	これ金属チップですか?
224.68	226.68	そうですね、ちょっとやっぱ重み回って
226.68	227.68	おとも違うんですよ
227.68	229.68	金属その10万点チップ
229.68	231.68	何枚とかガチャなんてこと
231.68	232.68	おとがいそうですよね
232.68	233.68	白色がありますね
233.68	234.68	でもプレイアさんは
234.68	237.68	アレデベットするの気持ちいいっておしまいさんね
237.68	240.68	さあ、ボタンからアレデンズ10万点です
240.68	243.68	BBのSBのかまきさんが
243.68	244.68	あっちょう、え?
244.68	246.68	SBの方不在で
246.68	248.68	そこがSBが不在ですね
248.68	250.68	SBが不在でBBのかまきさんが
250.68	252.68	弱点でコールしちゃうところですね
252.68	254.68	フロップは
254.68	257.68	フロップが4、3、8ですね
257.68	258.68	4,3、8
258.68	260.68	スタッフラーの
260.68	262.68	キングナインで
262.68	263.68	おーっと
263.68	265.68	サキュウチ
265.68	267.68	さあ、先にBBのかまきさんが
267.68	268.68	うからベットして
268.68	271.68	もう後部さんをリルカのせが高そうですかね
273.68	275.68	ダイヤの1枚でもあれば
275.68	276.68	まだちょっとなんか
276.68	278.68	戦いやすいかもしれないけど
278.68	280.68	まあブラフかもしれないと思って
280.68	281.68	でも全然
281.68	282.68	降りちゃっていいんですね
282.68	284.68	ほうがですね
289.68	292.68	さっきとに引き続きまして
292.68	294.68	大会説のきはらさえの
294.68	296.68	質問コメントや
296.68	297.68	あと出てる選手の方への
297.68	298.68	応援コメントなどもね
298.68	299.68	お待ちしておりますので
299.68	300.68	よろしくお願いします
302.68	303.68	コメントは
303.68	304.68	我々が見ることができるのは
304.68	305.68	15分おくれなので
305.68	307.68	今のハンドとかって言っても
307.68	309.68	今のハンドがどのハンドか
309.68	310.68	わかんないので
310.68	311.68	もうちょっと
311.68	312.68	そういう
312.68	313.68	2描き期待的は
313.68	314.68	具体で2描いていただけると
314.68	315.68	ありがたいです
315.68	316.68	なんかどこの方かな
316.68	317.68	ってちょっとわかるよ
317.68	318.68	シャンテーションとかいただけます
318.68	320.68	と回答しやすいかなと
320.68	321.68	感じで
321.68	322.68	よろしくお願いします
326.68	327.68	次のBBは
327.68	328.68	高値さんかな
328.68	330.68	高値さんが次のBBですね
330.68	333.68	高平算8号数等は
333.68	335.68	スティールクカードカードですが
335.68	336.68	降ります
336.68	337.68	ほうがですね
337.68	338.68	ボトロ伏裁で
338.68	339.68	ブライドヘッツですね
339.68	342.68	今ハンド読み込めてないですが
342.68	344.68	SVの方レイズ11,000点
344.68	345.68	これ11,000点だと
345.68	346.68	ほぼ
346.68	347.68	ミニレイズ2.3倍とかなので
347.68	348.68	ポジションあるから
348.68	358.68	BBはほぼ
358.68	359.68	高値以上できますね
359.68	361.68	ほぼ
361.68	362.68	折りなくていいんですよ
362.68	364.68	BBコールして
364.68	366.68	そのままヘッツアップです
366.68	368.68	フラップが7区員
368.68	369.68	っていうすい
369.68	370.68	2が当たりましたか
370.68	371.68	はい
371.68	372.68	さらに
372.68	374.68	フィットしたら折りないですね
374.68	376.68	でもレイズするのも
376.68	378.68	するほどでもないから
378.68	379.68	普通にコールするのが
379.68	380.68	必要だと思います
380.68	381.68	当たってますからね
381.68	382.68	SVここで
382.68	383.68	8万点ですね
386.68	387.68	8万点に
387.68	388.68	レイズした
388.68	389.68	レイズですね
389.68	390.68	あ
393.68	394.68	コール
396.68	398.68	あ、多分コールって
398.68	399.68	おっしゃっただけ
399.68	401.68	ドチップを重ね出した感じなので
401.68	402.68	コールで
402.68	403.68	あ、そうか
403.68	405.68	8万点
405.68	407.68	7枚ちょっと重めらしちゃったんですよね
407.68	410.68	ここで2が重なりました
410.68	412.68	こっちであれ?
412.68	413.68	エイスになってる?
413.68	414.68	あれ?
414.68	415.68	2ですよね
415.68	416.68	上からのカメラ後
416.68	418.68	2の2に見えるので
418.68	420.68	何か読み
420.68	421.68	コミマーチョットを
421.68	422.68	ちょっと使ったと思いますね
422.68	424.68	今カメラが
424.68	425.68	もう2で
425.68	426.68	はい
426.68	427.68	2のスペーダーです
428.68	429.68	これ?
429.68	430.68	じゃあ
430.68	431.68	下これで
431.68	432.68	カメラの
432.68	433.68	13だったんですね
433.68	434.68	はい
434.68	435.68	BVから
435.68	436.68	ベッドで
436.68	437.68	SVフォールドと
437.68	438.68	はい
444.68	445.68	高器さん
445.68	447.68	我々は
447.68	448.68	ハンド見えていて
448.68	450.68	1ハンド目
450.68	452.68	348のボードで
452.68	453.68	弱点で
453.68	455.68	先打ちしていったり
455.68	456.68	9-3でレイズして
456.68	457.68	フロップベッドしていったり
457.68	458.68	結構
458.68	459.68	ガンガンブラフ
459.68	460.68	していく
460.68	462.68	スタイルで
462.68	463.68	こういう
463.68	464.68	タイプの
464.68	465.68	プレイアーっていう感じはしますね
465.68	467.68	さっこで
467.68	469.68	1度で
469.68	470.68	1クチェンジ入れまして
470.68	471.68	2度と
471.68	472.68	2の線が見えたのは
472.68	473.68	あれは
473.68	474.68	多分
474.68	475.68	カードかなんかあったんですかね
475.68	476.68	そうですね
476.68	477.68	多分
477.68	479.68	カメラの方法じゃないですよね
479.68	480.68	キルカードの方ですよね
480.68	481.68	なので
481.68	482.68	ちょっと一度
482.68	483.68	目で
483.68	484.68	もう一度
484.68	485.68	シュルしてから
485.68	486.68	再開になります
497.68	498.68	さぁ
498.68	499.68	引き続き
499.68	501.68	5番シートの方
501.68	503.68	不在で6名で進行いきますね
505.68	506.68	結構
506.68	507.68	チップ持ってるのに
507.68	509.68	持ってるから
509.68	511.68	って言いますか
511.68	512.68	でもね
512.68	513.68	もう1回のSVBで
513.68	514.68	取られる額も
514.68	515.68	多いので
515.68	517.68	カマキさん
517.68	518.68	Sキンが入りましたね
518.68	519.68	あなたは
519.68	520.68	Sキンが
520.68	521.68	しかし
521.68	522.68	高木さんも
522.68	523.68	メガネさんも
523.68	525.68	ハンドが弱いので
525.68	526.68	このまま
526.68	527.68	スチールになりそうでしょ
527.68	528.68	はい
528.68	530.68	その感性が高いと思います
530.68	531.68	そうですね
531.68	532.68	SVBフォールだです
532.68	533.68	チールです
542.68	543.68	結構
543.68	544.68	WASOPとかでも
544.68	546.68	最終日まで行って寝坊して
546.68	548.68	さっき半然しちゃったとか
548.68	549.68	あれんですか
549.68	550.68	全然ありますよ
550.68	551.68	よく聞く話ですね
551.68	552.68	あのもう
552.68	553.68	世界の憧れの
553.68	554.68	WASOPで
554.68	556.68	結構大物ですね
556.68	558.68	結構ちょくちょくありますね
558.68	560.68	あとは
560.68	562.68	Dinner Breakの時に
562.68	564.68	部屋に変えて
564.68	566.68	休憩したら寝ちゃってとか
566.68	568.68	いやでも使われますよね
568.68	569.68	なんか
569.68	570.68	1時間
