start_time	end_time	transcript
0.00	9.00	エイスと5位カードは2枚以上あると結構3ベッターがのチェックにの高いモードになるのでチェックから入ってるなって
9.00	11.00	ですねメシクが あります
11.00	14.00	チェックチェックかなとはい
16.00	19.00	ポケットフォースの処理ですね
19.00	20.00	はい
21.00	23.00	1パンド目からあれですね
23.00	24.00	クインセプトですね
24.00	28.00	3ベッドが 書いてから取ってくるの
28.00	31.00	私結構3ベッド怖いなと思っちゃうので
31.00	32.00	ヘッツアップ
32.00	33.00	はいはいはい
33.00	34.00	はいはい
34.00	35.00	そうですね
35.00	42.00	なんか結構このあたりがヘッツアップを普段やらないと
42.00	46.00	かなり帰りがあるところだと思うんですけど
46.00	49.00	またぶん今見てくださってる方とかもあんまりヘッツアップ普段
49.00	52.00	うたく指でやらない方もいらっしゃると思う
52.00	53.00	そうですね
53.00	56.00	なかなか100ビーレイから始まるヘッツアップになる状況が
56.00	59.00	ミューズとかに遊びに行っているとなかなかないので
59.00	61.00	難しいなと思うんですけど
61.00	62.00	そうですね
62.00	63.00	はい
63.00	66.00	すごい簡単なプリフロックの覚えからとしては
66.00	69.00	10足して15位以上
69.00	71.00	キングだと13あつかいです
71.00	72.00	15
72.00	73.00	はい
73.00	78.00	例えばキングだとキングリウスオフが15位以上なので
78.00	80.00	また参加していいよみたいな
80.00	84.00	形でBBでコールするときは18位以上ですね
84.00	85.00	なるほど
85.00	87.00	だからとお前をおやすいかなと
87.00	89.00	足して15、足して18でおぼうよといってことですね
89.00	90.00	そうですね
90.00	93.00	はい
93.00	94.00	今の回も
94.00	95.00	はい
95.00	97.00	またちょっとハンドが読めてないんですが
97.00	99.00	メッシュさんがキング5
99.00	101.00	えー
102.00	104.00	おぎべぎさんですね
104.00	105.00	はい
105.00	108.00	おぎぎさんがオプレスしている
108.00	109.00	うん?
109.00	110.00	ハイビー
110.00	111.00	お、キング5
111.00	113.00	ボクにコールですね
113.00	115.00	ちょうどさっき言ったところの18
115.00	116.00	足して18なので
116.00	117.00	キング5ボクぐらいが誇るんですね
117.00	119.00	BBがのコールするハンドとしては
119.00	120.00	なるほど
120.00	121.00	足して18でコールして
121.00	123.00	今は
123.00	125.00	5が当たってますね
125.00	126.00	はい
126.00	128.00	チェックチェックになってほしいところですよね
128.00	129.00	と
129.00	131.00	今回はベッドされて
132.00	133.00	うん
136.00	137.00	そしたらね
137.00	139.00	シックスマックス結構ないぐらい
139.00	140.00	そうですね
140.00	141.00	やられてて
141.00	142.00	はい
142.00	143.00	いい感じに
143.00	144.00	なんかここを開けてるんですが
144.00	145.00	ヘッツアップってあると
145.00	146.00	まだちょっとね
146.00	147.00	いやーそうですね
147.00	149.00	私もこの間
149.00	151.00	YouTubeの企画で
151.00	153.00	ヘッツアップ勉強させていただいたんですけど
153.00	154.00	本当に
154.00	156.00	スタッグの変化で
156.00	158.00	しなきゃいけないことっていうのが
158.00	159.00	すごい変わって
160.00	162.00	すごい頭がかぶるんだらだって
162.00	163.00	それこそ今
163.00	164.00	映ってらっしゃる
164.00	165.00	メシさんとかは
165.00	166.00	何回も
166.00	167.00	ヘッツアップとなめんと
167.00	169.00	私はいけんしてるんですけど
169.00	170.00	やっぱり
170.00	171.00	それだけ
171.00	174.00	エッジが出やすいゲームになるんですかね
174.00	176.00	そうですね
176.00	177.00	エッジが出やすい
177.00	178.00	観点もありますけど
178.00	179.00	確かに
179.00	180.00	結構
180.00	182.00	シックスマックスとかに
182.00	183.00	比べると
183.00	184.00	どっちかっていうと
184.00	185.00	個人の強さ
185.00	187.00	結構反映されやすいゲームかなと思ってたのか
188.00	190.00	ハンドレンジの構成とかも
190.00	191.00	それぞれ結構
191.00	193.00	3ベットのレンジだ
193.00	194.00	そうですね
194.00	195.00	またなんかそれも
195.00	196.00	ホップレーしながら
196.00	198.00	あの
198.00	199.00	開始的とか開始してきないな
199.00	200.00	この方もいます
200.00	201.00	はい
201.00	202.00	これ面白ですね
202.00	203.00	ミス君が
203.00	204.00	プルプリチェックをしたんですかね
204.00	206.00	エッジさんはつのとってやるんですね
206.00	209.00	イスイットでチェックを選択して
209.00	211.00	今は
211.00	213.00	おぎべぎさんは8が当たってますね
213.00	215.00	ミスイットでチェックを選択して
215.00	216.00	1番いいことですね
220.00	222.00	チェックに対して
222.00	223.00	まぁ
223.00	224.00	マニベット打つかなと思います
224.00	226.00	フロップでチェックをしてるパターンだった場合ですよね
226.00	227.00	はい
227.00	228.00	はい
228.00	229.00	はい
229.00	230.00	というかの初日とか
230.00	231.00	まあ
231.00	232.00	この場合だった3日とか
232.00	233.00	5日とかですね
233.00	234.00	あの
234.00	235.00	ラットショット
235.00	237.00	でコールしたパターンとかも存在するので
237.00	238.00	はい
238.00	239.00	まあフラッシュや
239.00	241.00	もちろんストレートも存在はするんですが
