start_time	end_time	transcript
1230.00	1232.64	アツアーのYouTube配信へようこそ
1232.64	1233.80	良かったと思います
1233.80	1235.88	時期を務めますは
1235.88	1237.12	4日目となりました
1237.12	1238.40	村下緑と申します
1238.40	1240.64	みなさんもよろしくお願いします
1241.40	1242.64	最終日ですね
1242.64	1245.68	かなり熱い届かいが繰り広げて
1245.68	1247.72	繰り広げられておりまして
1247.72	1248.64	きょうもね
1248.64	1249.56	すごく
1249.56	1251.32	今ね始まりましたね
1252.36	1254.20	すいませんちょっと遅くなっちゃったんですけど
1254.20	1256.40	すごく熱い届かいが繰り広げられてる
1256.40	1257.68	なんかきょうも熱いので
1257.68	1259.32	しっかりセブに保境をして
1259.32	1262.36	最終日楽しんでいただければと思います
1262.36	1263.12	開設は
1263.12	1266.56	ヘッツアップの開設割に頂いております
1266.56	1268.60	3右オポーカークラブから
1268.60	1269.28	くださんです
1269.28	1270.76	よろしくお願いします
1270.76	1271.88	よろしくお願いします
1271.88	1273.32	開設のクズです
1273.32	1274.56	はい
1274.56	1275.84	ということで
1275.84	1276.92	メイベントは
1276.92	1280.28	デイ3ファイナルの配信となります
1280.28	1281.48	今現在ですね
1281.48	1285.08	992名中で1新宿舎が
1285.08	1285.96	992名
1285.96	1288.40	その中の11年が
1288.40	1290.04	プレイしております
1290.04	1292.00	そして今回のプライズが
1292.00	1293.84	過去最大ということで
1293.84	1295.52	そしてFTC室で
1295.52	1297.84	1万ドルが保障される
1297.84	1300.00	かなりこう11名
1300.00	1301.00	あと2名で
1301.00	1301.80	マンドル
1301.80	1303.00	夢のマンドルということで
1303.00	1304.48	このラインすごくね
1304.48	1307.40	バブルラインのようなものが
1307.40	1307.84	そうですね
1307.84	1310.40	実質バブルといってもいいぐらいの
1310.40	1311.12	ところが今
1311.12	1312.08	戦いで
1312.08	1312.40	はい
1312.40	1314.40	繰り広げられております
1314.40	1317.24	そしてプライズも過去最大ということで
1317.24	1318.92	どんどん進化してるJOPTの
1318.92	1319.92	メイベント
1319.92	1320.56	次もね
1320.56	1321.56	楽しみですね
1321.56	1322.40	楽しみですね
1322.40	1323.40	はい
1323.40	1325.40	じゃあ今回の
1325.40	1326.68	優勝者は誰のなるのか
1326.68	1328.80	一緒に目も持っていけたらと思います
1328.80	1329.72	配信のコメントも
1329.72	1332.00	皆さんはお待ちしております
1332.00	1332.32	さあ
1332.32	1332.72	ということで
1332.72	1335.00	早速開設に入っていきましょう
1335.00	1336.16	はい
1336.16	1336.88	そうですね
1336.88	1337.48	まあとりあえず
1337.48	1338.84	パンドとかの前に
1338.84	1340.28	結構こう
1340.28	1341.68	やっぱり
1341.68	1344.68	今回プライズが
1344.68	1348.60	119位の日だけが結構大きい
1348.60	1349.12	そうですね
1349.12	1352.12	倍近くになってますね
1352.12	1352.76	そこが
1352.76	1353.68	ちょっとあれですね
1353.68	1355.00	実際にこうプレイを
1355.00	1356.12	皆さんの見てみないと
1356.12	1357.12	どんなのかわかんないんですけど
1357.12	1359.12	ちょっとは見物だなというところと
1359.12	1360.24	ちょっと特殊なところが
1360.24	1362.32	9位から4位までのプライズがですね
1362.32	1363.48	かなり近いっていうのが
1363.48	1364.60	ちょっと特殊な
1364.60	1367.64	トーラメントだなっていうところで
1367.64	1368.88	結構通常ですね
1368.88	1371.32	9位から1位の賞金さって
1371.32	1372.92	10倍ぐらいあることっていうか
1372.92	1374.12	結構通常
1374.12	1374.96	そうですね
1374.96	1375.96	トップヘビーというか
1375.96	1376.96	はい
1376.96	1381.28	今回はかなり近い形の賞金になっているので
1381.28	1383.08	なかなか面白い
1383.08	1383.68	ゲームだったらあんまり
1383.68	1385.80	まあないかなというふうに思うんですが
1385.80	1388.12	ただこのプライズ自体はかなり
1388.12	1389.08	まああれですよね
1389.08	1389.48	大会の
1389.48	1390.48	こう
1390.48	1391.48	はいよっていうか
1391.48	1393.68	面白いだと思ってて
1393.68	1394.92	まああれですよね
1394.92	1396.68	あのやっぱ9位になって
1396.68	1398.08	6位とか5位とか
1398.08	1399.28	全然違うと
1399.28	1400.96	やっぱめちゃくちゃ形になっちゃうというか
1400.96	1401.96	そうですね
1401.96	1402.80	そうですね
1402.80	1403.60	プライズを
1403.60	1404.80	いくら上げられるかみたいな
1404.80	1406.24	タイムみたいなところが
1406.24	1407.52	あると思うんですけど
1407.52	1408.72	今回は
1408.72	1410.64	このFTC質が決まったら
1410.64	1413.72	結構激しいとかになりそうですかね
1413.72	1414.84	あただ
1414.84	1415.80	実際は
1415.80	1417.72	あの精神的にはそうなんですけど
1417.72	1421.20	あの実際のポーカーのICM的には
1421.20	1422.36	かなり
1422.36	1425.36	こちらの方がタイトにならないといけないゲームになっていけない
1425.36	1426.36	うん
1426.36	1427.32	あの
1427.32	1430.24	かなりDVサックを持っているプレイアーが
1430.24	1431.84	あれですよね
1431.84	1433.36	オーリンのシールだったりとか
1433.36	1436.36	そういうのを繰り広げられるゲームになっています
1436.36	1437.36	はい
1437.36	1438.36	ただこれ
1438.36	1441.84	オーリンをするんですけど
1441.84	1444.08	なんて言ったんですかね
1444.08	1444.96	それとオーリンみなさんが
1444.96	1446.24	全員オリルかどうかっていうか
