start_time	end_time	transcript
930.00	933.00	ています
948.98	951.54	ぶん
951.60	955.04	クア
955.04	963.04	皆さんこんばんは日本最大の北方の目とぜよPKのワイシーよかった
963.04	966.04	ちょっとこのからはこれワリコンジョン
966.04	967.04	これワリコンジョン
967.04	969.04	このワリコンジョン
969.04	970.04	このままからね
970.04	971.04	ごめんなさい
971.04	972.04	はい、まためまして
972.04	977.04	本日はノンリミットホールデムGG500の予想を配信していきます
977.04	981.04	実況は私村神よりがちょっと目指していただきます
981.04	985.04	実は皆さんご存知大人気のみさまさんにおごきっと頂いています
985.04	987.04	どうぞよろしくお願いします
987.04	993.04	ぜひ皆さん普段のポーカーで疑問に思っていることなども
993.04	997.04	プレイのことだったり質問やコメントをお待ちしてありますので
997.04	1000.04	一緒に配信をつくり上げていって畑ればと思います
1000.04	1002.04	どうぞよろしくお願いします
1002.04	1009.04	さあ早速もう12時から始まっています
1009.04	1013.04	レートレジストは17時くらいにしまっていて
1013.04	1015.04	停止できましたね
1015.04	1017.04	結構もう週版ですね
1017.04	1021.04	カットフカロのS7が開封しましたね
1021.04	1023.04	S7がオープンせずに
1023.04	1024.04	これをしました
1024.04	1026.04	そうですねおりましたね
1026.04	1028.04	ティラボタンのマイアさんですね
1028.04	1030.04	SZを押しています
1030.04	1035.04	スタック状況はSBBMの2人に対して
1035.04	1038.04	ボタンのマイアさんが3時のRBBでカバーしている状況ですね
1039.04	1042.04	SBBMの3フォールドしました
1042.04	1045.04	RBBはこの点5スープとは強いんでね
1045.04	1047.04	折りませんね
1047.04	1052.04	SZ対P5スープとはフロップが開きます
1052.04	1053.04	クインテンセブル
1053.04	1055.04	天皇席の日ですね
1055.04	1058.04	これもねちょっと強いですね
1058.04	1064.04	今やさんはボタンからコンティーチャンベットを打っていくかどうか
1065.04	1073.04	これはBBの飛び込みの3が5日にします
1073.04	1075.04	これをちょっと無理ですね
1075.04	1076.04	そうですね
1076.04	1078.04	入り切りますね
1078.04	1079.04	Hallieにホール
1079.04	1081.04	Hallieにホールであります
1081.04	1084.04	クリメは天皇5ですね
1084.04	1085.04	今のところ
1088.04	1091.04	クラブそしてリバカードが
1091.04	1095.04	Sのアップアで
1095.04	1097.04	この辺さん
1097.04	1100.04	ボタンのアップアンは結構
1100.04	1103.04	オレンジが広いところがあるところで
1103.04	1105.04	BBのSでカバーしているので
1105.04	1107.04	RBBのアップアンは
1107.04	1109.04	いいなにするんですかね
1109.04	1112.04	ということで現在ブラインドは
1112.04	1115.04	6,000、1,000、BBR、1,000、2,000
1115.04	1117.04	新婦しておりました
1117.04	1120.04	スタートスタックが5万点なので
1120.04	1123.04	もうレベル15でブラインドは上がっていますね
1123.04	1127.04	2,000、9,000、9,000、3,000、3ということで
1127.04	1128.04	はい
1128.04	1129.04	ノコリのプレイヤーが
1129.04	1131.04	15%ぐらいですかね
1131.04	1132.04	そうです
1132.04	1135.04	15%ぐらいに入っている
1135.04	1136.04	状況
1136.04	1138.04	ラベレージが今35万点と
1138.04	1141.04	はい35万点ですね
1144.04	1146.04	この配信テーブルでは
1146.04	1148.04	マイアさんがチップリードはですかね
1148.04	1150.04	そうですね
1150.04	1152.04	HINALTマイアさんは
1152.04	1156.04	レンジオオープンに日ろけていけるのかなと思うんですね
1162.04	1164.04	さあ、映像が今
1164.04	1166.04	ちょっとトギレチョコでいるかもしれないですね
1169.04	1170.04	SVP
1170.04	1172.04	お、これ動きしましたね
1172.04	1174.04	BB動きしました
1175.04	1179.04	今日の入場ラインが17位です
1179.04	1182.04	17位からインプライスだということで
1182.04	1184.04	ノコリ半分ぐらいだと思うんですけど
1184.04	1185.04	そうですね
1185.04	1188.04	インザマネを意識し始める
1188.04	1191.04	タイミングってどのくらいのタイミングになったら
1191.04	1193.04	インザマネの意識
1193.04	1195.04	インプライスの意識っていうのは
1195.04	1198.04	基本的には最初から意識するんですよね
1198.04	1200.04	最初から意識するので
1200.04	1201.04	基本的にはこの
1201.04	1203.04	バブルファクターと言われているものですね
1203.04	1205.04	どれだけノコルことに
1205.04	1207.04	勝ちがあるのかと
1207.04	1209.04	損をするチップの勝手よりも
1209.04	1211.04	選べるチップの勝手よりも
1211.04	1213.04	損をするチップの勝手の方が
1213.04	1215.04	高いというかトゥーナメントの基本ですので
1215.04	1217.04	それがただこの状況だと
1217.04	1219.04	相当やっぱり高くなってきますよね
1219.04	1222.04	バブルファクターというものが高くなってくるので
1222.04	1225.04	ここら辺でやっぱりチップを持っていない方は
1225.04	1227.04	とりあえずインプレイズをしたいということで
1227.04	1229.04	レンジは狭くなっていくと
1229.04	1231.04	なんでチップを持っている人は
1231.04	1233.04	プレッシャーを掛けてくるというような形になりますね
1233.04	1235.04	はい
1235.04	1238.04	勝手側は結構
1238.04	1240.04	レンジを狭くしてくれいすると思うんですけど
1240.04	1243.04	勝手側のビービーって
1243.04	1245.04	やっぱり出しているチップがあるから
1245.04	1248.04	守る頻度が高くなるのかなと思うか
1248.04	1249.04	ですけど
1249.04	1251.04	こういう場合に置いても
1251.04	1253.04	先にレンジをちっちゃくするというのは
1253.04	1255.04	それがビービーやまために
1255.04	1256.04	その話になってくる
1256.04	1257.04	ビービーも
1257.04	1258.04	結論くらいとビービーに
1258.04	1260.04	もうバブルファクターっていうのを
1260.04	1262.04	思うと聞かっていますので
1262.04	1264.04	コールをするレンジは狭くなります
1264.04	1265.04	狭くなるんですけども
1265.04	1267.04	ただ元々ビービーのコールレンジとは広いので
1267.04	1270.04	相対的には狭くなるんですけども
1270.04	1272.04	ビービーはやっぱりスーテットハンドなんとは
1272.04	1275.04	強すぎておりれるかなという感じになりますよね
1279.04	1281.04	勝手側の
1281.04	1282.04	ジャンスはね
1282.04	1285.04	エンジリーキングスーテットでオップ
1285.04	1287.04	ブレスペットブルだ
1287.04	1289.04	アルコンが
1289.04	1291.04	オートこれは危ないですね
1291.04	1293.04	危ないというか
1293.04	1295.04	エスキングチェックしましたね
1295.04	1297.04	セクステーラストカードが
1297.04	1299.04	アイブということで
1299.04	1301.04	シェクトジャックのツイッターですね
1301.04	1303.04	エイブトイッターがここから
1303.04	1305.04	バリーベットを打つかどうかのところですね
1305.04	1307.04	フロップシーベットに
1307.04	1309.04	ワンゴーバーバックが増してる
1309.04	1311.04	ターデー6が落ちてエイリーバーでこなので
1311.04	1313.04	この6の価値がかなり高いですね
1313.04	1315.04	バリーベット打っていくかなと思います
1315.04	1317.04	それこそこういうエイスキングみたいなところ
1317.04	1319.04	エイスキングはやめてあったところに
1319.04	1321.04	対してのバリーベットを打っていきましたね
1321.04	1324.04	25万点のベットに対しては
1324.04	1326.04	ジャンスはこれちょっと折りづらいんじゃないかなと思います
1326.04	1329.04	フロップでハートハート
1329.04	1331.04	フラシドローのドローミス
1331.04	1333.04	だったりするところもありますので
1333.04	1337.04	ジャンスはハートを一番持っていませんと
1339.04	1341.04	このエイスキングはコール
1341.04	1343.04	せざるうねいのかなと
1343.04	1345.04	取られてしまうのかなと思いますね
