start_time	end_time	transcript
0.00	1.20	リビューアドラッシュ
1.60	3.40	すごい2個やかに始まってますね
3.40	4.40	そうですね
4.40	6.20	後輪いではなさそうですけどね
6.20	7.40	なにかお互い試すと
7.40	8.40	ね
11.70	13.40	7分で5やけて
13.40	14.80	キングナインタイン
14.80	16.00	キングエートを数値と
16.00	16.80	タパンコール
18.70	20.30	キングエート数ともオープンに
20.30	21.80	キングナインでコール
21.80	23.00	フロップが開きます
25.00	26.00	高7で
26.00	27.00	デュース
31.00	32.40	チェックで回って
32.40	33.40	点
33.40	35.00	下回キング入りですね
35.00	36.00	3番チェック
36.00	37.00	そうですね
37.00	38.40	キングナインの方は
38.40	40.40	オープンにコールしたんですけど
40.40	42.60	こういう急以上を含むような
42.60	43.40	カード
43.40	45.00	8付近付近付近異なタイの
45.00	46.40	カードから
46.40	47.80	オフスウトであっても
47.80	50.00	プロップでのレイズを検討すべきような
50.00	51.80	反対になるかなと思いますね
52.80	55.40	で フロップが開いたとっていうのは
55.40	57.00	あのやっぱり
57.00	58.20	シックズマックスと
58.20	59.20	異なって
59.20	60.60	人数がお意見とことなって
60.60	63.20	その相談割を大事にする必要があるので
63.20	64.20	キングハイとかは
64.20	65.20	あいよラインで
65.20	66.20	お互いチェックチェックで
66.20	68.20	リバーまで向かうということが
68.20	70.20	多いかなというふうには思いますね
70.20	71.20	はい
71.20	72.20	かわっ
72.20	73.20	まずい
73.20	75.20	この女番で
75.20	76.20	はい
76.20	77.20	近ぽびまでありますね
77.20	78.20	これは
78.20	80.20	レイズ500点点ずの
80.20	82.20	見解れさんですかね
82.20	83.20	オープン
83.20	85.20	エスキングの持ち広さん
85.20	87.20	レイズを選択
87.20	89.20	レイズ500点
89.20	91.20	レイズにちょっと休めのレイズですね
91.20	92.20	はい
92.20	95.20	2センテンぐらいの
95.20	97.20	サイズが標準的かなと思いますが
97.20	98.20	はい
98.20	100.20	なんでも大だと思います
102.20	105.20	この3ベットのサイジングっていうのは
105.20	107.20	コールを押してもらいたいときに
107.20	108.20	小さく二人とか
108.20	110.20	4ベットを狙ったりとか
110.20	111.20	こう
111.20	112.20	ヘツアップって
112.20	113.20	相手が
113.20	115.20	一人しかいないものだから
115.20	116.20	サイジングって難しいなと思って
116.20	117.20	そうですね
117.20	119.20	ハンドによって帰ることがなければ
119.20	121.20	自分の決めたサイズを
121.20	122.20	打つというので
122.20	124.20	問題ないかなと思いますね
124.20	126.20	ハンドによって決めるというよりは
126.20	127.20	相手だったり
127.20	128.20	ポジションだったりで
128.20	129.20	書いていく
129.20	130.20	そうですね
130.20	131.20	ヘツアップの場合は
131.20	132.20	1対1になるので
132.20	133.20	ポジション2つしかないですが
133.20	134.20	はい
134.20	135.20	一つのサイズを
135.20	136.20	グラフのときも
136.20	138.20	バリアのときもしっかりですが
138.20	139.20	というのが大事ですね
139.20	141.20	これは入りますね
141.20	142.20	テンズが
142.20	144.20	4ベットした場合は
144.20	146.20	これはもう自動的に
146.20	148.20	オリンまで入るシチュエーションですね
148.20	149.20	はい
149.20	152.20	一応ですね
152.20	155.20	その6ポケであるとか
155.20	157.20	7ポケみたいな
157.20	159.20	テンズがポケットとして買っているようなものも
159.20	161.20	そのGTを戦略と呼ばれるものは
161.20	163.20	オリンをしているんですね
163.20	164.20	もうチキロさんが
164.20	166.20	が6ポケを持っていた場合
166.20	167.20	であるとテンズというのは
167.20	169.20	十分強いので
169.20	171.20	もうオリンしてる連持に
171.20	172.20	グッとということで
172.20	173.20	基本的には
173.20	174.20	フォールドも
174.20	176.20	検討できるような反応なんですが
176.20	177.20	相手が
177.20	179.20	そういうような反応を一つも
179.20	180.20	オリンしていないと
180.20	182.20	もうエスキングエスキング
182.20	184.20	とかツーフオーバーであったり
184.20	187.20	テンズ以上のポケットしかオリンしてないという風に
187.20	189.20	考えるのであれば
189.20	191.20	一部フォールドも検討できるような反応かなとは
191.20	192.20	思いますね
192.20	193.20	ただ
193.20	195.20	まだご反応目ですからね
195.20	196.20	こんなんで
196.20	197.20	飛ぶのか
197.20	198.20	気持ちには
198.20	199.20	何があったよね
199.20	201.20	エクイティ自体は
201.20	202.20	今勝率ですか
202.20	204.20	勝率は56%で
204.20	205.20	テンズが実は買っていると
205.20	206.20	流量な
206.20	208.20	マジチュエーションですね
210.20	211.20	コールでもちろん
211.20	213.20	正しいですが
213.20	215.20	折り手も
215.20	217.20	フィルド次第では
217.20	219.20	極端な見つにはならない
219.20	220.20	3番折り手ですね
220.20	221.20	折りコールだと思います
221.20	222.20	折りコール
226.20	227.20	エスキングタイト
228.20	229.20	ポケットテンズ
229.20	231.20	ご反応目でも使ってしまいますね
233.20	234.20	お互い
234.20	235.20	すごい重くは
235.20	236.20	工作してるでしょ
236.20	237.20	ね
237.20	238.20	さあ
238.20	241.20	シックスクイン7
241.20	243.20	そしてエースが当たりましたね
243.20	245.20	エースデュースということで
245.20	248.20	エースのマンペアで
248.20	249.20	持ち日論さんが
249.20	250.20	ポット角度です
250.20	251.20	ただ
251.20	252.20	まだ
252.20	253.20	2万点のアドウンが
253.20	255.20	可能のタイミングなので
255.20	257.20	まだまだ
257.20	258.20	ここからどうなるかわかりませんね
258.20	261.20	アドウンは
261.20	262.20	好きなタイミングで
262.20	263.20	2万点1回できる
263.20	264.20	そうですね
264.20	266.20	1回
266.20	267.20	1回
267.20	268.20	当たり1回
268.20	269.20	という形なので
269.20	272.20	4万点で
272.20	274.20	最初から
274.20	275.20	入ることもできるし
275.20	277.20	通りに近いスタックで
277.20	278.20	2万点で
278.20	279.20	戦うということも
279.20	280.20	できますね
280.20	281.20	選挙的には
281.20	282.20	どういう風に
282.20	283.20	通りのが
283.20	284.20	1回というか
284.20	285.20	お勧めみたいなのありますか
285.20	286.20	そうですね
286.20	287.20	お勧めで言うんだあれば
287.20	288.20	やっぱり
288.20	289.20	トンだときに
289.20	291.20	もういっぱいをするという形が
291.20	292.20	いいのかなと思います
292.20	293.20	あとは
293.20	294.20	人によって
