start_time	end_time	transcript
0.00	2.00	ん
6.00	13.00	ここでもぶっというのスカント目線でははいかしい読みやすいというかまあ期待通りの結果になってますかね
13.00	17.00	大体こうだろうではですねはい
17.00	25.00	ポーカスして対策してやっぱりらしいのにキャミンをかぶつけてそうなると
25.00	31.00	その対象がングリバードをすると中間はビックバードであろうと
31.00	36.00	読みやすかったかじゃないかなと思います
37.00	40.00	クラントファイダルからね
40.00	43.00	約1カ月2本国内2カ月
43.00	48.00	そしてこのカフォンカップのリベーマーの最終リート
48.00	50.00	それからねワールドチャンピューシップに向けて
50.00	52.00	トゥルスカットを面白いもん
52.00	54.00	スパーパートナーもね
54.00	57.00	先ほどちょっと控えするのを邪魔しましたけれども
57.00	60.00	SFリーがおねしかったスパーパートまで
61.00	64.00	そこが日本開催の有利な点ですよね
64.00	66.00	そういう選手が入っている
66.00	69.00	その効果であれと
69.00	72.00	ましいとそしてケンラ
72.00	75.00	食事まで練習しているのがあればあれ
75.00	78.00	ちょっと取っておきました
82.00	85.00	うっといとスパーツは
85.00	86.00	ましいですね
86.00	88.00	インサーによってこう勝ち打ついつながりましたが
88.00	90.00	今度はインサーのどう対処するかと
90.00	91.00	うん
91.00	92.00	はいいうことになります
100.00	101.00	対処からも今
101.00	102.00	やっといとスカット
102.00	105.00	対する性をそしてビックバードに対する性が取りかっています
109.00	113.00	ブループFには
113.00	115.00	ブリットタイトジャックがいて
115.00	117.00	ジャックには2位で勝利しています
119.00	121.00	ジャックタイトクモンジェスね
121.00	123.00	パナロデ
123.00	126.00	もちろん両方の対策が出ていると思うんですよ
126.00	129.00	今目隣が直近でやっていると思う
129.00	131.00	または風景もそれ見れると
131.00	132.00	言うとしたよね
132.00	133.00	さてね
136.00	138.00	現在選手たちが今
138.00	140.00	インゲームの環境をチェックしております
140.00	142.00	環境チェックが終わり次第に
142.00	144.00	試合の方が始められるということです
149.00	152.00	さてより環境チェックが終わったということです
152.00	154.00	あとはキャラクターの選択で
154.00	156.00	その試合に始まります
167.00	170.00	さて10ポイントを先に獲得したらグッドイトスクワット
173.00	175.00	インゲームは全くこの中継戦
175.00	177.00	10点獲得となるでしょうか
178.00	180.00	さてキャラクターのビックが終わりました
180.00	181.00	ストリートファイターリーグ
181.00	183.00	ワールドチャンクをシップ2024
183.00	185.00	4戦第1シェイ
185.00	187.00	グッドイトスクワットインゲームは
187.00	197.00	ジャマツ中継戦
197.00	199.00	ビックもお前プレゼンでいきましょう
199.00	200.00	パナロデ
201.00	203.00	スティーハッシュ
206.00	208.00	さてより大らしい
208.00	209.00	このクミアスです
212.00	214.00	少し踏み込みギミだったの
214.00	215.00	ビックバード
215.00	216.00	私プゲラー
216.00	217.00	中継戦
217.00	218.00	落ち着いてあって行きます
221.00	223.00	ドライブションクワープゲラー
223.00	225.00	じゃあスクワリーから1で帰ります
225.00	227.00	中打カウター
228.00	230.00	これで続けきが上手はじもついてきました
232.00	233.00	投げられてける
233.00	234.00	カップブシルド
234.00	236.00	このツメアスのまた高落らし
236.00	237.00	時には回転を
237.00	239.00	カナイハイミリ対折ないと
239.00	241.00	ジャンプ強判施で
241.00	242.00	通されやすいと思いますね
242.00	244.00	これはビックは
244.00	246.00	弱戦でもがいとあったかなと
246.00	247.00	はい
247.00	250.00	さっぱりいいやしだうから
250.00	251.00	開け
251.00	253.00	追食
254.00	256.00	食を置いてきたはじめた
256.00	257.00	ビックは
258.00	259.00	好きな大きいね
259.00	261.00	そこにやってみますか
261.00	262.00	めっちゃくんしてるの
262.00	263.00	ビックバード
263.00	264.00	うまい
264.00	265.00	キロ
266.00	268.00	今度は開射ことがしたね
268.00	269.00	ここに中盤は
269.00	270.00	逆転段も10番近い
270.00	271.00	オケアしながら
