start_time	end_time	transcript
0.00	28.74	谷野さんから、
28.74	32.14	ということで、結局に戻りましょう!
32.14	34.14	お願いします!
35.24	38.74	はい、ということで、こちら、実況式いま入ります。
38.74	40.74	実況のあるです。よろしくお願いします。
40.74	42.74	かりとさん、ありがとうございます。よろしくお願いします。
42.74	43.74	はい。
44.24	46.94	やはんや子さん、プライクエストアウェーガーは、
46.94	48.94	キンバリー2枚並べてきましたね。
48.94	49.94	キンピンキンキャンデ。
49.94	50.94	キンピンキンキャンデ。
50.94	53.74	この作戦で、ことと言ってますからね、このチームは。
53.74	54.24	はい。
54.24	57.44	本当に、たとぶり、やっぱりこの2先のキンバリーで、
57.44	61.44	誰かをやって、で対象パンクが、
61.44	63.44	ドシリーと、なかなかうっていうのが、
63.44	66.44	おそらくこのチームの作戦なんですが、
66.44	68.44	先ほど対象ダングリバードとの接戦をしてした、
68.44	70.44	カワンの顔が全部折れてくると、
70.44	71.44	そうですね。
71.44	72.44	ということになりました。
72.44	74.44	このチームとの対象に、グッドエドスカットが、
74.44	77.44	目線でやっぱりパンクをどう倒すかと思うんですよね。
77.44	79.44	そもそもグッドエドスパットのチーム変成、
79.44	82.44	やっぱりキャミが結構気付い、チームになってるので、
82.44	85.44	その作戦というか、どういうふうに、
85.44	87.44	オーダー組み立てていくのか、
87.44	88.44	そこは大事になるでしょう。
88.44	91.44	さあ、その中で、まず先方に座ったのは、
91.44	93.44	ブッテイドスカットカワの、
94.44	97.44	一枚目のキンバリーはこの最高。
97.44	99.44	さあ、準備は届いた!
99.44	101.44	始まるぞ!
104.44	105.44	このキンバリーシュート、
105.44	108.44	9発はどうやって上がるのか!
109.44	112.44	その答えが今、赤される、見ていきましょう。
112.44	115.44	カワの動き、開するは最高キンバリー!
115.44	117.44	聞いてみましょう!
117.44	118.44	お願いします。
120.44	122.44	さあ、回目はハドキを打っていく。
122.44	123.44	カワのの動き、
123.44	125.44	あるのかはハドをによる検査。
125.44	127.44	これでキンバリーの接近をさそって、
127.44	128.44	そこに対して来てください。
128.44	129.44	そうですよね。
129.44	131.44	最後に、スライディング。
131.44	133.44	スライディングが髪を行くこのように、
133.44	135.44	下に潜り込める。
135.44	137.44	さあ、早速知りけたくなった。
137.44	139.44	置いているが前と比、ここは投げているのが、
140.44	143.44	カワの投げて、
143.44	145.44	タイルキリーは弱感を見て、
145.44	146.44	最高キンバリー。
146.44	148.44	画面はじめになるか、
148.44	149.44	大パンスかしている。
149.44	150.44	おー、
150.44	151.44	おー、
151.44	152.44	撮ってきた!
152.44	153.44	さあ、
153.44	155.44	早速にSA1できるかし、
155.44	158.44	画面はじょう出すできるか、
158.44	159.44	まんでる!
159.44	161.44	出し中はしから、
161.44	162.44	中でるよ。
162.44	165.44	ここは4ミック発する、最高!
165.44	167.44	ありがとうございます。
168.44	170.44	S-Aの
170.44	171.44	ピリ会社に来まって、
171.44	173.44	最高に来たぞ!
173.44	176.44	最高のキンバリーがラウドと手前に入れる。
176.44	178.44	このセイクドアルを手前に入れるのは、
178.44	181.44	撮影がないのがポイントじゃないの。
181.44	183.44	撮影が高くしらっし。
183.44	186.44	撮影の動きは前に入れて、
186.44	188.44	最高の方はS-Aゲージを0回いた。
188.44	191.44	ここの目立ち、モチモチモチの2回。
191.44	193.44	小パンチを押していた最高機械から、
193.44	194.44	ラッシュして。
194.44	196.44	さまに出る。
196.44	198.44	2のコンボでS3がたまにそう!
198.44	199.44	最高にさる見えてる
199.44	200.44	ただ可能!
200.44	201.44	くてんばく!
201.44	203.44	さあ中攻撃からのこのコンボ!
203.44	206.44	高点合加まで!
206.44	208.44	これは倒し切り!
208.44	209.44	大身ごと!
