start_time	end_time	transcript
0.00	5.24	【駅の音楽】
5.24	6.28	うらしましたね
6.28	7.24	うらしましたね
7.24	9.76	これもね面白い戦いがだですよね
9.76	10.76	はい
10.76	13.60	ガチ君はシャインには勝ちましたが
13.60	15.40	まぁ何度もお話がある通り
15.40	15.88	はい
15.88	17.72	このシャインとサイコもプレースタがでね違うと
17.72	18.48	はい
18.48	20.96	違う味わりのキンバリーをこつける
20.96	21.48	そうです
21.48	22.04	はい
22.04	23.88	俺はリニカになってますね
23.88	26.80	サイコのキンバリーは展開を遅く
26.80	29.12	まぁその差し返しメインの
29.12	31.48	動きをするキンバリー
31.48	33.12	一方シャインの方は
33.12	34.72	展開を早くして
34.72	36.20	相手を確認するキンバリーと
36.20	37.32	勝ちのあるやつは無理など
37.32	38.08	知り換われましたけど
38.08	40.00	やっぱり1回言った時の
40.00	41.72	その勢いは
41.72	44.48	シャインの方があったかもしれないですね
44.48	45.00	そうですね
45.00	46.00	はい
46.00	47.00	はい
47.00	48.00	はい
48.00	48.52	そうなのかで
48.52	51.00	先ほど渡ったこのサイコも
51.00	53.16	かなりだげき大目で
53.16	55.12	カワードのその逆たくの部分を
55.12	56.04	上手くついて
56.04	56.56	とるんですね
56.56	58.04	かついばかりとった
58.08	60.44	もちろんスタイルはあるものの
60.44	61.56	その対応の幅
61.56	66.56	スタイルの幅もあるで勝利をキンバリー
66.56	68.60	やるもんこれはグッドイトスコットは
68.60	69.96	本当にキンバリー線を
69.96	71.56	試される
71.56	75.20	戦いになりましたね
75.20	76.28	キャラクターないですかもん
76.28	77.40	白
77.40	79.56	そのちょっとこっち側行くせを
79.56	82.24	持った二人だよってことを
82.24	84.12	使い認識してプレーしないと
84.12	87.80	危ないかもしれないですね
87.84	90.20	さあここまで一人目で
90.20	92.24	ついたポイントさは20ポイント
92.24	94.20	30体10で20目
94.20	95.80	先方線が
95.80	99.80	まくは拡大している
99.80	102.00	作業選手の準備は
102.00	104.44	まもなく
104.44	107.64	できようかというところ
113.48	115.48	さあこれで準備を受け
115.48	117.00	この20目で
117.00	119.80	40ゼロが達成されれば
119.80	122.28	そのまま終わりかねない
122.28	126.28	ガチクマが速攻組できるか
126.28	127.56	見ていきましょう20目
127.56	129.04	先方線
129.04	130.24	最高キンバリー
130.24	132.04	対するはガチクマシーの
132.04	133.68	一定でしょう
133.68	136.68	お願いします
136.68	138.68	さあ買いまく
138.68	139.72	上から来たわし
139.72	141.40	一回対応はガチクマシーのらしいのを
141.40	142.48	見てが
142.48	143.44	仕掛めなったんで
143.44	144.68	今日のさ
144.68	145.84	これタイクイプを取っても
145.84	146.84	やっぱりキンバリーさんの対応が
146.84	147.84	求められますから
147.84	148.84	そうですね
148.84	149.84	さあこれを画面時
149.84	151.32	先に連れていくことに成功が
151.32	152.32	しくんただ
152.32	153.84	最高満下る
153.84	155.32	さあパーティーを投げて
155.32	156.84	後ろ投げ
156.84	157.84	さあ
157.84	158.84	さあ
158.84	160.84	さあに入れ替え直す
160.84	161.76	うお入れ
161.76	162.76	いい
162.76	163.96	さあ無敵技術やの
163.96	164.76	きりかし
164.76	166.36	ガチクのドライブをして
166.36	167.36	すくない
167.36	167.40	さあ
167.40	168.16	マイステバックスで
168.16	169.16	今く
169.16	170.16	つながしてからの
170.16	171.16	下段
171.16	172.36	パリーに足して
172.36	174.16	出てる
174.16	174.88	さあここで
174.88	176.88	別にこみのルテン1文字
176.88	178.88	最高は綺麗にランドとった
180.88	181.88	しからない
181.88	182.88	大利くびかりで
182.88	183.88	展開を早めて
183.88	184.88	バーズを狙いに行った
184.88	185.88	2個でしたね
185.88	186.88	まだ打つ
186.88	187.88	ガンガン打ってくれ
187.88	190.88	この秘密点を使っていきました
190.88	191.88	ここはガチクも
191.88	192.88	切り返して
192.88	193.88	U-S-R
193.88	195.88	ガズマキワイシー
195.88	197.88	ガズマキワイシー
197.88	199.88	ここは
199.88	201.88	ここはガード
201.88	202.88	この画面はじ
202.88	203.88	大きい流がなかなか
203.88	204.88	ある程もわかってるんだ
204.88	206.88	このダイヤシー
206.88	207.88	確かにし
207.88	208.88	ガランの
208.88	209.88	ガメ始になるぞ
209.88	210.88	ガメ始になるぞ
210.88	211.88	ミキスさん
211.88	212.88	ガランの奥を
212.88	213.88	伸ばして
213.88	214.88	ガランの
214.88	215.88	コパンたつね
215.88	216.88	投げも入るよ
216.88	217.88	撮影はどうするよ
217.88	218.88	もう一度
218.88	219.88	サラウンドと
219.88	220.88	手術ゲージを
220.88	221.88	用意した方向一緒
221.88	223.88	ギュサーの
223.88	225.88	リーニバの反撃が
225.88	226.88	切り上がるのか
226.88	227.88	どうか
227.88	228.88	すごい
228.88	229.88	わかりづらい
229.88	230.88	タイミがあったのに
230.88	231.88	ないってことを
231.88	232.88	見つかる
232.88	233.88	さすがるぞ
233.88	234.88	ガミはじになった
234.88	235.88	膝で
235.88	236.88	これは
236.88	237.88	ミキスは
237.88	238.88	からの攻みになる
238.88	239.88	鍋が通る
239.88	240.88	2ゲージを撮った
240.88	242.88	また攻めて
242.88	243.88	鍋を撃って
243.88	244.88	まだ行く
244.88	245.88	さっそい子は
245.88	246.88	何を寝るっていか
246.88	247.88	しよう
247.88	248.88	これ
248.88	249.88	ギュサーなんだから
249.88	250.88	膝で
250.88	251.88	ギュージが
251.88	252.88	玉りそうだ
252.88	253.88	3つ頑張って
253.88	255.88	あるタイルまで
255.88	258.88	さあ
258.88	259.88	タイル系さん
259.88	262.88	現実感リバッチリー
265.88	267.88	このゲージ感には
267.88	268.88	本当によく
268.88	269.88	良いことでしたね
269.88	270.88	たまに触れ
270.88	271.88	変わらない
271.88	272.88	アリエルくらいのも
272.88	273.88	そうです
273.88	274.88	どうだったんじゃないですか
274.88	275.88	ビタで
275.88	276.88	そこは
276.88	277.88	バウンドしない
277.88	278.88	イギュグルで
278.88	279.88	開かめきってのあるタイル
279.88	281.88	この
281.88	282.88	一試合目は
282.88	283.88	とにかかちくんの
283.88	285.88	やり込みによる
285.88	286.88	精度の部分が
286.88	288.88	運命に出た試合でした
290.88	291.88	さあ
291.88	292.88	2試合目
292.88	293.88	先報線は
293.88	295.88	2試合1選手へ
295.88	296.88	まず1試合取ったのは
296.88	298.88	ガチクのらしいの
298.88	299.88	最高は
299.88	300.88	ここからどうして
300.88	301.88	来るか
301.88	302.88	一つから
302.88	303.88	よく見ていた
303.88	305.88	確かに
305.88	306.88	ついて
306.88	307.88	またもや
307.88	308.88	画面はじい
308.88	309.88	そこから
309.88	310.88	斜げ
310.88	311.88	こうなった
311.88	312.88	初まる後
312.88	313.88	近場にいかに出るか
313.88	314.88	そうだね
314.88	315.88	まだゲージは
315.88	316.88	長いだけをして
316.88	317.88	そのままいれる
317.88	318.88	さまは
318.88	319.88	やり
319.88	320.88	さあ
320.88	321.88	国の毎日での
321.88	322.88	パリータ
322.88	323.88	長い
323.88	324.88	最後が
324.88	325.88	うまく
325.88	326.88	弱りかっているここまで
326.88	328.88	さまいれる
328.88	329.88	下げつきから
329.88	330.88	全面
330.88	331.88	さあ
331.88	332.88	これは爆弾
332.88	333.88	爆発する
333.88	334.88	次行きは入る
334.88	335.88	さあ
335.88	336.88	最高の時間が
336.88	337.88	まだ続く
337.88	338.88	来たね
338.88	339.88	ループ成功
339.88	340.88	さあ
340.88	341.88	さあ
341.88	342.88	2次行き
342.88	343.88	さあ
343.88	344.88	すべてを使って
344.88	345.88	まだ
345.88	346.88	俺はまだどこでしょ
346.88	347.88	バーとしている
347.88	348.88	最高
348.88	349.88	どうするか
349.88	350.88	うわー
350.88	351.88	ここですら
351.88	353.88	確くは
353.88	355.88	オーディュアルでしたかね
355.88	356.88	確かに
356.88	357.88	お使いして
357.88	358.88	入れ替えられたら
358.88	359.88	もうね
359.88	360.88	揺さるで
360.88	361.88	相当
361.88	362.88	暑い状況になっていたんで
362.88	363.88	これだったか
363.88	364.88	どうだ
364.88	365.88	上から踏んだ
365.88	366.88	もう一応
366.88	367.88	次行きない
367.88	368.88	次行きは
368.88	369.88	下げ段の形
369.88	371.88	スカイハイ
371.88	372.88	出帰る
372.88	373.88	全行きしっかり
373.88	374.88	だからの
374.88	375.88	すべて
375.88	376.88	今かあわれているのは
376.88	377.88	サイコのキンバリー
377.88	378.88	ここで
378.88	379.88	国
379.88	380.88	確かにする
380.88	382.88	最高は
382.88	383.88	前行くる
383.88	384.88	さあ
384.88	385.88	下げ2つ
385.88	387.88	確かに
387.88	388.88	引っ返しみごと
388.88	389.88	こうやって
389.88	390.88	投げ撃って
390.88	391.88	ギュサルだ
391.88	392.88	形状は
392.88	393.88	たまっている
393.88	394.88	立つ巻きがまう
394.88	395.88	当ててからの
395.88	397.88	オリミスは
397.88	399.88	そこからのスカイハイ
399.88	400.88	さあ
400.88	401.88	倒し切りは
401.88	402.88	見えていた
402.88	403.38	これで勝ちくよ
403.38	404.38	ポイト
404.38	405.38	最高までさっきやった
405.38	406.38	バイヤ称を置いておいて
406.38	407.38	前にドリドリ
407.38	408.38	こう
408.38	409.38	生まれて時間をかせぐ
409.38	410.38	っていうのをやろう
410.38	411.38	落ちちゃうのか
411.38	412.38	このやらない反省が
412.38	413.38	前に
413.38	414.38	前に
414.38	415.38	当てたところで
415.38	416.38	言うさ
416.38	417.38	フラッと
417.38	418.38	貰いました
418.38	420.38	サルッシュ
420.38	422.38	サルッシュ
422.38	424.38	サイコ
424.38	425.38	サンゲージは
425.38	426.38	たまりそう
426.38	428.38	倒巻き換えすか
428.38	430.38	出ていて
430.38	432.38	中央の手を
432.38	433.38	見せながら
433.38	434.38	この中距離
435.38	436.38	こう作っていく
437.38	438.38	半端
438.38	439.38	中央し
439.38	440.38	貸われる
442.38	443.38	貸いたを
443.38	445.38	当てにしたサイコ
446.38	447.38	ただ決定だには
447.38	448.38	なるずにおしゃ
448.38	449.38	ここも勝ちくの
449.38	450.38	しゃがみコーパン
450.38	452.38	ここらが目始が近い
452.38	453.38	来たんねくはー
453.38	454.38	サイコはボタンを押し入る
454.38	455.38	掴けないする
455.38	456.38	おすみから
456.38	458.38	投げ前に出て
458.38	460.38	スラを重ねて
460.38	461.38	早い反対
461.38	462.38	これを画面走
462.38	464.38	サーハンにはすかし
464.38	465.38	ちょまくまく
465.38	466.38	この人
466.38	467.38	これからはまれるか
467.38	468.38	とりあえず
468.38	470.38	サウド神経験かくら
470.38	471.38	まだ終わらないが
471.38	472.38	サイコのドライブゲージが
472.38	473.38	回遇して
473.38	474.38	ガチクのドライブゲージが
474.38	475.38	下がる
475.38	476.38	原子の2ゲージ
476.38	477.38	ゆうさら
477.38	478.38	発動できるかどうか
478.38	479.38	見るわー
479.38	480.38	次に来た
480.38	481.38	カルフは出る
481.38	483.38	しっかりと倒しきりー
485.38	486.38	ここまでは
486.38	487.38	第1番から
487.38	488.38	国語しか
488.38	489.38	9点し
489.38	490.38	パリ投げだったので
490.38	491.38	はい
491.38	492.38	立ち込まんちの後の
492.38	493.38	配合計画らみの
493.38	494.38	かけ引きで
494.38	495.38	最高は
495.38	496.38	かなり
496.38	497.38	はまっています
497.38	499.38	そうですね
499.38	500.38	これで
500.38	502.38	1対1になった
502.38	503.38	ガチクの対
503.38	504.38	最後
509.38	510.38	さあ
510.38	511.38	サイコのドライブゲージが
511.38	513.38	パンクが
516.38	517.38	この
517.38	518.38	キンバリン2対し
518.38	519.38	も
519.38	520.38	応援ボードは
520.38	522.38	囲げられている
530.38	531.38	これで
531.38	533.38	1位力の3専門
533.38	536.38	もう2レータリオーシャの対決
539.38	540.38	サイコの流れを
540.38	541.38	止められるか
543.38	545.38	40体10か
545.38	547.38	30体20かになる
547.38	549.38	この運命な
549.38	550.38	分からみ
550.38	551.38	チーコの
551.38	552.38	シェル
554.38	555.38	オリカ
555.38	556.38	シュルケンですか
556.38	557.38	いや
557.38	558.38	クレームじゃん
558.38	559.38	早い
559.38	560.38	早いな
560.38	561.38	作って
561.38	562.38	バウトも見える
562.38	563.38	ただ
563.38	564.38	私君がうまく
564.38	565.38	交わさない
565.38	566.38	大学さん
566.38	567.38	ツイタードライブさまある
567.38	568.38	どうするこの状況
568.38	569.38	チーコの
569.38	570.38	ラッシュシェイの
570.38	571.38	おばしい
571.38	572.38	大身ごと
572.38	573.38	アラムへ
573.38	574.38	ひねり
577.38	578.38	やはりこの
578.38	579.38	速いガラミが
579.38	580.38	しゅっ
580.38	581.38	かなり最高フェースで
581.38	582.38	進んでますね
582.38	583.38	大ですね
583.38	584.38	環球の付け方は
584.38	585.38	展開の
585.38	586.38	スピード感
586.38	587.38	確か
587.38	588.38	農まれてしまっては
588.38	589.38	まずい
591.38	592.38	あいち
592.38	593.38	あいち
593.38	594.38	あいち
594.38	596.38	あいち
596.38	597.38	よし
597.38	598.38	もしかし
598.38	599.38	最高の
599.38	600.38	もらえ
600.38	601.38	迷続
601.38	602.38	私は
602.38	603.38	そのどこか
603.38	604.38	アラムを
604.38	622.38	揺れた
622.38	624.38	岩文ごと
624.38	627.38	アサウト total
627.38	630.88	でも、教採論からのアサルトロール
630.88	632.38	若干ようになったことがあるから
632.38	634.38	せめたかったところでしたか
634.38	635.88	あそこで撃ってくるとは
635.88	637.38	そうですよね
