start_time	end_time	transcript
0.00	6.00	【駅の音楽】
6.00	9.00	ぶっ派地戦でも、最初は、
9.00	11.00	ビッパーとかもバラしてるかでしょ
11.00	14.00	もう、なんか、上だったら、考えられていいか
14.00	19.00	前方の中心を、俺がフェヌームがいったどっち、どっちの順番にするか、悩んでるって言って、
19.00	22.00	それも言ってるみたいな感じの方
22.00	25.00	バラしてもいいくらいのチーム力なけれども、
25.00	28.00	この人気はずいんぱーじゃないですか、チームは
29.00	32.00	でも、夢られないだなって、
32.00	34.00	ほぼ、言わればいいか
34.00	36.00	はい、ところですけれども、
36.00	39.00	ただ、やっぱりこのチーム力が非常に高いんですよね、
39.00	40.00	人気はずいっぱいないですね
40.00	41.00	そうなんですよ、
41.00	42.00	まんまにバードも強いですけど、
42.00	44.00	片目の2人も非常に強力です
44.00	47.00	さあ、インゲームチェック終わったというものです
47.00	50.00	さあ、4000第1位、インジャーズインパジャーマス、
50.00	53.00	バースはスクッとインスコット、
53.00	55.00	まずは、セモセ、
55.00	57.00	ベーロームのキャミ、
57.00	58.00	対するわー、ガチクンのら、
58.00	60.00	シェイダービティでいきましょう!
64.00	65.00	組み合わせたしは、
65.00	67.00	キャミに入る上からのセモに対して、
67.00	68.00	タイプウムでき、
68.00	70.00	今日スピニングミクターがちょっとおそいので、
70.00	72.00	タイプが強いので、
72.00	73.00	言うところはポイントでしょう。
73.00	74.00	さあ、ガチクに対して、
74.00	75.00	ペノムはまず、
75.00	77.00	中央しかなカメラ端に追い込みました。
77.00	79.00	このカメラ端ては、
79.00	80.00	投げ、マイチャップ、
80.00	81.00	とした。
81.00	82.00	入れ替えたら大きいでしょう。
82.00	83.00	さあ、確かいし。
84.00	86.00	さあ、このガチクンはカメラ端によすみ。
87.00	88.00	カメラの板を対して、
88.00	89.00	ドライブを上待ています。
89.00	90.00	よっしゃ!
90.00	91.00	ここでのジャスさん!
91.00	92.00	もう、
92.00	93.00	帰るとこの、
93.00	94.00	貴らみやさいように、
94.00	95.00	チュート、今日の見訳をしっかりしていきますね。
95.00	97.00	素晴らしい対応を見せました。
98.00	99.00	さあ、これ、
99.00	100.00	中央少一としのい、
100.00	101.00	だがガチクン。
102.00	103.00	嫌いが長びに入っているので、
103.00	104.00	ガチクンの孿節がもう、
104.00	106.00	たまりそうというのはポイントでしょうね。
106.00	107.00	ガチクンの孿節は、
107.00	109.00	鼻手そうな芸術です。
109.00	110.00	しかも、立ち位置もいいので、
110.00	112.00	ワンタッチから優勢あるの、
112.00	113.00	距離に行きそうです。
114.00	115.00	それで、まそこ、
115.00	116.00	警戒しないといけないですね。
116.00	117.00	さあ、ドライブらして、
117.00	118.00	首込みますが、
118.00	119.00	フェノマシン、
119.00	120.00	超に対応、
120.00	121.00	受けにもあります。
121.00	123.00	体力状況はフェノマがリードを取ってますから、
123.00	125.00	ガチクンはどこをカレクさなきゃいけない。
127.00	128.00	さあ、逃げ時が目の前。
128.00	130.00	よし、上手この手!
130.00	131.00	上から来たフェノマでしたが、
131.00	132.00	積極批い。
132.00	134.00	グライオンなかったんだよね。
134.00	135.00	おぉ、お前、
135.00	136.00	そこで今、
136.00	137.00	下地消してきた。
138.00	139.00	ガチクン。
139.00	140.00	体力が弱つか。
142.00	143.00	さっしゅらしい。
143.00	144.00	前に来ます。
144.00	145.00	時間が、
145.00	146.00	降りつくないです。
146.00	148.00	リスクの少ない、
148.00	149.00	コートダウンでかけていたフェノマですが、
149.00	150.00	捉えた、ガチクン!
