start_time	end_time	transcript
0.00	2.82	ターンARA
5.30	5.82	なりました
6.12	15.46	発言
15.46	19.46	スタート
19.46	24.46	さあ会場はなく
24.46	27.46	この状況
27.46	29.46	この30目で
29.46	33.46	アメカさん結着をするという風に考えて
33.46	35.46	いいですよね
36.46	40.46	さあただアメリカには
40.46	43.46	A、NIFUやジャングなど
43.46	45.46	今日自然使いもいますからね
45.46	47.46	すごい自然使い多いですからね
47.46	49.46	アメリカ
49.46	51.46	その中でも生まれてきた
51.46	54.46	アメリカの気が
54.46	55.46	何を見せるか
55.46	58.46	この10000
58.46	60.46	まだ戦いは続く
60.46	62.46	30目まで持つれた
63.46	66.46	私は
66.46	68.46	どうなるトリプルキンバリーシュート
68.46	70.46	ブーゲラジビー
70.46	72.46	大切な最高キンバリー
72.46	74.46	1でいましょう
74.46	76.46	お願いします
76.46	78.46	さあ
78.46	80.46	前世からご飯を刻んでいくのが
80.46	82.46	最後
82.46	84.46	待つ待ち
84.46	86.46	ご飯を
86.46	88.46	待つ
88.46	90.46	スティックルならば
90.46	92.46	お気をさしない
92.46	94.46	ポイントはない
94.46	96.46	そこに対しては
96.46	98.46	止めてリーダーを取っている
98.46	100.46	この2回の
100.46	102.46	2回の
102.46	104.46	台版のプレイはしっかり
104.46	106.46	倒しクリー
106.46	108.46	理想的の展開は
108.46	110.46	空間のジリー
110.46	112.46	撮影する
112.46	114.46	撮影する
114.46	116.46	まずは国
116.46	118.46	また
118.46	120.46	さわっている
120.46	122.46	台版さしくし
122.46	124.46	さあ
124.46	126.46	これは大きなプレイになった
126.46	128.46	さがって様子見やさい
128.46	130.46	また前に出る
130.46	132.46	投げで捕まえて
132.46	134.46	おめでしょ
134.46	136.46	おうり手手に
136.46	138.46	ゴード
138.46	140.46	撮った
140.46	142.46	撮っていった
142.46	144.46	ただ手を出している
144.46	146.46	台北さんある状況
146.46	148.46	お互いのドライブの輝い
148.46	150.46	どうすれ
150.46	152.46	前で出ていくか
152.46	154.46	左手も飛ぶ
154.46	156.46	ここで受けり手手に
156.46	158.46	ただバウトしよう
158.46	160.46	スラーを潰したか
160.46	162.46	バーザープグラー
166.46	168.46	最高の攻めという
168.46	170.46	前に来る動きをしっかりと
170.46	172.46	アウトしていった
172.46	174.46	そんなに
174.46	176.46	最高にもう近づくチャンスは
176.46	178.46	何とかありましたが
178.46	180.46	受け切ることに成功
180.46	182.46	無敵技で立ち切ることにも成功したと
182.46	184.46	あとは国馬ありの
184.46	186.46	速げ前のかけきも
186.46	188.46	国側が立ち大きく落ちている
188.46	190.46	ドライブの回復を測ったり
190.46	192.46	そこまでと呼び分けが
192.46	194.46	不明がなくて
194.46	196.46	最後はちょっと
196.46	198.46	攻めきれなかったですよね
198.46	200.46	ここでキサイの
200.46	202.46	調整が入って
202.46	204.46	降りまるので
204.46	206.46	少し時間いただくことになりそうですね
206.46	208.46	ただ始まりました
208.46	210.46	これはスタッフですね
210.46	212.46	記載調整は
212.46	214.46	終わったということで
214.46	216.46	試合開始となります
216.46	218.46	さて
218.46	220.46	このまま作ったが
220.46	222.46	手の手が前に出る
222.46	224.46	最高前に出る
224.46	226.46	ここで
226.46	228.46	速くから投げ
228.46	230.46	しくせい
230.46	232.46	当たっている
232.46	234.46	画面は出す成功
234.46	236.46	あくいかる
236.46	238.46	大体としっかり
238.46	240.46	あいち
240.46	242.46	ラッシュを使って
242.46	244.46	前に出る
244.46	245.46	ここで
245.46	246.46	差し返しは
246.46	248.46	狙っているが
248.46	250.46	新しい
250.46	252.46	前に出る
252.46	254.46	ここで投げていく最高
254.46	256.46	差し返しを狙う
256.46	258.46	ギリギリ届かず
258.46	260.46	中段立てる
260.46	262.46	おくらせってる
262.46	264.46	中止してしまう
264.46	266.46	確かに落っていた
266.46	268.46	さち以上から
268.46	270.46	最後が崩して見せたこのラウンド
270.46	272.46	よく
272.46	274.46	今回は
274.46	278.46	最悪限魔法の前面も投げましたね
278.46	280.46	プメラのパリーを
280.46	282.46	お互いをしているに見えましたね
282.46	286.46	ここは最速は
286.46	288.46	バレが途切らんじり
288.46	290.46	だいは出入って
290.46	292.46	画面始まる
292.46	294.46	最高どうする
294.46	296.46	さらに攻めを
296.46	298.46	継続して点線に行くからの
298.46	300.46	おくて目
300.46	302.46	最高はマイステップで
302.46	304.46	出ながら画面始まる
304.46	306.46	出してするか
306.46	308.46	後ろに投げている
308.46	310.46	終了している
310.46	312.46	バクナウンはやり過ごしに成功
312.46	314.46	何にしての下がりがあるから
314.46	316.46	目の前
316.46	318.46	からの下段
318.46	320.46	接着してせいも続けていく
320.46	322.46	貴方で投げて
