start_time	end_time	transcript
0.00	2.00	ん
8.56	11.56	さあ逃げろのジュインに対して
12.46	15.06	エードをぶつけるそうですね
15.96	17.46	こうなるか
20.40	22.20	あ、結構でもジュインは
22.20	24.60	はい、金箱が外出にはまぁ屋内手っていうのが
24.60	25.56	聞くんで
25.56	26.56	はい
27.60	28.80	エードにしてきたわけですけど
28.80	30.58	まぁエードはエードでやっぱりその
30.58	33.40	ジュイン選ん簡単ではないんですよね
33.40	34.52	ラッシュが早いことを
34.52	35.12	はい
35.12	37.80	そしてラッシュタチューキックの反手が強くて
37.80	39.52	結構止めづらいっていうのがあります
39.52	40.12	どうしっかり
40.12	42.40	その上でやっぱりジャンプ攻撃
42.40	44.16	ジャンプ強化時強力だったりとか
44.16	45.60	あと6000を使った
45.60	48.36	タイプズラッシュって言ったところがあるので
48.36	51.60	上の対手も結構読み合いになる
51.60	54.08	バイがあるとそうですから
54.08	55.08	はい
55.28	57.28	リーチの差を回復ぐり
57.28	57.96	それま
57.96	60.64	エードの課題となる上からの攻めも
60.64	61.12	えぇー
61.12	61.96	シュリーがあると
61.96	62.32	はい
62.32	63.36	というところで
63.36	64.12	いい
64.12	66.32	まぁこのホームがとして出すには
66.32	67.88	まぁそのカブス
67.88	69.36	言われるカブスセになるかというと
69.36	70.88	まぁ耳をなところでありますが
70.88	72.76	さぁ
72.76	75.76	何を見せるかこのクリスシチエチ
79.76	82.76	さぁただぐっといとスクワットの面面
83.76	85.36	まぁこの
85.36	89.36	全キャラ相手チームの全キャラはもうもちろん
89.36	93.36	準備はしてきているでしょう
93.36	97.36	驚かことはない
97.36	98.68	上には
98.68	101.36	キンバリーシフトではなく
101.36	103.36	クリスシチエチョドニュー
103.36	106.76	ゴーム側のフライテスト
106.76	109.96	さぁここでクリスシチエチが勝つと
109.96	112.76	次の対象性に2位置がかかるはい
112.76	116.96	非常に大きな意味合うもついっ
119.96	121.32	さあ上がらはここで
121.32	125.56	嫌な流れを立ち切ることはできるか
128.76	131.72	さりを選手がヘッドセットを
131.72	133.52	耳にかけ
133.52	135.72	まわなく準備ができた
135.72	138.08	見ていきましょう
138.08	141.08	これが20目の中央線
143.08	146.08	このクリスシチエチに
146.08	149.08	無限らは何を見せるか
151.08	153.08	見ていきましょう20目中央線
153.08	154.68	クリスシチエチエド
154.68	157.08	対するはプゲラジリ
157.08	159.08	言っていましょう
159.08	161.08	お願いします
161.08	165.08	プゲラジリの江戸戦で言えばやっぱりグレーヨーク
166.08	168.08	よーししてきて勝った
168.08	169.08	そうですね
169.08	171.08	はいいうところがありました
171.08	172.08	急手に新しい
172.08	174.08	まさかのジュリーピック
176.08	178.08	さあそこからあれからさらに時が立ち
178.08	180.08	ジュリのレンドは上がってるでしょ
182.08	185.08	お互いドライドをかなり使ってのこの
185.08	187.08	終距離
189.08	192.08	さっそくさがにだから太鼓の深く待ってると
192.08	193.08	反撃
194.08	195.08	これは
195.08	196.08	じゃあすいになった
196.08	197.08	クリスシチエチ
199.08	201.08	今夜投げるだけるか
201.08	203.08	上からシックエチに勝負に行ったが
203.08	206.08	平成2ガードから反撃はクリスシチエチ
206.08	207.08	左側の江戸を
207.08	209.08	画面はじになる
209.08	210.08	めっちゃ強い
210.08	211.08	めっちゃ強い
211.08	212.08	しっかりとった
214.08	215.08	クリスシミ
215.08	217.08	ゲージがそろそろに行けたことが
217.08	218.08	今くらい動いてた
218.08	219.08	クリスシチエド
220.08	221.08	さらに
221.08	222.08	深めたし
222.08	223.08	超1万
223.08	224.08	さらに
224.08	225.08	速かった
225.08	226.08	さらに
226.08	228.08	上げらが巻き返した
228.08	229.08	この一応の目
229.08	231.08	いろいろ持つ出ましたね
231.08	232.08	ですね
232.08	234.08	ゆりすぎでつかめない状況があった
235.08	236.08	ここに上げらしっかり
236.08	238.08	しゃがむちがちがちをしっかりしました
240.08	241.08	そこに行けて
242.08	244.08	あ!早い展開から
244.08	245.08	上げらし
245.08	246.08	決めたのを上げら
246.08	247.08	そってかめたし
247.08	248.08	さらに
248.08	249.08	上げらし
249.08	250.08	チャンスを伸ばしていく
250.08	252.08	ここは
252.08	253.08	上げらし
253.08	254.08	上げらし
254.08	256.08	最高キャノーの
256.08	258.08	カランの
258.08	260.08	これは難しかったか
260.08	262.08	でも上げらし
262.08	263.08	下に入っている
263.08	264.08	十分
264.08	267.08	フンシュアウス
267.08	268.08	サクリスシミ
268.08	269.08	フォー
269.08	270.08	トレブが少ないが
270.08	271.08	上げらし
271.08	272.08	フォローのパリガッシュが
272.08	273.08	聞きましたね
273.08	274.08	今この時残り
274.08	275.08	ガリガリキ残り
275.08	276.08	バーズ全然
277.08	278.08	このフィズカラバーズとした
278.08	279.08	形になったが
279.08	280.08	上げらし
280.08	281.08	上げらし
281.08	282.08	今すぎる
282.08	283.08	サイクストーム決めて
283.08	284.08	時間も稼いで
284.08	285.08	ダメージも当たえる
285.08	286.08	さらに
286.08	287.08	上げ
287.08	288.08	よく引っかくだ
288.08	289.08	これ正義で
289.08	290.08	たまった
290.08	291.08	これの
291.08	292.08	自然で
