start_time	end_time	transcript
0.00	5.08	【アイクアイク】
5.08	7.00	さあ、動きへ
7.00	10.00	さあ、さあ、タイプワクラシックとなりました
12.00	15.00	さあ、さあ、くぅろを対象専念に行ってみようとな
15.00	18.00	30をこのパンクに決めた
18.00	22.00	しかし、この30目はパンクは、キャミではなく
22.00	25.00	金張りで対象に座っていた
26.00	31.00	パンクは、キャミのパンクを作れるか
31.00	34.00	一週目がかなり重要になってそう
34.00	36.00	と思いますね
36.00	40.00	その後の流れを決める所選になるんじゃないかと
43.00	47.00	さあ、このカップ、コンカップウィークも
47.00	50.00	大滑れ中の大滑れ、マサニですね
50.00	53.00	本日最終日、そして
53.00	57.00	これが本日の最終選となる
59.00	63.00	会場はもう声をかけなくてもボールテンじゃなくて
63.00	67.00	そして、最新でご覧の皆さんも
67.00	72.00	大きな声を両チームにお送りください
84.00	88.00	最もは、この両下の対決に伏られた
99.00	104.00	静かにチェックは進む中で
104.00	107.00	会場の声が飛びかう
108.00	112.00	さあ、チェックは終わったか
114.00	116.00	さあ、ここから
127.00	130.00	東パンクが立ち上がって
130.00	133.00	川の登場とへ
134.00	137.00	さあ、この2人が一つ
137.00	140.00	提升やるっていうのはね
140.00	142.00	すごい
142.00	146.00	まあ、アメリカの新世代特遇点
146.00	150.00	そして、日本の新世代の特遇点
151.00	155.00	時代を動かした日米のプレイアが
155.00	159.00	サラダルストリートワイターの歴史を作れ
160.00	164.00	声がかわれるわね、酒にすげわ
166.00	171.00	川の動き、ダイスルアン、パンクマリー
171.00	174.00	いっていけしょー
174.00	176.00	オレンズバー
176.00	179.00	サラダルクス、今度いったのはパンクロキマリー
180.00	182.00	またっていう早い展開
182.00	184.00	つけどうする、さがってるが
184.00	186.00	早い
187.00	189.00	さあ、やつ受け
189.00	191.00	しっかりラッシュを繋いで
191.00	193.00	ガブラップに行ったわ
193.00	195.00	さかの動きする
195.00	196.00	タルスはかなりついた
196.00	197.00	じゃあ、ほっ、ラッシュ!
197.00	200.00	登場しっかりゲージは1本あるか
200.00	202.00	そこは国からしっかりと地上に
202.00	203.00	使えば
203.00	205.00	そうですね
205.00	206.00	もうからない
206.00	208.00	最初の次期、お見事
210.00	212.00	あまりにも早い
212.00	214.00	スピードかなる�ンバリー
214.00	216.00	ストパリーの制度も高い
216.00	218.00	ずっとバスでいる
218.00	220.00	さしかに、ダイダイト
221.00	223.00	そして、大陸上げ
223.00	224.00	画面はじい、ここで収見
224.00	225.00	バス
225.00	226.00	ストパして
226.00	228.00	ドアルドマシーく
228.00	229.00	痛いルート
229.00	230.00	めっちゃ痛い
230.00	231.00	そこから
231.00	233.00	さて、おくなー
233.00	234.00	あまりされ
234.00	237.00	一瞬で終わらせるかー
237.00	240.00	これがパンクロキマリー
241.00	244.00	まさにGRF
244.00	247.00	ですねー
247.00	251.00	さすぐに最先、カードの動き
251.00	254.00	このパンクに対してどうするか
254.00	257.00	ドリブルキンバリーシュートは最後の1枚
257.00	261.00	勝ったほうがちぃーも優勝に導く
261.00	262.00	この1,000
262.00	264.00	バクセプ
264.00	267.00	しばらく優勝なげなんとよくバリナー
268.00	269.00	うえにる
269.00	270.00	上がったし
270.00	271.00	横端にしよ
271.00	272.00	見てる
272.00	273.00	あまれてる
273.00	274.00	この大陸への前
274.00	275.00	あまれていった
278.00	279.00	さパンクがドライブが少ない状況を
279.00	280.00	すまいかすぃー
281.00	283.00	ずっとで、バード
283.00	284.00	これはカードの動き
284.00	286.00	かなり優にな状況で悪が
286.00	287.00	パンクは何を見るかー
290.00	291.00	大きいわ
291.00	292.00	これとして
293.00	294.00	ほんとは
298.00	299.00	さらにラグで
300.00	303.00	横端からきっかけをすくる
303.00	305.00	あの風が勝っているんで
305.00	306.00	ここも
306.00	308.00	画面は自由戦
310.00	311.00	見合いながら
311.00	312.00	しばらくしばらく
312.00	313.00	カタイ
314.00	315.00	しばらくしばらく
315.00	316.00	こうやって
316.00	317.00	手に行きますね
317.00	318.00	シビ
318.00	319.00	やっぱり完璧です
319.00	321.00	ドライブよく見えている
321.00	322.00	キズメでーばー
322.00	323.00	どうね、ライト気持ち行くでしょ
323.00	324.00	キズメでー
325.00	326.00	後ろぐた
326.00	328.00	私つかりたいくぃ
328.00	330.00	中央も一つそして一つ
330.00	332.00	ドライブ回転ですね
332.00	334.00	このなげているなパンク
334.00	335.00	画面は自由に
335.00	336.00	打てていく
336.00	338.00	さぁタイルクリードは
338.00	339.00	落ち着き
339.00	340.00	このバシ色が当てるかの
340.00	341.00	綺麗しはあめ
341.00	342.00	ドライブ気持ちから
342.00	344.00	バスキッさどうだ
344.00	345.00	あんたりるかー
345.00	347.00	誰にるかー
347.00	349.00	横にまっすぐくっている
349.00	350.00	ドライブ気持ち
350.00	351.00	この
351.00	352.00	ドライブ気持ち
352.00	353.00	ドライブ気持ち
353.00	354.00	ドライブ気持ち
354.00	355.00	横にまっすぐう
355.00	356.00	キズメでー
356.00	357.00	さぁドライブ気持ち
357.00	359.00	ドライブ気持ち
359.00	361.00	ドライブ気持ち
361.00	363.00	ドライブ気持ち
363.00	365.00	サインはチューパンボーディブロー
365.00	366.00	気づりもね
366.00	368.00	ありましたからね
368.00	369.00	あんた上にいったでしょ
369.00	370.00	サパーのリスゴスを
370.00	372.00	使ったのでゲージャンザロ
372.00	374.00	パンクには見つある
377.00	379.00	中央のリーガード
379.00	380.00	その後
380.00	381.00	今く投げて
381.00	383.00	パンクの日々
383.00	385.00	ジョンコケ
385.00	386.00	そこは広い日々が
386.00	387.00	広へつしかし
387.00	388.00	投げて
388.00	389.00	ボールをしている
389.00	391.00	ガメハチ
391.00	392.00	横にまっす
392.00	393.00	予想見の中の攻め
393.00	395.00	タイクしっかり
395.00	396.00	ドライブ回避
396.00	398.00	ですねー
398.00	400.00	ガメハチから出さない
400.00	401.00	マイドリー
401.00	403.00	シュケイ出し受けしっかり
403.00	404.00	そしている
404.00	405.00	前出ている
405.00	406.00	リーソースある
406.00	407.00	これ
407.00	409.00	足りないでしょ
409.00	410.00	あいっては
410.00	411.00	大きなが
411.00	412.00	さあどうだ
412.00	412.50	あっと
412.50	414.00	とになるんじゃないかな
414.00	415.00	ターンイティス
415.00	416.00	ターンイティス
416.00	417.00	あいった
417.00	418.00	これ
418.00	419.00	真似できる
419.00	423.00	大きな2勝目は
423.00	424.00	パンク
424.00	426.00	足で攻めきりましたね
426.00	428.00	タイクしっかり
428.00	430.00	何よりも
430.00	432.00	ラウンド2
432.00	433.00	はい
433.00	435.00	リリーカーのコンブルに
435.00	436.00	残って
436.00	437.00	そしてパンクにかいする
437.00	439.00	2勝強力
439.00	440.00	さあここで
440.00	442.00	パンクが端に切るか
442.00	443.00	カード
443.00	444.00	おー
444.00	445.00	できるか
