start_time	end_time	transcript
0.00	3.00	【アンバークラウンド】
5.50	9.30	さらまぁ今熱帯ったそのバックグラウンドを踏まえて
9.30	11.80	まぁこの試合は意味があるというところですね
11.80	12.80	そうだよね
12.80	15.30	パンクにとってはこのアングリーバード
15.30	17.30	パンクが挑戦者なんですよ
19.60	22.10	さあインゲームチェックが終了したようです
24.20	26.00	両チームが交互に取りあったため
26.00	28.00	この組み合わせは最後の組み合わせになります
28.10	29.30	アメリカ代表フライクエスト
29.30	30.70	対策は要録パダイショー
30.70	32.00	リンジャスインパジャマス
33.50	34.50	さあ準備ができた
34.50	35.50	見ていきましょう
36.00	37.00	フライクエスト
37.00	38.50	パンクのキャミ
39.00	41.00	対策はリンジャスインパジャマス
41.00	43.00	パンクリーバードゲーム皆さん
43.00	45.00	盛り上がっていきましょう
45.00	45.50	お願いします
45.50	48.00	アルジャース
50.00	52.50	さあ組み合わせはキャンピーに入ります
52.50	54.50	【アルジャースインパジャマス】
54.50	56.70	さあ、エーボチャンキオン体験
56.70	58.70	フリーダーさんのシャテルに超上決戦です
58.70	59.20	はい
60.70	61.70	さあ、静かのタイトミカ
61.70	62.70	コーパンだけで
62.70	64.20	うわーアングリが動かない
64.20	65.70	アングリースタイル
65.70	67.20	複動のアングリ
67.20	68.70	ラインが下がらない
68.70	69.70	だらけで!
69.70	70.70	だらけで!
71.70	73.20	全時道ですか
74.20	75.20	見えていた
75.20	77.20	経減によって
77.20	79.70	アングリがパンクを待つ捉えたゲームスタード
82.70	83.20	おしかした
83.20	85.20	組み込んでくるパンクに出して
85.20	87.20	アングリが早めにもおしかしている
88.20	89.20	さあ、しかした
89.20	91.20	バスコーパンのような対押し戦
93.20	95.20	パンクがかなり上からも生き辛いプレッシャン中で
95.20	96.20	地上
96.20	97.20	だって、そりゃでも通す
98.20	98.70	何事
98.70	100.20	はやんかっけー
100.20	101.20	読み合っていく
101.20	102.20	アングリバトがまたこうな
102.20	103.20	入れかさ
