start_time	end_time	transcript
0.00	5.00	【KIMBARI】
10.00	12.50	もうすごい完成が分かっています
12.50	14.00	そうですね
18.50	22.00	さぁ、悪しむKIMBARIの国へはセトナリーました
22.00	24.00	悪しむ出すんですね、KIMBARIに
24.00	28.00	そう、ですね、こう、その、まあKIMBARIが悪しみに行けるというか
28.00	36.00	言われてるんですけど、言われてるほど、あの、有利ではないというのが自分的な見解ですけどね
36.00	39.00	その、誰しみが嫌な要素がそうとるじゃないですか
39.00	40.00	そうってます
40.00	43.00	触られたらきつい、しかもとっしんよくあるらっしんも早い
43.00	44.00	そうですね
44.00	46.00	で、まあ空中間のテルリスカーとか
48.00	51.00	新たるしむがが1回にこのKIMBARIのセトナリーが歯番で
51.00	54.00	まあマジレスのセトナリーが展開になりますよね
54.00	55.00	そうですね
56.00	62.00	まああと何させたあと近づいてからあの、フロートをするか
62.00	65.00	もしか投げるかという、痛くには結構その無敵はさがないので
65.00	68.00	KIMBARIがつき合うと、あ、ところは
68.00	71.00	しゃがないやわれで、入りターンになるから
71.00	72.00	まあそうですね
72.00	77.00	そういう確認というかなんていうか対策を言うでしょね
78.00	80.00	さぁ、こちら
80.00	83.00	持ち戦終了、応援ボードもたくさんある
84.00	88.00	そして、やはり応援ボードはね、海外の選手の応援ボードもたくさんあるのがいいですよね
88.00	90.00	うれしいですよね、本当に
90.00	92.00	みなさんたくさん書いていただきました
92.00	93.00	本当にありがとうございます
93.00	94.00	ありがとうございます
94.00	99.00	そして、この領埠国衛館でのストリリーとワイターシックス
99.00	100.00	はい
100.00	103.00	このステージでプレイした最年長記録が更新されましたね
103.00	105.00	確かに、昨日まではいたましたが
105.00	107.00	はい、ですけども、ワイチンも違う
107.00	109.00	このステージに座ったことで
109.00	112.00	すごいですよ、本当に年齢総が幅広くて
112.00	114.00	そうですね
114.00	117.00	昨日はね、15歳が大活躍して
118.00	121.00	今日はこの国衛館の
122.00	126.00	シートにワイチン持ちが座る
128.00	131.00	このね、ダルシムというキャラクターが
132.00	135.00	まあ、海外前には刺さるんじゃないかと
135.00	138.00	日本では言われていたりもしますですね
138.00	140.00	国で協語ダルシム使いは
140.00	142.00	一人2人は言いますからね
142.00	144.00	そうそうそう、ダルシムってキャラクターの
144.00	146.00	面白いところで、やっぱりどこかに
146.00	148.00	大体戦略がいるっていう
149.00	150.00	スペシャリストは
150.00	153.00	必ず存在するというこのダルシムというキャラクター
154.00	158.00	日本のこのダルシム業界を検出してきた
158.00	160.00	このワイチン持ちが
160.00	164.00	この大部隊ワールドチャンピオンシップ
164.00	166.00	マウジして登場
167.00	170.00	目の前にはこのシャインのキンバリー
172.00	175.00	果たしてどのような対策が見られるのか
181.00	183.00	さりょう車気合いは十分か
183.00	186.00	まもなく試合が始まるか
187.00	189.00	さあ、何を見せる!
189.00	190.00	島でのせに
191.00	194.00	またまた、アウェリカジコミロ
194.00	197.00	このキンバリーシャインがあわれるか
197.00	198.00	見ていきましょう
198.00	201.00	ウェチーモチダルシムへ対するは
201.00	202.00	シャインキンバリー!
202.00	203.00	行ってみましょう!
203.00	204.00	お願いします
207.00	210.00	さあ、まずはこのシャインのキンバリーが触れるかどうか
212.00	214.00	スライビングなどで
214.00	216.00	パニカを狙ってチャンスを作っているのもね
216.00	217.00	そうですね
217.00	218.00	登録ですよね
218.00	221.00	さあ、先に、総理行くのは持ちだとしむ
222.00	225.00	そこまでシャインは無理なつこみをしていない状況
226.00	227.00	この予感フロート
227.00	229.00	これをどう気づつか
229.00	230.00	そこの計策したわ
232.00	235.00	さあ、しっかりと持ちの動きを観察しているか
235.00	236.00	シャインのキンバリー
238.00	241.00	その間に持ちがドライブゲージをガリガリと削っているよ
241.00	242.00	ジャムダーキック!
242.00	243.00	ただアンポック!
243.00	244.00	そうだな、しようはブレーン
244.00	246.00	後ろにいるよ、慣れている
247.00	248.00	パニオー!
248.00	249.00	パニオー!
249.00	250.00	てついて以下かな
250.00	259.00	朝回るよね
259.00	260.00	ハトゥノーン
260.00	262.00	orts転げ
262.00	263.00	反復
263.00	264.00	arrAY-A
264.00	264.24	オーヤード
274.00	278.00	一度ジュアウ 上手く
278.00	281.00	これを伝っていないが、音が目の中
