start_time	end_time	transcript
0.00	11.04	スリージュパイターリーグワールチャンピンショップ24年の決勝
11.04	13.36	盛り上がっていきましょう
18.88	22.20	さあ 両者準備はもうできそうだということで
22.20	24.08	会場の皆さん
24.08	28.84	特に別にここ1万盛り上がっていくぞ
30.00	44.48	さあ 会場の戦はこのヘッドセットをつき抜けてその揺れはその空気はスタールでしょ
44.48	48.96	準備を受け 歴史をもぎしろ
48.96	54.20	それでもありましょう グランドライド
54.20	59.00	カーノウジー対するは最高金盛り行ってみましょう
59.00	61.20	お願いします
61.20	64.20	そこは海苔さんにいたのは最高の金盛り右手が
64.20	66.36	そしてパンプランス
66.36	71.16	しっかり行く宇宙から追撃したというところ
71.16	73.24	ここはパーニッシュ
73.24	75.84	投げている
75.84	78.84	このは様子を見ながら
78.84	82.64	最高がまんんでるか
82.64	85.04	さがっていたかの
85.04	87.92	4000ではその中距離連距離
87.92	92.00	高めたくないですよ回収のドクターンが非常に高い性能で仕上がったんびきました
92.00	92.80	そうですよね
92.80	95.28	ここしかし最高が若干ペースを逃げているかも
95.28	97.52	で空気にくく
97.52	100.80	さあ投げていくのが可能体力リード
100.80	104.48	さあ最高にはこれで逃げじ
104.60	105.48	3でかー
105.48	108.04	ここは川上中パチラッシュ
108.04	109.54	およと
109.54	111.48	当時の歩きのあいまって
111.48	114.36	接近戦の最後の後ろ側に返する
114.36	115.04	さがみやきいくから
115.04	116.60	さがみやくまちゃほどーかなかった
116.60	118.08	そうですね
118.08	120.00	さあ最高には逃げじはんというところ
120.00	122.00	川上にも逃げじはん
122.00	123.76	このギラウンド目で
123.76	126.36	大きな技は出てきそうで悪が
126.36	128.24	静かに立ち上がる
128.24	129.72	川上下がり意味に波動を使う
129.72	130.56	かっこいい
130.56	132.44	それにつられてしまった
132.44	134.12	そして大大大大頭
134.12	136.12	大攻撃3連発からの
136.12	137.96	オーディアラの上がめ始
137.96	139.64	こう大きいだけ
139.64	140.48	外とている
140.48	142.20	さつぎはハイラスだがフォーローできている
142.20	143.48	さあいこのキマリー
143.48	144.44	早点帰りだが
144.44	146.24	川上きいかす
146.24	147.48	上
147.48	148.12	あいき
148.12	148.96	休憩し
148.96	152.48	さあここに投げて
152.48	154.24	両者の回御が若干減ってきた
154.24	155.96	がもうこれで両者見ないか
155.96	157.36	そうですね
157.36	158.40	ハーロン3で
158.40	159.12	しゃかっ
159.12	161.24	タニンを変える動きだが
161.24	163.48	最高動いていない
163.48	165.48	マリクリーマートを追い出
165.48	167.48	バッテーマッシュなのしゃがめ中盤
167.48	170.48	ここからの方点合計
170.48	174.48	金マリーの生らしもかなり早いので
174.48	176.48	対応しにくいですが
176.48	178.48	正直をやぶった瞬間カードが
178.48	179.48	止めましたね
179.48	182.48	待ってたらまだありましたね
182.48	184.48	市場から来るだろうということで
184.48	186.48	警戒しようときましたか
186.48	188.48	一緒に専攻したの左側
188.48	189.48	別と言うとすかと
189.48	190.48	川の動き
191.48	194.48	川最高は巻く球をくぐって
194.48	196.48	それにまて手と言う投げだが
196.48	198.48	画面は近づいている
198.48	200.48	このカードを蹴る
200.48	201.48	とびどんと打って
201.48	202.48	細かくダメージを重ねるか
202.48	203.48	しかし
203.48	204.48	これはすらパーニしかな
204.48	206.48	早い展開カードが切り返す
206.48	208.48	これで画面中へ
208.48	210.48	さっきお願いしますね
210.48	211.48	そうですね
211.48	212.48	カードの無敵技が
212.48	214.48	彼の間に当たっているという
214.48	216.48	ここまで最高が来る
216.48	217.48	画面はし
217.48	219.48	ここも打っていく
219.48	221.48	サイカーは台版を重ねていたが
221.48	222.48	この中距離
222.48	223.48	どうする
223.48	225.48	どこから近づくか
225.48	226.48	最高近づくか
226.48	228.48	またもエスライニングを
228.48	229.48	捕まっていく
229.48	230.48	かなり大目に行くって
230.48	231.48	逆差しかし
231.48	232.48	逆さけ
232.48	233.48	中央市ラッシュから
233.48	234.48	川のあ
234.48	235.48	警戒しようとあまらず
235.48	236.48	ここで
236.48	237.48	上げに行くが
237.48	239.48	さえSRで切り返すの最高
239.48	241.48	さば落としている
241.48	243.48	ここはしっかり倒し切りよ
243.48	244.48	みなど
247.48	248.48	さえSRゲーザー
248.48	250.48	下のゲージに差をついたが
250.48	252.48	最高が乗ってくるか
252.48	253.48	一博な
253.48	254.48	一博な
254.48	255.48	一博な
255.48	256.48	中に入る
256.48	257.48	ユニコミ打撃の形
257.48	258.48	最高
258.48	259.48	ここは逆かきかないとおりましたが
259.48	260.48	ここも
260.48	261.48	大きながらその後
261.48	262.48	バクダンをつながらなかった
262.48	263.48	だけ
263.48	264.48	残り大きな
264.48	265.48	隣かすくないカードを
265.48	266.48	どうするか
266.48	267.48	ここでもうつ
267.48	268.48	最後のドライブが危ないでしょ
268.48	270.48	そぜくりったらずになってる
270.48	271.48	この深い
271.48	272.48	サハンゲーギをしっかりして
272.48	273.48	バウトしたら
273.48	274.48	まだまだある
274.48	276.48	最高は巻いてる
276.48	277.48	すごくなった
277.48	278.48	すごくなった
278.48	279.48	最高は巻いてる
279.48	280.48	さえ1個あれいての
280.48	281.48	しゃばみ中盤地が
281.48	282.48	かなり機能したら
282.48	283.48	運びなりましたが
283.48	284.48	かなり
284.48	285.48	その機能を
285.48	286.48	受けるときに
286.48	288.48	無敵はなとそして
288.48	289.48	おさえ逆たく中華し
289.48	290.48	最速で
290.48	291.48	行ってきましたが
291.48	292.48	長いですよね
292.48	293.48	そういった
293.48	295.48	いわゆるその逆たくの部分で
