start_time	end_time	transcript
0.00	5.16	ドッスン
5.16	7.66	そうですね
7.66	9.08	さっしゃいですか
9.08	10.24	つわり金張りが来ましたね
10.24	13.28	この二先の金張りにも怖い
13.28	16.80	結構あのサイコとシャインは
16.80	18.88	僕が見てる感じだと
18.88	21.56	タイプがちょっと違ってて
21.56	23.12	サイコの方が
23.12	25.48	内中というと
25.48	27.20	まあ落ち着いてるっていうんですかね
27.20	29.00	とあとは
29.00	30.80	比較的様子味だったりとか
30.80	33.00	立ち回りをすごく重視してる
33.00	34.16	プレイアに言えて
34.16	36.96	でシャインの方は結構勢い
36.96	37.76	すごい
37.76	39.12	シャインは
39.12	42.52	僕も対戦したことがありますけど
42.52	44.44	同じ全作人で同じキャラクターを
44.44	45.56	しに使ってたまって
45.56	46.44	結構あるんですけど
46.44	48.48	やっぱその殴りもあってか
48.48	49.72	結構スピールタイプというか
49.72	50.20	そうですね
50.20	51.00	テクアズとか
51.00	52.24	かなり勢いで
52.24	53.28	すぐスって感じの
53.28	54.52	でも早いなんでしょ
54.52	55.48	組み立て?
55.48	56.76	攻めの組み立てみたいなのが
56.76	58.96	すごく得意なプレイアな
58.96	60.36	印象があるので
60.36	61.52	こういったタイプタイレ
61.52	64.96	一瞬でも多分判断迷うと
64.96	65.76	もう
65.76	68.36	シャインのペースでしょね
68.36	69.12	さあ現在は
69.12	73.76	対戦の準備を進めております
73.76	74.60	改めて
74.60	75.96	NIPとしては一戦も
75.96	77.20	落とせない
77.20	80.20	はい
80.20	83.08	現在はインゲームのチェックに入っていきます
83.08	84.76	まあ向こうのリーブにも
84.76	86.68	金バリーの使い手というのはいるので
86.68	88.16	対策したいは
88.16	89.60	間違いの両地もともに
89.60	90.32	できてますし
90.32	91.80	この部隊に向けての準備も
91.80	93.32	間違いないです
96.52	98.48	さあもうかなりこのシーンとした長くなった
98.48	98.92	シャイン
98.92	100.52	まあこのシャインがこうパンクと一緒に
100.52	102.24	組んでいるっていうのもこやはり
102.24	103.28	こう組み立てるか
103.28	104.44	もう中のいい
104.44	104.96	そうですね
104.96	106.16	たになっています
110.64	111.80	さあ両命ともに
111.80	113.12	うなずいています
115.76	116.76	さあ
116.76	119.76	キムのチェックは終わったようですね
119.76	120.76	まあキャラクターの相性運用より
120.76	122.76	まずこの2先の金バリー
122.76	123.76	そうですね
123.76	124.76	もう相性とか入りかは
124.76	126.76	どっちかでどこの2先のこの
126.76	128.76	スーパーパーパワー金バリーを
128.76	130.76	どうしなくかっていうのかもう
130.76	131.76	やるかやられるか
131.76	134.76	そこになると思いますね
137.76	139.76	さあ先ほどはこのシャインの
139.76	140.76	後ろからパンクが
140.76	141.76	アドバイスを取って
142.76	143.76	キムマリーとしてもこの
143.76	144.76	ラシードのやりこの
144.76	145.76	サイクのなどを使った
145.76	155.76	攻めのしのぎ方が
155.76	156.76	難しいので
156.76	157.76	そうですね
157.76	159.76	さあ準備が飛んでいました
159.76	160.76	見ていきましょう
160.76	161.76	フライケースと
161.76	163.76	シャインのキムマリー
163.76	165.76	NIF
165.76	166.76	ビックバードのラシードオーベアさん
166.76	167.76	ご利用していきましょう
167.76	168.76	お願いします
169.76	170.76	さあかけ抜ける
170.76	171.76	人術か
171.76	172.76	それとも
172.76	173.76	付き上げるアルスか
173.76	175.76	行きたいといい
175.76	176.76	じゃあこれ
176.76	177.76	イテータ
177.76	178.76	タイクの分が早かったか
180.76	182.76	さあそれにゃおじず4フレを
182.76	183.76	教えるイータイクでポーズを
183.76	184.76	しましたね
184.76	185.76	おまく帰りですが
185.76	186.76	いいわけ
186.76	188.76	ただここまでのタイクの
188.76	189.76	ビックバードを
189.76	190.76	帰りよくさ
190.76	191.76	切りを使ってから
191.76	192.76	タイクを打ちました
192.76	193.76	そうです
193.76	194.76	そうです
194.76	195.76	おまく帰りですが
195.76	196.76	いいわけ
196.76	197.76	ただここまでのタイクの
197.76	198.76	打ちかからタイクを打ちました
198.76	199.76	そうです
199.76	200.76	知らせてくれ
200.76	201.76	嫌な読み方
201.76	202.76	後ろ投げは
202.76	203.76	許さな方で
203.76	204.76	行くバードを
204.76	205.76	Dリバス攻めの形になりました
205.76	206.76	おくらせ
206.76	207.76	カウター
207.76	208.76	リングスパイク
208.76	209.76	投げけない
209.76	210.76	ドーダ
211.76	213.76	打っていく
213.76	215.76	まずは
215.76	217.76	打ちに行くバードを
217.76	218.76	コインのこと
218.76	219.76	コロからできました
219.76	221.76	SAゲージ2本は
221.76	222.76	もう半分のフロンピックバード
222.76	223.76	足と
223.76	224.76	抜ける
224.76	225.76	するすけて
226.76	227.76	シャインとしたら
227.76	228.76	どう攻めておくのか
228.76	229.76	シャカミクのタイク
229.76	230.76	うらー
230.76	231.76	カード5
231.76	232.76	カナリル難しかったか
232.76	233.76	アサルティックの
233.76	234.76	中断の発生は
234.76	235.76	うまく投げたシャイン
235.76	236.76	ここはここ
236.76	237.76	コロ
237.76	238.76	SAゲージが
238.76	239.76	これでたまります
239.76	240.76	ピックバード
240.76	241.76	SA2
241.76	242.76	これはどうだ
242.76	243.76	スパイクから
243.76	244.76	バックステパソー
244.76	245.76	よく見ていました
245.76	246.76	先ほどコココ
246.76	247.76	で切ったり構っていた
247.76	249.76	帰りを投げる
249.76	251.76	無敵渡わないシャイン
251.76	252.76	SAゲージは
252.76	253.76	日本溜まっている
254.76	255.76	バックステップ
255.76	256.76	呼びきた
256.76	257.76	使うしかない
257.76	258.76	クリックラース
258.76	260.76	不信権限角ラー
260.76	261.76	SAゲージを
261.76	262.76	日本溜まってくる
262.76	263.76	バックステップ
263.76	264.76	呼びきた
264.76	265.76	使うしかない
265.76	266.76	クリックラース
266.76	267.76	不信権限角ラー
267.76	268.76	SAゲージを
268.76	269.76	日本溜まってくる
269.76	271.76	2対4か
271.76	272.76	ワーズカット
272.76	273.76	リックバードを
273.76	274.76	削れるか
274.76	275.76	テイクを
275.76	276.76	クズした
276.76	277.76	2対9
277.76	278.76	まだ分
278.76	280.76	逆抜きすい
280.76	281.76	4分の3
281.76	283.76	セイトリが見えていた
283.76	284.76	SAがファンタも
284.76	285.76	シャイン
285.76	286.76	素晴らしい
286.76	287.76	削りされ
287.76	288.76	さあ
288.76	289.76	乗ってきた
291.76	292.76	シャーガミッチ
292.76	293.76	すごい
293.76	294.76	太い
294.76	295.76	戻っては
295.76	296.76	すげるぞ
296.76	297.76	完全のみ
297.76	298.76	シャインのペーツリー
298.76	299.76	だってきた
299.76	300.76	乗り乗りの
300.76	302.76	不信流のリズム
302.76	303.76	リックバード
303.76	304.76	捉え続ける
304.76	305.76	このコーナー
305.76	306.76	リックバードには
306.76	307.76	2ゲージあるか
307.76	308.76	カウタマシル
308.76	310.76	SAゲージは
310.76	311.76	2本球で
311.76	313.76	不信転送
313.76	314.76	コーナー
314.76	315.76	ノコリソーカー
315.76	317.76	ノコリバス
317.76	318.76	そういうか
318.76	319.76	テイクバード
319.76	320.76	スレーズも
320.76	321.76	ゼーガルコ
321.76	322.76	ゼーガルコ
322.76	324.76	ゼーガルコ
324.76	325.76	ゼーガルコ
325.76	326.76	絶対
326.76	327.76	絶対
327.76	328.76	オートセバー
328.76	329.76	終わる
329.76	331.76	NIPB クバード
331.76	334.76	体力差がある分
334.76	336.76	中断で
336.76	337.76	まずはね
337.76	338.76	くすれてくれす
338.76	339.76	バトマトダメージと
339.76	340.76	ローっていう
340.76	341.76	動きだったでしょうか
341.76	342.76	しかし最速で
342.76	343.76	押してましたね
343.76	345.76	さあ
345.76	347.76	角度クポイント
347.76	348.76	1攻略で
348.76	349.76	0ポイントと
349.76	350.76	NIPB
350.76	351.76	10点捉えたち点で
351.76	352.76	追いつけない
352.76	353.76	やっぱり
353.76	354.76	オートセない
354.76	355.76	人じゃすいん
355.76	356.76	パーサーが
356.76	357.76	スビッグアート
357.76	358.76	さあ
358.76	359.76	シャインのキンバリーの
359.76	360.76	おセメが続く
360.76	361.76	ゲームツー
361.76	363.76	かなりちょっと
363.76	364.76	持ってきてますよね
364.76	365.76	シャインのキンバリー
365.76	366.76	おー
366.76	367.76	出しない先ほどの
367.76	368.76	セイシーってました
368.76	369.76	さしかし
369.76	370.76	好きな大きい手段
370.76	371.76	出しから
371.76	372.76	急停止投げ
372.76	373.76	キンバリーの
373.76	374.76	ところが
374.76	375.76	存分に出ている
375.76	376.76	どうぞ
376.76	377.76	バカツから
377.76	378.76	何をね
378.76	379.76	出しような
379.76	380.76	パリカー
380.76	381.76	出しよう
381.76	382.76	フォローしている
382.76	383.76	感想して
383.76	384.76	2ゲージが
384.76	385.76	たまって
385.76	387.76	今度は
387.76	388.76	どうだい
388.76	389.76	接る
389.76	390.76	不信全勝
390.76	391.76	攻略
391.76	392.76	これ
392.76	393.76	分かる
393.76	394.76	好き
394.76	395.76	勝負
395.76	396.76	マッツ
396.76	397.76	ポイントは
397.76	398.76	フライクエスト
398.76	399.76	シャイン
399.76	400.76	そして
400.76	401.76	パイナルに向けて
401.76	402.76	もう
402.76	403.76	落とせない
403.76	404.76	NIP
404.76	405.76	ビッファード
405.76	407.76	ロードパダイよ
407.76	408.76	エンチャストに
408.76	409.76	出さます
409.76	410.76	アパレ
410.76	411.76	打て行け
411.76	412.76	エッセイゲージが
412.76	413.76	切り切り
413.76	414.76	たまない
414.76	415.76	エッセイスの
415.76	416.76	タイミングラッシュ
417.76	418.76	バーアートを見つかしない
418.76	419.76	サッター
419.76	420.76	ターンター
420.76	422.76	ターゲットから
422.76	423.76	降りるしかないな
424.76	425.76	降りるしかない
426.76	428.76	D1が見えている
428.76	429.76	アイジン
429.76	430.76	出しても
430.76	432.76	ダッシュ
432.76	433.76	勝負
433.76	434.76	巻き起こせるか
434.76	435.76	これ
435.76	436.76	さあ
436.76	437.76	ラシが来た
437.76	439.76	引き上げる
439.76	440.76	5人ともに
440.76	441.76	ビッファード
441.76	442.76	アルフキナゲを
442.76	443.76	狙おうとしたか
443.76	444.76	使いはーい
444.76	446.76	ビッファードの
446.76	448.76	とすげきおみか
448.76	449.76	ドライブ回復を
449.76	450.76	測ろうとして
450.76	451.76	ビッファードも
451.76	452.76	リアイズがちょっと
452.76	453.76	当たる
453.76	455.76	アレって
455.76	456.76	ポリショットしたんですかね
456.76	458.76	中央に
458.76	459.76	飛び込み
459.76	461.76	飛び込み
461.76	463.76	スプーン
463.76	465.76	見つかる
465.76	467.76	おいつめられているのは
467.76	468.76	NIK
468.76	470.76	ラシから
470.76	471.76	何かが
471.76	472.76	持ってしまったか
472.76	474.76	SF3
474.76	476.76	上げる
476.76	479.76	タイルブリードは
479.76	482.76	最高の
482.76	483.76	スプーン
483.76	484.76	次
484.76	486.76	中央だから
486.76	488.76	クズスター
488.76	490.76	ファイエイテイター
490.76	493.76	ガッコーズ決める
493.76	496.76	ファイナル行きを決める
496.76	499.76	シャインのキンバリー
499.76	502.76	見事です
502.76	505.76	体上からの大きな
505.76	507.76	気持ちよ
507.76	509.76	これでファイナル行きを確定させました
