start_time	end_time	transcript
0.00	3.16	ふやく
5.36	7.62	さあ
7.62	11.96	作料選手は準備をお願いします
11.96	12.40	got
12.40	16.08	てきました
16.40	19.56	さあこの好調査員に対してはり
19.56	22.60	苦しいところになるのはこの惑敷効卡と
22.60	25.00	言うような
25.00	27.00	りーだ.㎜枠が люди
27.80	29.72	me
29.72	33.12	さら、シードキンバリーの組み合わせになりますが
35.40	39.32	まあ、私、フライクエストが勝ってから
39.32	41.92	ガチクンから毎日応用に呼び出しがかかりまして
42.60	43.64	やっておりました
44.00	45.52	一応、ラシード選押
46.52	48.52	どんどんガチクンをまくなったんですけど
48.52	51.72	やっぱりキンバリーが先に触りやすくはある
51.72	53.04	組み合わせ
53.04	55.60	で、そのも倒し切ってしまうパターンもある
55.88	57.88	ただそれを返せれば
58.28	61.08	ゲージ状況なんかも相まって、ユーサールを使って
61.08	63.68	ラシード側倒し切るという展開
63.68	66.88	どんどんそういうのはうまくなっていったなという印象でしたね
66.88	69.48	ガチクンのプレイしている的にも
69.48	71.48	対応がかなですね
71.48	73.48	キンバリーみたいに
73.48	75.48	向こうからかなりくる組み合わせ
75.48	78.48	それだからさま来てるかどうかみたいなとこですよね
78.48	79.48	そうですね
81.48	83.48	あとは対空処理の部分で
83.88	86.08	非常としに連られないように
86.08	87.88	その中身キスター、しゃがみ中パンチ
87.88	89.08	そして大身キスターを
89.08	92.88	うまく使い分けられるかというところもポイントに一つなってきます
92.88	95.08	キンバリーなんか対空がも
95.08	96.48	全体課題というか
96.48	97.48	そうですね
97.48	100.08	非常としに対して連られない
100.08	102.08	非常としに対してリタンを取る
103.48	104.48	ここが大事ですね
104.48	105.88	逆にだからその
105.88	107.88	シャインがあるしはそこをやっぱりうまく
107.88	110.08	情報を使って
110.08	111.28	そうですね
111.28	112.48	ガチクンも戻していく
112.68	114.08	先ほどの最高キンバリーが
114.08	116.28	顔の動きの少量形を釣り出したような
116.28	117.88	手前に非常として
117.88	119.48	距離を変えることで
119.48	121.08	対空技を釣り出して
121.08	123.68	その好きにリタンを取るというところが
123.68	124.68	非常に重要
126.08	127.48	そしてしゃがみ中パンチもね
127.48	128.48	タイミング間違えると
128.48	130.48	上からもうジャンプ大きくとかで
130.48	131.48	つまれちゃうんいで
131.48	133.68	としての性能自体はね
133.68	134.48	らしいの者が違う
134.48	136.48	たらくないんですからね
138.48	141.48	そのあたりの対空技の使い分けも難しい
141.48	143.88	早い展開になった時にどこでボタンを
143.88	145.88	してでキンバリーを止めるかという
145.88	147.88	そのあたりも非常に難しい組み合わせだが
147.88	149.68	この乗り乗りの射イン
149.68	151.68	止めることはできるかがちくん
153.28	157.08	さこれが一人目の中見線
158.88	161.28	ここを負けるとグッドエトスカと
161.28	163.48	流れを渡してしまうことになるか
163.48	164.88	見ていきましょう
166.48	167.28	らしいぞ
167.28	168.88	そしてキンバリーが舞う
169.88	173.28	そして国際間には線の響く
173.28	174.28	見ていきましょう
174.28	176.28	ガチくんなし移動
176.28	178.48	対するはシャインキンバリー
178.48	181.48	行ってみましょう
181.48	182.48	お願いします
183.88	184.88	さあたりく
184.88	186.38	ワールを使っていく
186.38	187.88	球を見せていくのは左側が
187.88	188.88	ガチくんのなし移動
190.48	192.08	さあシャインはここまでは
192.08	193.28	様子磨きが多め
195.68	197.08	さあためワールを見せて
197.28	199.28	前に出て投げるのがちくん
200.28	202.28	さあシャインはどこ狙っているか
202.28	204.28	あちくんは少しずつ前でる
204.28	205.68	この中
205.68	206.68	ラシコ勢いと通して
206.68	207.58	画面上掃除に作った
207.58	208.88	これに行ってほしい
208.88	210.08	特にバッチリ
210.08	210.58	それ
210.58	211.48	画面上手えて
211.48	212.68	パーニッシュ
212.68	214.68	次は呼びかってる
214.68	217.18	もう一応ここは投げを抜けたシャイン
217.18	219.08	そうけからラシして
219.08	221.08	ここで一立ち
221.08	223.08	ここは呼びかっている
223.08	224.38	あと一発というところだったら
224.38	224.88	見てきましょう
224.88	226.68	しっかり呼びかってシャインのペースになるか
226.68	227.68	この画面上手じ
227.68	228.48	揺り辛い揺り
228.48	229.68	ドライドをフェザに行きますね
229.68	230.08	うわっ
230.08	231.08	下手をしっかり
231.08	232.38	手を出して
232.38	233.68	うまく
233.68	235.68	ジャッカン下がっていた
235.68	238.18	ラシコのラシではまずはランドは
238.18	240.68	キンバーギンのサラミツーバンチの
240.68	241.58	揺りフレームがいかして
241.58	243.18	しっかりことをせましたね
243.18	245.68	そここはラシの対して大パンチ
245.68	246.38	さあ
246.38	248.28	そして投げのスカリには
248.28	250.28	絶対見逃さない
250.28	252.68	踏み込みちろしい
252.68	253.68	ここも
253.68	255.68	さあどうしている画面上手くんのラシード
255.68	256.68	目標の中だ
256.68	258.68	対決大帰
258.68	259.68	痛いのは入った
259.68	260.68	アルチャンスですよ
260.68	261.84	さあ
261.84	261.88	さあ
261.88	263.08	この曲を呼び出す
263.08	265.08	ユーサーの呼び出して
