start_time	end_time	transcript
0.00	13.76	ファンクタイカーの 区執のかなりまあプライベートでは進行
13.76	18.40	なるそうにね 同年だよはい
20.72	28.54	この台部隊世界一のチームを決める この一戦しかも結直なリュール
28.54	35.82	この機会に入るつかるか 中央におこのワールドチャンピオンのリングが
35.82	39.02	数られている
42.14	51.10	さあパンク対象戦で 見たみこのぐっといとスクアントから20ポイントを取って
51.10	57.18	そのまま優勝するかそれとも この川のが
57.18	60.94	ここでパンクを止めるか
64.94	72.38	さあぐっといたスクアントの面はまず 川のに沢される
75.34	79.34	会場からは川のコール
80.94	87.10	さあ両目国議官が 川のに願いを
87.50	91.42	川のに祈りを越えているか
95.02	98.94	さあもちろんこの川のコールはパンクにも聞こえている
98.94	102.94	フライクエストにも聞こえているか
104.06	108.06	パンクの表情に限りなし
109.34	114.06	花子さんこのパンクの生活からしたらもう俺が決めてやろうという
114.14	115.90	とはありそうですよね
115.90	119.90	ここまだ本当に試合ないよいいですからね
121.74	125.50	お手のかかった状況
126.38	130.46	これがパンクにどう響かっていうのはちょっと聞いなりますね
130.46	134.06	昨年は絵を出の優勝がありました
134.86	138.54	さあまもなくこの運命のいせ
138.62	141.10	始まろうかというところ
141.58	149.02	会場ここ一番の戦いの完成をお願いします
169.50	173.50	さあ両者は
174.78	179.02	そんなパンク選手もお会いさせとつけていない
187.50	191.50	さあパフォーマンス優先でしっかりと
191.50	193.50	でいただきたい
195.02	197.02	じっくりと時間をかけるか
199.50	203.50	さあ見て
203.50	205.50	準備をおけ
205.50	208.70	両者のキャラピックが決まった
208.70	210.70	そして
211.90	214.70	シャッターが開いた
214.70	216.70	さあカード
217.42	219.42	このパンクを止められるか
219.42	221.90	片渡パンク
221.90	224.62	この世界一に向けて
224.62	227.10	カードを突き上がるか
227.26	229.26	見ていきましょう
229.26	231.26	これが20歳対象線
231.26	233.26	パンクより対するか
233.26	235.02	あの合気
235.02	237.02	言っていなしょ
237.02	241.02	オラザー
242.06	244.06	さあカード
244.06	246.06	追いつめられたこのグッパチを
246.06	248.06	すくことできるか
248.06	249.26	この組み合わせ
249.26	252.06	こうきなって停滞力はかなり
252.06	254.06	出力
254.62	256.54	投げ打つ
256.54	259.74	対立リードカードの動き
259.74	261.26	さっきゅらとは
261.26	263.98	腕つもない地上線を見せたキャミ
263.98	266.46	パンクのキャミですが
266.46	269.42	さあこの合気には非常に強力な飛び動け
269.42	270.06	この時もある
270.06	271.66	空が早いとしく
271.66	273.66	シーミーさって
273.66	275.58	さあ大きなダメージは耐えていくのは
275.58	277.50	カードの動き右手は
277.50	277.98	まにてる
277.98	279.66	投げられている
279.66	281.10	ドライブが
281.10	282.30	パフラフラしながら
282.38	283.18	何をさそうか
283.18	284.30	ハードが入る
286.62	289.42	ここでスタッフで終わった
289.42	291.42	まずはカードのパフと
293.10	294.62	一つ目のストライクみたいする
294.62	295.66	やはり速い反応
295.66	297.66	カードのラシ勝利が出ました
300.14	301.10	さあこの辺は
301.10	302.54	初期に対しての差し
302.54	303.50	初期の形で
303.50	304.70	地上線が入った
304.70	305.50	オーブンです
305.50	306.30	いじっ
306.30	307.10	でかかった
307.10	307.90	オーディションが
307.90	309.42	デーカスに
309.42	310.94	そういうキャミのダメージが入って
311.02	311.58	ガメなし
311.58	312.94	このチャンスは続くが
314.06	316.06	上げて
317.42	318.14	オディアの
318.14	319.66	ドバシでいく
319.66	320.86	これは
320.86	321.74	倒し切り
321.74	322.86	ゲージは足りない
322.86	324.06	大事入って
324.06	325.26	フォロできるか
