start_time	end_time	transcript
0.00	7.00	このような形になって
7.00	12.00	またして何見せるか
12.00	15.00	進んでみていただきましょう
15.00	20.00	この対象線は20ポイント
20.00	24.00	つまりここで消灰が消する
24.00	27.00	ここで消灰が消する
27.00	33.00	さあ、ハムさん
33.00	35.00	ファイクのケーラは10秒
35.00	37.00	このキャミにぶつけるという
37.00	39.00	そうですね今回は
39.00	41.00	全部取りました
41.00	43.00	何5枚の方は
43.00	45.00	あの、10分大事
45.00	47.00	で、DJファインを用意して
47.00	49.00	秋はキャミにとったっただけですけど
49.00	52.00	この回は10秒
54.00	56.00	先ほどのお話しもあった通り
56.00	58.00	このパンクが使うと
58.00	60.00	いろんなキャラクターがその
60.00	62.00	フィジカル重心になって
62.00	64.00	ちょっと別気あらみが出てくるというところもありますから
64.00	66.00	このパンクのキャミという
66.00	68.00	ところを交流して
68.00	70.00	不減らになりましたか
70.00	72.00	そう、じゃあ中途り先で
72.00	74.00	やっぱり中途の立ち曜万地だって
74.00	75.00	毎日曜万地だと
75.00	76.00	特に立ち曜万地が
76.00	79.00	ストライクを踊るっていう
79.00	81.00	検性としてキャミに対して
81.00	83.00	キャミの検性が出てくるので
83.00	85.00	で、リーチも中華市で
85.00	86.00	負けてないですし
86.00	87.00	立ち回れると
87.00	89.00	言うところでしょね
91.00	92.00	さぁ、会場には
92.00	95.00	パンクインの応援パネルを見える
97.00	99.00	ここにほんで
99.00	101.00	このフライクエストの
101.00	104.00	強さ、似説けることができるか
104.00	106.00	そしてこのパンク選手は
106.00	108.00	かなりSFリーグで
108.00	109.00	勝ちたいというのを
109.00	111.00	結構情報発信してますよね
111.00	113.00	あとはカップコンカップ以上に
113.00	115.00	チーム選で
115.00	117.00	かなり報発していると
117.00	119.00	話がありました
119.00	121.00	それだけに
121.00	123.00	気合いは十分でしょ
125.00	126.00	さぁ、両者の親指が
126.00	127.00	がった
127.00	129.00	準備は整った
131.00	133.00	さぁ、この予選第2試合も
133.00	134.00	間もなく
134.00	136.00	結着を迎える
137.00	139.00	さぁ、ちょ
139.00	141.00	どうぶげろ選手のヘッド
141.00	142.00	スクだりだったね
144.00	147.00	さぁ、こぶしを重ねるパンク
152.00	153.00	さぁ、そうしと勝ちは
153.00	154.00	フォークイラー
155.00	157.00	両者の準備は整った
157.00	158.00	さぁ、これが
158.00	159.00	結着戦となる
160.00	163.00	両チームの対象が
163.00	165.00	今見える
165.00	167.00	果たしてプギュラー
167.00	169.00	何を持ってきたか
169.00	170.00	見ていきましょう
170.00	171.00	プギュラジリ
171.00	173.00	対するパンキャミー
173.00	175.00	インっていきましょう
175.00	176.00	オレジオス
179.00	181.00	さぁ、ジュリーキャミーの組みやつ
182.00	184.00	スルードを抱やし
184.00	186.00	差し返しを持つパンクに対して
186.00	187.00	これ
188.00	189.00	バックは一心
189.00	190.00	そうですね
190.00	191.00	投げさそういう
191.00	193.00	見せてしっかりダメージを重ねてくる
193.00	194.00	パンクのキャミーに見てが
194.00	196.00	え?
196.00	197.00	あぶん!
197.00	198.00	出る
198.00	199.00	あぶんなかった
199.00	201.00	これはこの画面はじ
201.00	203.00	どうやって出すするか
203.00	205.00	パンクの暑力
205.00	206.00	どう現うか
206.00	207.00	確かに
207.00	208.00	この差しかし
208.00	209.00	お気気味にやっぱり
209.00	210.00	渡るうつと
210.00	211.00	パンク
211.00	213.00	確実にダメージに変えてきますね
213.00	214.00	そうですね
214.00	215.00	ほんとー
215.00	218.00	パンクはいつもより多くなっております
218.00	220.00	メッセンセの高いリーサル
220.00	222.00	ラシー倒し方
222.00	223.00	気になりました
223.00	224.00	出てきましたね
224.00	225.00	はしゃいでいるか
225.00	226.00	パンクのキャミー
226.00	228.00	え?
228.00	230.00	さなめているの?
230.00	231.00	アップギラー
232.00	233.00	おっと!
233.00	234.00	確かに!
234.00	235.00	さっこ
235.00	236.00	こちらも負けていない
236.00	237.00	もしなるが
237.00	238.00	無敵技
238.00	240.00	お見たのすばり
240.00	241.00	どうやっていったの?パンクのキャミー
241.00	243.00	また両者は中央へ
243.00	245.00	ここでダイヤシー上がって
245.00	246.00	ないで入る
246.00	247.00	エッセーズルが
247.00	248.00	もうパンク止まりそうです
250.00	251.00	さあ怖い前い
251.00	253.00	中距離に行くと
253.00	254.00	アイドボーサー
254.00	255.00	そこで
255.00	256.00	あ、しっかりと当てて
256.00	257.00	ラシーを四角で
257.00	258.00	タイルグリードは
258.00	259.00	見ては
259.00	260.00	ブゲラーのジュリー
260.00	262.00	中はウンフミコンで投げる
262.00	264.00	撮りを押し上げる
264.00	265.00	キケニオイキー
265.00	266.00	通りかけない
266.00	268.00	ここはさっかり
268.00	269.00	しっかり
269.00	271.00	ミノがさず
271.00	273.00	パンクのキャミーが
273.00	275.00	まずは一暇い
275.00	277.00	この対象線は
277.00	278.00	リオファイウェイ
278.00	280.00	3試合選手と
280.00	281.00	なっております
281.00	283.00	透明の弱攻撃の
283.00	285.00	なんだったんですけど
285.00	287.00	カイニーの勝手を確認して
287.00	288.00	倒し切り
288.00	290.00	見事でしたね
290.00	291.00	見事でしたね
291.00	293.00	そして見る限り
293.00	294.00	お互い
294.00	295.00	基本的に
295.00	296.00	地上線で
296.00	297.00	やり取りしているかと
297.00	298.00	まず回復が
298.00	299.00	毎強版地かなり
299.00	300.00	開業していたと思うんですけど
300.00	302.00	パンクが
302.00	303.00	確かに
303.00	304.00	うまいプレイア
304.00	305.00	どうさしっかり
305.00	306.00	ってきてるのか
306.00	307.00	見るために
307.00	308.00	透明に打って
308.00	309.00	動いたがういで
309.00	310.00	ボタンを
310.00	311.00	巻き込まれると
311.00	312.00	技能がなってるんで
312.00	313.00	最初の2回
313.00	314.00	それを
314.00	315.00	うっとまってくるのか
315.00	316.00	確かにしだったんですよ
316.00	317.00	そうですね
317.00	318.00	なのでちょっと
318.00	319.00	次第私は
319.00	321.00	私はもう
321.00	323.00	私はここは
323.00	324.00	上手くて
324.00	326.00	左が
326.00	327.00	またあるように
327.00	328.00	ドライブさがある
328.00	329.00	上手くている
329.00	330.00	ここで立ち大きく
330.00	332.00	当てるのはパンク
332.00	333.00	上手くている
333.00	334.00	上手くて
334.00	336.00	上手く
336.00	337.00	上手くて
337.00	338.00	上手くて
338.00	339.00	背景を継続していく
339.00	340.00	お互いのドライブは
340.00	341.00	バスからだ
341.00	342.00	確かにし
342.00	344.00	このパンクの
344.00	345.00	達が
345.00	346.00	きっとに対して
346.00	347.00	まあ
347.00	348.00	ケースを
348.00	349.00	落とらすはするのさ
349.00	352.00	一応
352.00	353.00	一応
353.00	354.00	ボツは手手の
354.00	355.00	不げら
355.00	356.00	エッセンゲース
356.00	357.00	タムを
357.00	358.00	弱くなってくれる
358.00	359.00	優勢だが
359.00	361.00	ここで
361.00	363.00	ここで
363.00	364.00	こで地上
364.00	365.00	大型から
365.00	366.00	上手く
366.00	367.00	ファイミング勝負でしたね
367.00	368.00	そうですね
368.00	369.00	これで画面はじになる
369.00	371.00	投げているのはパンクのキャミ
371.00	372.00	踏めるか
372.00	373.00	あったか
373.00	374.00	あった
374.00	375.00	さて
375.00	376.00	画面はじで
376.00	377.00	出れない時間が続いている
377.00	378.00	撃ってきた
378.00	379.00	オリー点線に
379.00	380.00	で一発切り返すがまだ
380.00	381.00	中央や
381.00	382.00	戻れないか
382.00	383.00	ウェイ
383.00	384.00	見つめして
384.00	385.00	うわー
385.00	386.00	落としたら鼻に
386.00	387.00	見つめて
387.00	389.00	あったらないじゃないですか
389.00	390.00	パンクはしかし
390.00	391.00	この状況を踏み込んでくるか
391.00	392.00	あったら
392.00	393.00	当たってる
393.00	394.00	ここは
394.00	396.00	S&Aを開いた
396.00	403.00	フミックコミで立ち勝負
403.00	406.00	ここら辺のキャミの
406.00	408.00	最強の武器の一つですね
408.00	410.00	基本的にはカウンターゴンに
410.00	412.00	集合器は届くっていう
412.00	414.00	カウンにしづらいので
414.00	416.00	ここは差し合い
416.00	418.00	準備で
418.00	421.00	上手をさそう動き2回目
422.00	423.00	おすすめ
423.00	424.00	おすすめ
424.00	425.00	さあ
425.00	426.00	大きいの大パンクは
426.00	427.00	フリンシェー
427.00	429.00	回線段階の
429.00	430.00	見ろ
430.00	431.00	正すぎの
431.00	432.00	大技を決めるのが
432.00	433.00	プレラー
433.00	435.00	お姉も許いし
435.00	436.00	おきてみもついてくる
436.00	437.00	さあ
437.00	438.00	このおきてめからは
438.00	440.00	パンクがうまく
440.00	441.00	逃げた
441.00	442.00	シリーナをしろ前から
442.00	444.00	パンクが
444.00	446.00	ドライブ回遇しながら
446.00	448.00	レスエステムになっていきたい
448.00	450.00	危ないぞ怖いぞ
450.00	452.00	ブンクがCA状態
452.00	454.00	組み込みなげ
456.00	457.00	来た
457.00	458.00	来た
458.00	459.00	来た
459.00	460.00	来た
460.00	461.00	来た
461.00	462.00	来た
462.00	463.00	来た
463.00	464.00	来た
464.00	465.00	来た
465.00	466.00	来た
468.00	469.00	お互いに
469.00	470.00	地上での
470.00	471.00	技術を
471.00	472.00	大人の大人を
472.00	473.00	すごい運びながら
473.00	474.00	すわかった
474.00	475.00	その駆け引きは
475.00	476.00	どのくんを回ってきてる
476.00	477.00	という印象でした
477.00	478.00	若干プレラ側の
478.00	479.00	まだうちがすくらかった
479.00	480.00	瞬間にパンクが
480.00	481.00	踏み込みなげを見せて
481.00	482.00	それプラったにすぐさま
482.00	483.00	前にへんた瞬間の
483.00	484.00	キャラムキュマチ
484.00	485.00	そこは
485.00	486.00	先程は
486.00	487.00	上げる
487.00	488.00	中央しらしが
