start_time	end_time	transcript
0.00	5.40	【アンモン】
5.40	8.66	おさまを聞いてパンクが運動
8.66	12.06	軽くうなずいていたように見えましたが、貴族さん
12.06	14.58	2人のポティで、プゲラー、そしてYC、持ち
14.58	18.44	キャミに誰しんもかぶせる、非常に厳しい
18.44	19.98	組み合わせかなと思いますから
19.98	23.14	だいたい、予想は出ていたでしょうね
23.14	27.68	そして、先ほど、予選での試合にないようは、本当にキッポーしていました
27.68	28.48	はいはい
30.00	33.50	予選では、本当に横のぶつかり合い
33.50	38.78	地上選の差し合い、差し返し合いというところが非常に目だった
38.78	40.76	このプゲラー、タイパンク
41.86	47.02	この実、2回目の対戦となる、このしかも対象戦
47.02	48.02	はい
50.20	52.80	もう、お仕合いやってますかね、この対戦は
52.80	54.24	そうですね
54.24	57.24	そこからまた、かけ引きが回っていく
60.10	63.12	1つ、交換になるにつれて
63.12	67.92	プゲラジュリーが、パンクに対して地上でアットするような場面も
67.92	68.60	見られた
68.60	69.76	ありましたね
70.64	73.76	タイクの共典選人も
73.76	76.80	ストライク、テマエズリー、対しても
76.80	79.84	届くようなタイミング、速さで
79.84	81.36	出せていたのが
82.32	84.04	かなり印象に残りましたね
84.04	86.52	プゲラーと非常にタイクのセードが高いプレイヤー
86.52	87.18	はい
87.18	88.18	そうですね
88.18	92.18	ですからそれを、プレイヤーとくせ通りの
93.18	95.18	対応ができていました
95.18	100.98	このパンクの地上戦の暑力、プラス上から
100.98	104.18	キャノストライクと通常飛びがあるという
104.18	106.02	かなり意識を作のは
106.02	108.38	会編な組み合わせかと思いますが
108.38	112.86	その辺りをうまく合わせていったプゲラジュリー
112.86	115.50	パンクのこのジュリーの人の私、リーチョナガイン
115.50	116.90	特に前協パンチ
116.90	117.90	はい
118.18	120.18	連合集に対して
120.18	122.18	地上戦の地理を見ると
122.18	123.18	差し返しを狙っていると
123.18	124.18	2発目を暗いガチというか
124.18	125.18	はい
125.18	127.18	ジュリーが動いたなと思って
127.18	128.18	ボタンを押しちゃうと2発目を暗ってしまうと
128.18	129.18	技なんですけど
129.18	131.18	一切暇があってなくて
131.18	132.18	そうですね
132.18	133.18	本当にギリギリまでしっかりが
133.18	134.18	目を見ているとなっているのが
134.18	135.18	わかる地上戦でしたね
137.18	138.18	その辺り
138.18	139.18	要者は
139.18	141.18	先の対決から
141.18	142.18	はい
142.18	143.18	何を思い
143.18	145.18	どう対応してくるか
145.18	147.18	さあそろそろ準備を受け
148.18	150.18	この20ポイントは非常に大きい
153.18	157.18	さあこの決勝の対象戦110目
158.18	160.18	勝利上券は3支は選手
163.18	164.18	お互いが
164.18	165.18	どのような
165.18	166.18	読み合いを
166.18	167.18	回してくるか
174.18	176.18	この日のための準備は
177.18	178.18	さあ始まる
184.18	186.18	さあ先ほどは
186.18	187.18	ほとんど5分しかし
187.18	188.18	整理勝ったな
188.18	189.18	バンク
189.18	190.18	今回はどうなるか
190.18	191.18	見ていきましょう
191.18	192.18	フィーゲラジュリー
192.18	193.18	対するは
193.18	194.18	バンクキャミー
194.18	196.18	いっているしょー
198.18	199.18	オレだーす
202.18	203.18	軽く
203.18	204.18	前に出て
205.18	206.18	中央所を振ったのパック
206.18	207.18	さあ運命に出る
207.18	208.18	ここは何気がさすい
211.18	212.18	とって画面の近いが
212.18	213.18	これですね
213.18	214.18	しかすが
214.18	215.18	見てから差し返し
215.18	216.18	くるい
216.18	217.18	おつたし
217.18	218.18	キグラも100人
218.18	219.18	大盤地に対しての差し返し
221.18	222.18	まず攻めを継続するか
222.18	224.18	バンクのドライブゲージが
224.18	225.18	じゃあ感減っているが
225.18	226.18	ここをどう見る
228.18	229.18	よっしゃい
229.18	230.18	先端が
230.18	231.18	さあ運命にこむところ先端の手
231.18	232.18	画面の手を作る
232.18	234.18	揺げろの手
234.18	235.18	フィーゲラバン
235.18	236.18	フィーゲラバンクが
236.18	237.18	動く前に
237.18	238.18	揺るっと伸びききた
238.18	240.18	フィーゲラバンクの大盤地
240.18	241.18	パンチボタンで
241.18	242.18	キックが出るのが
242.18	244.18	10人と特徴でもありますが
244.18	246.18	この画面は
246.18	248.18	フィーゲラバンクがうまく
248.18	249.18	展開していくか
249.18	250.18	タイミング1回の
250.18	251.18	フィーゲラバンクの手
251.18	252.18	確かにこういう動きで
252.18	253.18	フィーゲラバンクの手
253.18	254.18	今
254.18	255.18	これ楽しいで
255.18	256.18	フィーゲラバンクの手
256.18	258.18	ここでフースイー発動
258.18	259.18	やりに来た
259.18	260.18	ダブラップ
260.18	261.18	ダブラップ
261.68	263.18	ドライブ
263.18	265.18	これで
265.18	267.18	ヘトラス
