start_time	end_time	transcript
60.00	63.46	素晴らしいやはりほとのスイートがあります drop drop run
63.46	67.46	コンキモンリーグ選手は カキオを迎えました
67.46	69.46	1988日新食品トップリーグ2024
69.46	75.46	この時間は東山高校 台北高校か第一高校の一戦をお届けします
93.46	97.46	会場は機能に引き続きに ガタケに行かない
97.46	99.46	2型市東山高校スポーツセンターです
99.46	102.46	今日も朝早くからバスケットボールファンが集まっている
102.46	105.46	バスケトボールの生地からお届けしていきます
105.46	107.46	実況たんと必死のまでお届けしていきます
107.46	111.46	さて今年で3年目を迎えたい18日新食品トップリーグです
111.46	115.46	リグ選ぶんかの導入で実力がきっこうするチーム同士の対戦
115.46	117.46	多くの不選手の必勝機会
117.46	121.46	また予定された試合や対戦相手を見せた必要の高い準備など
121.46	125.46	公式戦の試合数が確保された環境化で 競技に取り組むことによって
125.46	130.46	その競技力の向上を目指して設立された大会となっております
130.46	133.46	さてこの3年目の必勝校も確認しておきましょう
133.46	138.46	初代王者が福岡第一
138.46	146.46	福岡大王寺と共に福岡健序は2校が スカコ3大会出ているということになるわけですけれども
146.46	151.46	東山高校は2年連続の2回目の必勝と いうことになっています
151.46	158.46	今日この後は回避国際と福岡大王寺も 今日の第4試合に予定がされているということになっております
158.46	161.46	さて星取表です
161.46	165.46	昭和の試合数にちょっとバラつきはあるんですけれども
165.46	168.46	現状の人員がこちらと いうことになっています
168.46	171.46	福岡大王寺がまだ無敗ということですね
171.46	176.46	福岡大王寺は現在3にそして 東山高校は現状は8位ということになっています
176.46	180.46	ちょっと試合数の召喚が一シェイすくないということになっております
183.46	185.46	さて今週の行っているです
185.46	188.46	まず機能ゲームが行われたわけですけれども
188.46	191.46	今日が2日間開催の2日目と いうことになります
191.46	194.46	今日は女子の試合も2試合を行われと いうことで
194.46	197.46	技夫女子と昭和学員に関しては 機能ウィンタカプイス上を決めて
197.46	200.46	ごちゃに向かってきているということですけれども
200.46	203.46	そちらの登場も楽しみになります
203.46	206.46	まずは東山と福岡第一のゲームを お楽しみいただきます
