start_time	end_time	transcript
30.00	46.00	1998年に新職品トップリーグ、これからはダンシの試合をお送りしてまいります。
46.00	54.00	本日、日本試合予定されている中の第三試合、福岡区の福岡大地交交対指増加権の不自由辺性交互の試合をお送りしてまいります。
54.00	59.00	本日、まず女子が西合、そしてこれからダンシにしちゃいと言う戦いになります。
59.00	64.00	会場は福岡県イーズカシにあります。イーズカシ総合体肩です。
64.00	69.00	大会3年目を迎えるこの1998年に新職品トップリーグですけれども、
69.00	72.00	9週で行われるのはこれが初めてということになります。
72.00	78.00	昨年4月にオープンしました、イーズカシ総合体肩から実況長かわりotaでお送りしてまいります。
79.00	82.00	今年で3年目を迎えました、U18日新職品トップリーグは、
82.00	87.00	リグセンブン化の導入をすることで、実力が結構するチーム同士の対戦であったり、
87.00	92.00	多くの戦士の不自由機会、また既に予定されている試合を対戦相手を見せながら、
92.00	98.00	普通の高い準備をして心もと、というところ、公式選挙の試合数が各のされている環境のもとで、
98.00	105.00	協議に取り組むことによって協議力の向上を目指して設置された大会ということになります。
106.00	110.00	男子の出場行ですけれども、8位目になります。
110.00	117.00	こちらは女子ですけれども、男子の福岡第一と福岡大夕掘りが3年連続の普通場ということになります。
117.00	122.00	改めまして、こちら。2年連続がFGA Damage、そして回指国際、
122.00	124.00	あとは東山インターハイを成しました。
124.00	130.00	発出場が8時間くらいの8時間くらいの3位目となります。
131.00	136.00	福岡税の2項が第1回対回から3年連続ということなんですけれども、
136.00	141.00	福岡県で行われるもんこの対回は初めてということになっています。
141.00	144.00	有十八二新賞品とプリーグです。
147.00	148.00	現在の星取表です。
148.00	151.00	次第の数がバラバラではあるんですけれども、
151.00	155.00	福岡大夕掘りはまず立ち川で初戦福岡同士の対戦がありました。
155.00	157.00	福岡第一に勝ちましたが、
157.00	163.00	あと連賞ということに3賞年、福岡大夕掘りは一賞一杯ということになります。
163.00	166.00	大掘りに負けてその頭八王子に勝った。
166.00	170.00	有十八明星ですけれども初戦トッターと3年倍があって、
170.00	173.00	戦修は勝利したということになりました。
173.00	178.00	戦修は京都政学高校に対して88対79で勝ったのです。
178.00	180.00	最大14点遣いのからの逆点がち、
181.00	183.00	二賞三杯という有十八明星です。
185.00	189.00	そして、注目戦修をこの機会にご紹介しときたいんですけれども、
189.00	193.00	京都府十八明星、六番の日がきかなたに注目したいと思います。
193.00	195.00	といいますのも、来週高校が好き会は、
195.00	197.00	佐賀県で行われます。
197.00	201.00	国民スポーツ大会、佐賀国スポニーマル24がありまして、
201.00	205.00	主に1年生、あるいは2年生の早まれの戦修が
205.00	207.00	ロスタにはいっていないという状況になります。
208.00	211.00	特に1年生、渡辺明星の戦修の勝ち訳がひかっていたんですが、
211.00	213.00	今回、この後、詳しくまたご紹介しますが、
213.00	214.00	ロスタにお入りをおらず、
214.00	218.00	今日は日月戦修をスターター企業ということになりました。
218.00	220.00	彼もと監督にお話を聞きますと、
220.00	223.00	おそらくプレータイムも長くなるだろうということで、
223.00	226.00	インターハイはベンチを外れたというこの2年生の
226.00	228.00	日月かなた今日のプレーに注目と、
228.00	230.00	佐賀県がいきたいと思います。
232.00	233.00	一本の福岡大臣ですけれども、
233.00	236.00	キャプテンの発達応と日に注目したいと思います。
236.00	239.00	先週のゲームではロスタからもはずれたんですが、
239.00	242.00	今日戻ってきて、またスタメンでの数字をということになります。
242.00	244.00	インターハイベストフォーですが、
244.00	246.00	悔しい結果ということになりました。
246.00	248.00	地元福岡大臣最で、
248.00	250.00	福岡大臣と福岡大応掘り、
250.00	252.00	どれだけ勝てるのか、
252.00	255.00	ウィンターカップ以来のまた決勝が見られるのではないか、
255.00	257.00	いろんな期待があったと思うんですけれども、
257.00	261.00	地元福岡大臣の夏のインターハイはベストフォーということになりましたが、
261.00	264.00	まだまだ十分に成長が見込めるチームです。
264.00	268.00	今日はこの発達キャプテンの活躍でも注目していきたいと思います。
271.00	273.00	今日はイーズカデの解除祭ということで、
273.00	276.00	福岡大臣そして福岡大応掘り、
276.00	279.00	東山海域国際の4チームは、
279.00	281.00	昨年の春、そして今年の春と
281.00	284.00	イーズがカップというのが行われております。
284.00	288.00	そういった会場で、今回初めてこの有住8日新食品トップリーグ、
288.00	292.00	不住名明星高校もこの会場で試合を行うのは初めてです。
292.00	296.00	インターハイ以来福岡に来たという静岡の不住名明星高校です。
296.00	301.00	昨年4月にオープンしたこのまわたらしい会館で会場ということになります。
301.00	305.00	ビリーグのラインジブンセカは福岡の公式線や
305.00	308.00	ビーツブレオフもこの会場で試合が行われていました。
309.00	311.00	プロサナガラの演出で、
311.00	313.00	これから新パンダンの紹介、
313.00	314.00	そして両チームの選手、
314.00	315.00	弁知メンバー、
315.00	318.00	そしてスターディングファイムの紹介という流れになります。
323.00	326.00	今日明日の2日間でこのイーズ化会場では行われます。
326.00	329.00	大師は今日2次第、明日が1次第です。
329.00	331.00	明日は今日明日4次第です。
331.00	332.00	今日明日4次第です。
332.00	334.00	女子が今日2次第、明日3次第です。
334.00	336.00	予定になっています。
340.00	343.00	高校がこの後、大師は1次、
343.00	347.00	この後は、高校大応掘と身のかもの対戦ということも被返っています。
347.00	349.00	女女にお客様も込めてきました。
350.00	352.00	10月に入りましたが、
352.00	356.00	まだまだ暑い不効かけないイーズ化指での試伝いとなっています。
358.00	359.00	それでは新パンダンです。
361.00	362.00	クルーチーフ、田中井を透け、
362.00	364.00	パース、頑張りや皆側、
364.00	366.00	タロー、ツカンダンパーや、ひだか、効果。
367.00	370.00	ご覧の3名がこのゲームをコントロールしていきます。
371.00	373.00	次は、ゲームロールを押しています。
376.00	378.00	そしてこの会場で本日、
378.00	380.00	テーブルオフィスタル、コートスイープ、
380.00	382.00	吹き込めてまいりますのは、
382.00	386.00	福岡県立、高和科学、技術高校のバスケットボールにも皆さんです。
390.00	393.00	こういったスタッフ、会場に関しても高校生が、
393.00	396.00	見つかり立つさわっていくということになります。
397.00	400.00	来週国体、国スポです。
400.00	401.00	名前が変わりました。
401.00	403.00	国民スポーツ大会も控えているという中で、
403.00	405.00	福岡県チーム、静岡県チーム、
405.00	407.00	来週も見つれのが、
407.00	408.00	旅行からもたくさんの選手が、
408.00	410.00	必要するんですけれども、
410.00	413.00	基本的には、今週は静岡からは、
413.00	416.00	不自由ダメージの選手は来ていないということを
416.00	418.00	金元講庁は話していました。
418.00	420.00	1年生とは、
420.00	423.00	2年生の1月以降の早まれの選手が、
423.00	427.00	国国スポの少年男子の部に出場するということになりますので、
427.00	430.00	ロスターが少し出変わっています。
433.00	436.00	今日は1年生の渡まれ世な長田高道、
436.00	438.00	特なショータ、あたりもロスターからは、
438.00	439.00	外れています。
439.00	442.00	非常にわら、フジエダ名正高校です。
442.00	445.00	まずは、ベンチメンバーから出場をしてまいります。
445.00	447.00	スバンゴー1番の渡まれでいく、
447.00	449.00	2番のフルタアイで3年生。
449.00	452.00	そして4番をつけるのが2年生の高松ゆう、
453.00	456.00	7番と来浴台、8番金コライジ、
456.00	458.00	9番にスラサキカズサ、
458.00	462.00	そして11番吉田両、12番しばたひなた、
462.00	466.00	13番クドウソラ、そして14番に雨江戸の
466.00	468.00	締めめるんです。
