start_time	end_time	transcript
90.00	98.50	3年目を迎えました 郵十八日新賞金トップリーグ
98.50	103.90	2020年最終的 国座のは大刺激 福岡県福岡大地大
103.90	109.80	復興見の仮者一戦をお届けいたします
109.80	113.56	会場はバスケットの政治です 東京都主役にあります国立
113.56	122.16	ついように協議上第2回目です 早指定放送席をご紹介いたします
122.16	126.86	本日の開設 まずは現在 配定グイルズナグラで
126.86	130.60	プレイされておりまして 国座大地高校時代にはインターハイ
130.60	134.54	ミタカプ2カプを取っていた いました一応総理選手 そして
134.54	137.44	国資管の学校バスケットボール部 ヘッド号置い現時代は
137.44	140.92	レバトボ回答でも活躍されました 町間吉田県さんの開設
140.92	144.28	人をやはりしちゃったのでお送りください お宅々よろしくお願いします
144.28	146.12	よろしくお願いします
146.12	151.68	まずは内容選手の開設で 国座大地の試合ということになりますけれども
151.68	157.68	ちょっとあの当時の内容選手と現時だね 映像も見ながら
157.68	161.48	東京正時代の内容選手という映像はありまして いうのと
161.48	166.00	いや素晴らしい理由ですよね 個人自身でご覧になって
166.00	170.16	時間がですか? いやめちゃくちゃいい理由ですよね
170.16	174.44	当時からやはりリフェンスが魅力でしたもんね
174.44	175.76	例えば
175.76	178.80	いやー54まで 開催とかリフェンスで詰まれると
178.80	181.60	選手もなかなかいないんですけれども 素晴らしい
181.60	186.08	私で開設人みたいなとが2度目だろう
186.08	190.20	そうですね ちゃんとした開設は初めてです
190.20	193.68	あの町間選配といますね 町間さんもいますので
193.68	198.08	開くに話していただければと思います よろしくお願いします
198.08	202.44	それでは現在の順位教ですので 見ていきましょう
202.44	205.60	おといまでで 段隣市全チーム6試合終わっています
205.60	211.48	この時点での順位教先ほど拭大多くりが 力証目をあげまして
211.48	215.84	本体会の優秀を組めました 豪華第一番現在4勝2配です
215.84	219.00	3位 三勝3配で5位につけていまして
219.00	223.00	ペストコーナーでそう 第1名の優十八日新職員とプリルの
223.00	229.92	非常検証人になります まず困れの戦いというところで
229.92	232.52	まず1勝フェジーズどのようにぐらいになってますか
232.52	237.24	そうですね やっぱり大保里さんが しっかり立ち越し上げて
237.24	241.00	はい第1名僕の特定室が見ているので
241.00	243.68	はい 今日ぜひ撮まいたいなと思います
243.68	247.60	そうですね 優待大盛りが優勝決めて
247.60	252.84	第1位は現在3位という形になっています
252.84	255.60	はい 相手第1に関してまずでは
255.60	257.20	地獄選手は上げていただきたいんですけど
257.20	258.52	うちを選手いかがでしょうか
258.52	262.00	はい やっぱり8点数だと思います
262.00	265.52	キャッテンもつとめる7時になるま 8個後選手
265.52	267.64	どういたとこに地獄していきましょうか
267.64	270.56	やっぱりあの拒点力が素晴らしいので
270.56	276.12	チームのお変身をパッピーと気なと思います
276.12	279.80	そうですね このスティールからのピードマル選手ですよね
279.80	282.56	そうですね
282.56	287.36	高い突然で現在平均18点は全体の7個に
287.36	289.52	キャッテンはあったこと選手を注目して
289.52	292.00	してあげていただきました
292.00	294.20	さあ それぞれ1本の2本かもなんですけど
294.20	295.12	うちは待ちばさん
295.12	296.60	はい 注目選手いかがでしょうか
296.60	301.24	そうですね 藤田選手を注目選手してあげたいと思ってます
301.24	302.96	あの本当にキャッテンで
