start_time	end_time	transcript
90.00	92.00	ボード価格中
106.52	107.52	ブンポ at
107.52	111.52	1998年に、都府の試合による キョウトステーマの試合をお送りしてまいります。
111.52	116.52	昨日のキョウトス2日間は、 このトップリークとしては初めての休守開催、
116.52	121.52	初めての福岡での開催となりました。 部隊は、イズカシの、イズカシ相互対策を
121.52	126.52	使うことができることができると、 初めての休守開催をすることができることができると
126.52	130.52	、 初めての福岡での開催となりました。 部隊は、イズカシの、イズカシ相互対策を
130.52	134.52	このトップリークとしては、 初めての休守開催、初めての福岡での開催となりました。
134.52	142.52	部隊は、イズカシの、イズカシ相互対策です。 先年のファルにオープンした新しい対策での開催となりました。
142.52	147.52	キョウトス4試合術を行われる最後の試合を お送りしてまいります。
147.52	152.52	この試合の実況を担当長川両田でお送りしてまいります。
152.52	155.52	このトップリークというのは、 始まって3年目を迎えますけれども、
155.52	161.52	ビーグ選の文化を高校バスケに導入することで、 絶力が近いチーム同士の対戦で、
161.52	167.52	多くの選手の出場機会、または予定された試合、 対戦相手を密えた質の高い準備など、
167.52	171.52	高式選の試合術が確保された環境のもとで、 興味に居るくむことによって、
171.52	177.52	バスケのレベルの向上を目指して 推出された大会ということになります。
177.52	181.52	男子8チーム、不思議な人たちの出場を 受けたことで、
181.52	183.52	高校第一次、そして、今日は不思議な人たちの出場を 順番に行われます。
183.52	189.52	高校第一次、高校第一次、高校第一次、高校の 人たちの出場を3年目の出場となります。
189.52	193.52	3年目にした初めて不幸果での開催ということになりました。
193.52	199.52	京都はインターハイ東山に移動しましたけれども、 インターハイに出られなかった京都政府学園が、
199.52	204.52	今回初市場ということで、 これは実行員によって選ばれた8知光なんですけれども、
204.52	208.52	彼らは、そのインターハイに出られなくても 実力が十分あると、
208.52	211.52	そういうふうに見受けられた学校は このように選ばれるような形になります。
211.52	216.52	他にも、8表示が今回初市場です。 見の過ごうインターハイ十二章で初市場です。
216.52	221.52	開始国際と不幸果の運命性は2年で 続く2回目の通常というふうになっています。
223.52	226.52	試合数の召喚の数でバラつけはありますけれども、
226.52	228.52	これが最新の従いということになります。
228.52	231.52	高校第一次は初戦の大盆立に破れましたけれども、
231.52	235.52	8表示学園8表示選、そして、 非常eudame制選機の勝利を覚めています。
235.52	240.52	京都政府もインターハイ十二章の見の過ごうには 勝利したんですけれども、
240.52	243.52	それ以外の4試合を落として、現在一章4回、
243.52	247.52	これが6試合目ということになる 京都政府学園です。
247.52	251.52	京都政府学園にとっては、 京都が終わるとも残り1試合、
251.52	253.52	8表示選を最後、余裕団に対関で来月、
253.52	257.52	17日の最終日に迎えると15点になっています。
257.52	261.52	現在こちらがランキング、勝ちますと、 2点、負けると4点、
261.52	265.52	発値をやったということで1点、という8点制度ですので、
265.52	269.52	負けの数で比較するとわかりやすいのかなという状況でもあります。
269.52	273.52	現在、豪華大王力が唯一の全勝4勝令敗というところで、
