start_time	end_time	transcript
90.00	97.84	3年目を迎えました 優十八日新職金トプリング
97.84	104.00	2024 国国立勇気業議場第二体感では 今週日の最終日を迎えました
104.00	108.42	これからは本日の第二試合 発油症を目指す高科県の福岡大学
108.42	112.16	族大森高校大自動科県の不自由 ら命制高校の一例をお送りして
112.16	116.52	まいります それでは放送席ご紹介してまいりましょう
116.52	122.56	ここ 余裕大二体感の放送席には 両校のOBに来ていただきました
122.56	125.56	今日も アクターン入っているこの 協力を放送してです
125.56	130.72	まずは私のお隣高科大臣族大森高校のOB 出席現在放送程度よく2年生の
130.72	134.72	ナベタ検出選手 そして昨年はこの会会に出ていました
134.72	138.00	不自由 ら命制高校のOB 高科大学1年生のアカマー検討
138.00	140.20	選手です お伝課の動画よろしくお願いします
140.20	143.72	よろしくお願いします アカマジッシュ 昨年はこの会会に
143.72	146.72	出席をして 話し始まりましたけれども
146.72	150.08	早く 早く 今日待てね 会設と初めてだと思うんですけど
150.08	154.20	緊張感の方がいからですか 結構緊張してます
154.20	156.64	今日はね いろんな話を聞いていきたいと思いますので
156.64	159.40	どうぞよろしくお願いします 何か選手のお説ですか
159.40	162.20	そうして僕も緊張しているんですけど 頑張りたいと思います
162.20	167.00	今日勝手は8年生という事し たらその辺りも是非楽しんで
167.00	170.48	ありがとうございます 今日はね あのあたりの心でないの話
170.48	173.76	さて今も 地元気で大学を聞けてますので
173.76	176.88	そういった話もね 出席をいただければと思います
176.88	180.88	この二人と言えば2年前ですけどでも
180.88	184.24	じゃあマジ 何度選手から 出席を思えてますよね
184.24	187.40	はい 二概要も入れがある次第階で
187.40	190.36	隣に頭くに結構やられてしまったので
190.36	192.64	一つ いやーだ大会ですよ
192.64	196.08	2年前のアカマ選手は2年生として並べた選手と
196.08	198.04	とては結構できるのを 最後の試合と
198.04	200.96	いうことになりましたけれども ドラマの勝手やったらありました
200.96	203.72	何度選手も本社は覚えてますか
203.72	205.88	はい アカマ選手はおさえたので
205.88	208.84	2年生の勝ちやすで もうお振りポークを 開くたくに
208.84	210.16	人事決勝だったらいいと思います
210.16	212.04	何か人生のことはありますか
212.04	214.16	と 運作アップとしても
214.16	217.04	うわー 浮き山になっていたので
217.04	220.16	まあ でも大事な仕上がったら 出席を思うの
220.16	222.64	はい 事事決勝で大戦があって
222.64	225.16	一回目の選手ととはこれが最後の試合だ
225.16	226.64	という話になりました
226.64	228.64	で 何度達成の2年前から
228.64	231.52	その対下始まって 第1回対回を
231.52	233.52	変わっていたんできてるの
233.52	235.12	今回の従意表です
235.12	237.48	これがまぁ 今日が始まる前の時点の
237.48	238.48	従意表になるんですけれども
238.48	240.56	5勝1回の効果大要頃は
240.56	242.08	この試合に勝ちますと
242.08	244.88	自動的に大保留の優勝ということになります
244.88	246.48	そして非定ラメンスへ行こうは
246.48	248.12	2勝1回の6勝というと
248.12	249.84	ちょっと一人入っていきました
249.84	252.64	これのような優勝の条件になります
