start_time	end_time	transcript
60.00	79.00	1998年1月18日 新職品とプリーグ244
79.00	84.00	第4週に入っています この2日間週末の最後のゲームです
84.00	93.00	出しの1,8時間、8時間、コート学校隊、地元、ギフケン、見のかも高校の1線を送り出します
93.00	101.00	ギフケンのゲロシにあります ゲロ交流会館、アクティブホットアリーナでこの週末ゲームが行われています
101.00	109.00	ギフケンでの開催は初めてということです 由18日新職品とプリーグです
110.00	113.00	3年目を迎えました 由18日新職品とプリーグです
113.00	119.00	リーグ線の文化を導入することで 多くの選手の出場機会の確保
119.00	126.00	あるいは大戦相手を見失れた質の高い準備など 試合数がある環境の元で協議に取り組むことによって
126.00	132.00	協議力の向上を目指す いうような意図を持って設立された大会ということになっています
132.00	134.00	今年で3年目です
134.00	139.00	例えば今年のインターハイで対戦した相手ともう1回この舞台で対戦があると
139.00	144.00	前回はやられたけれどもそれを踏まえてこの大会に移動で
144.00	150.00	また違う結果が出てそれがアキーコーアリーワ12月最後のインターハップにも繋がっていく
150.00	156.00	トーナメント線ではないリーグ線だからこそできるチームですとか選手たちのチャレンジ
156.00	163.00	あるいはチームの底上げそういったところが デベルアップに繋がっていくような大会となっています
164.00	172.00	この2日間の最後を示すクルゲームとして 義府県の見のかも高校地元の高校が登場
172.00	179.00	対するは東京都の8用事学園8用事高校です 昨日もゲームを行っているんですが
179.00	184.00	8用事は不幸か第一等対戦しまして88対75
184.00	191.00	1時リードをするような時間代まって非常に 押し時間代もあったんですけれども88対75ということで
191.00	196.00	残念ながら破れています88対8用事は今年の
196.00	203.00	有十八二四職員とプリーグここまで 御試合戦いまして二勝三輩です
203.00	209.00	はいご覧のような 十一になっています
209.00	217.00	8用事学園8用事がここまで二勝三輩いつもの 見のかも高校二勝一体ということで
217.00	224.00	昨日は不幸だ名成高校二九十一体六十八で勝利をしています
226.00	233.00	あとはご覧のようなランキングです 勝ち点性というところで順位を決めるんですが
233.00	239.00	まだ各地無試合数に差がありますので まあ不幸か第一なんかまだ二試合というところで
239.00	245.00	ご覧のような順位になっているんですけれども 一回戦争渡りのリーグ戦を戦いまして
245.00	253.00	それを持って順位を決めるということになります 順番が全御しましたけれども
