start_time	end_time	transcript
60.00	64.64	カバイカー
79.40	83.00	 rebound
86.18	87.62	ニー型開催.Youtube
87.62	90.62	そして今日の最終ゲームとは、という事になります。
90.62	92.62	男子の試合です。
92.62	94.62	会市国際対復興課題をお掘り、
94.62	96.62	地元の会市国際と、
96.62	99.62	ここまで負けていない復興課題をお掘りの一戦、
99.62	101.62	注目のゲームをお掘りとしていきます。
101.62	103.62	会場は、ニーガタケニーガタシ、
103.62	107.62	ニーガタシ、東方スポーツセンターよりお掘りとしていきます。
107.62	111.62	たくさんのバスケットボールファンの皆さんが集まって来ております。
111.62	115.62	この試合の実況をたんと一緒までお掘りとしていきます。
118.62	121.62	さて、今年で3年目を迎えました、
121.62	123.62	あゆう18日に新食品トップリーク、
123.62	125.62	ビーグ先文化の導入をすることで、
125.62	127.62	知力がきっこうするチーム動詞の対戦、
127.62	129.62	多くの選手の出場機会。
129.62	132.62	また、予定されが試合や対戦相手を見せた
132.62	133.62	必要の高い準備など、
133.62	136.62	公式選の試合数が確保された環境から、
136.62	137.62	協議に取り組むことによって、
137.62	139.62	その協議力の向上を目指して、
139.62	142.62	設立された大会となっております。
142.62	143.62	この3年目の大会も、
143.62	145.62	もう環境に入っていますけれども、
145.62	148.62	必要上行も確認してみていきましょう。
151.62	153.62	3時は、8位チームです。
153.62	155.62	会市国際が2年連続2回目、
155.62	159.62	発売市場となった昨年の大会で優勝をしています。
159.62	160.62	イフェンディングチャンピオン。
160.62	162.62	そして、福岡大王寺は、
162.62	165.62	きょう登場があった福岡大町ともに会議会所。
165.62	170.62	3年連続3回目の必要となっております。
172.62	174.62	そして、保守取票なんですけれども、
174.62	177.62	これあの機能のゲームが終わった段階での
177.62	178.62	保守取票とは、
178.62	179.62	優勝になっております。
179.62	183.62	今日は第一試合に東山と福岡大町の試合がありまして、
183.62	185.62	福岡大町が勝ちました。
185.62	187.62	注目していただきたいのが、
187.62	189.62	これ、実は福岡大王寺は、
189.62	193.62	きょう勝ちますと優勝が決まるという風に聞いております。
193.62	197.62	というのも今、ご勝礼、配で、無配で、
197.62	199.62	他のチームが少なくとも、
199.62	200.62	2配はしている状況で、
200.62	203.62	今日福岡大王寺が勝ちますと、
203.62	206.62	もう、負けたと、次のゲーム負けたとしても、
206.62	207.62	6勝一杯になりますので、
207.62	210.62	優勝が決まるということになります。
210.62	212.62	ちなみに福岡大王寺は、
212.62	216.62	最終選は不自由なメーセートのゲームを残しているという状況ですね。
217.62	218.62	ですから、
218.62	223.62	ディフェンディングチャンピオンと優勝に応勢をかけたチーム同士の対戦ということになります。
224.62	226.62	さあ、その福岡大王寺の方から、
226.62	229.62	メンバーとおと注目選手を見ていきたいと思いますけれども、
229.62	232.62	こちら、キャプテンのワク川ヒロと選手をピックワックして、
232.62	233.62	おります。
233.62	236.62	昨日の東山線は、
236.62	239.62	週版のクラッチシュートバスケットカウントもありました。
239.62	241.62	21時点の活躍です。
241.62	246.62	リーグで今、2位の22.6ポイントというのを人支合平均で上げています。
246.62	248.62	昨日は3ポイントのタッチ自体は、
248.62	251.62	8分の1ということで苦心な部分があったんですけれども、
