start_time	end_time	transcript
90.00	102.00	皆さんこんにちは、3年目を迎えました、1918日2新食品トップリーグ2024、いろいろコンシーズンの最終日を迎えました。
103.00	109.00	9月に始まりました、およそ2ヶ月間熱い戦いを繰り広げてまいりましたが、いろいろ決着の日になります。
110.00	117.00	この時間は、共訪の共訪性科学園、そして東京と8用事学園8用事の1線を解けいたします。
118.00	121.00	東京国立雄議題に対関、きょうチケット、完売です。
122.00	124.00	きょう、これから男子の4支援が行われます。
125.00	126.00	第1支の方策です。
127.00	132.00	長野県名門東海大スワ高校の前の監督、そして今は、
133.00	135.00	東海大学で構築されています。
136.00	137.00	いろいろ高い基産を迎えました。
138.00	141.00	いろいろ高い基産も東海大スワの監督としてこのリーディーグ参加されましたけれども、
142.00	143.00	どんな意味はよいも伝えたいかいですか。
144.00	150.00	そうですね、交接されて3年になりますが、今となっては全校校生が固がれるリーディーグになっております。
151.00	155.00	負けたら終わりじゃないんですよね。
156.00	160.00	リーディーグですね、高中もいろんな作戦を取らえますし、
161.00	163.00	選手ももう行きってプレイできると思います。
165.00	170.00	その最終戦となりますけれども、8チームが今年は参加をいたしました。
171.00	175.00	京都政家それから8時、共に発出場で戦ってまいりました。
176.00	181.00	京都政家が一生後配、8用事が二生4倍ということになります。
182.00	183.00	今の順境をご覧いただきましょう。
184.00	188.00	京都前チームが最終戦を行って優勝が決まるということになりますけれども、
189.00	190.00	御庫委員員さんどうご覧になりますか。
191.00	194.00	そうですね、両チームとも7.8位ということですが、
194.00	198.00	8時高校はインターピューションの東側に勝利していますし、
199.00	201.00	京都政家はインターピューの皆かもに勝利していますので、
202.00	204.00	全員以上に力のさをないと思います。
205.00	210.00	逆にこの8校は本当にレベルの高い高校と試合ができるというのは、
211.00	212.00	いい経験になりますよね。
213.00	216.00	このリーディーグを通して、お互い接触たくなし、
217.00	220.00	指の行を削りながら実力を高めていると思います。
221.00	222.00	では、御庫をご紹介いたします。
223.00	224.00	まず京都政家学園ですけれども、
225.00	228.00	教実は資力のメンバーが3人かけておりまして、
229.00	234.00	注目には外国席、留学生センターのデーマンド選手をあげていただきました。
235.00	237.00	平均11.3都区点、いい選手ですよね。
238.00	240.00	彼はこのようにドライブからダンク行ったり、
241.00	244.00	アスレチックに動けますし、ビブランも非常に魅力的ですね。
245.00	250.00	そのデイモンド選手と2年生のキモナディエウ選手という2人ともリバウンドも強いですね。
251.00	253.00	ディエウ選手は特に皮けですので、
254.00	257.00	またタイプの違う留学で2人がカツラックしてくれると思います。
258.00	260.00	黒が京都政家学園です。
261.00	262.00	8時間くらいの8時間くらいです。
263.00	265.00	こちらは黄色オレンジのイニホームですけれども、
266.00	268.00	とばゆり選手が世代ナンバー1と言われていますね。
269.00	273.00	ユーチューヤージャーカップでもカツラックした選手ですし、
274.00	276.00	特定以上にアシストムを注目しています。
277.00	281.00	ここまでリーグ選手の選手が平均24.2と9点、
282.00	285.00	7.2リバウンド、4.2アシスとなんでもやさんですね。
286.00	289.00	逆に言うと、京都政家どのようにして、
290.00	292.00	とかに選手を止めるか、注目してみたいと思います。
293.00	296.00	ユーチューヤージャーの練習がまもなく終わります。
297.00	299.00	お互いに最終選、8時も京都政家も、
300.00	302.00	この後年末のインターフアップ室上を決めていて、
303.00	306.00	先週先週まで激しい予選が行われていたんですけれども、
307.00	310.00	またそのインターフアップにつながる試合を期待したいですね。
311.00	316.00	この大会を通し、インターフアップに気づく試合を行ってもらいたいなと思いますね。
317.00	318.00	特に京都政家の兼軍は、
319.00	320.00	野中をどこ紹介しますけれども、
321.00	323.00	きょう、種力3人が不在ということで、
324.00	326.00	逆に出る選手にとってはチャースですよね。
327.00	328.00	やはり種力がいない中で、
329.00	332.00	チーム6の底側ができるのもこのリーグのいい所ですので、
333.00	334.00	取らえしてもらいたいですね。
335.00	339.00	これが最終選、お互いに手合されから課題を持って帰って、
340.00	342.00	また1ヶ月間、このチームを2つ目と欲しい。
343.00	345.00	まだ1ヶ月ありますからね、いろいろできると思いますね。
345.00	353.00	そういう機関隊の監督から見たらどうですか楽しいですか楽しいですねあの特に3年戦とてはラスト
353.00	362.00	残り1ヶ月というところで思いも入ってきますので最後の伸びがですねあの非常に教えていても楽しいと思いますね
362.00	371.00	ラスさんとにもたくさんの勉強に入れなかった部位もいますけれどもそういう部位も含めてこれから部位に向けてのメンバーラストリーということになります
371.00	374.00	ではシェア前のシェレモニンが始まります
376.00	379.96	8es
379.96	386.00	8es
386.16	391.02	スメ
393.02	397.02	bet
397.02	404.02	1988日にとって2日に住民党プリプリプリ2020年を 正しく
404.02	408.02	東京の絵をお紹介します 新版の紹介です
408.02	416.02	東京の絵をお紹介します 東京の絵をお紹介します
416.02	420.02	セルバカの絵はサクロを終了を 終了を終了
420.02	424.02	そして東京の絵をお紹介します 東京の絵をお紹介します
424.02	428.02	という訳でございます 東京の絵をお紹介します
429.02	432.02	今日は弾氏の用子愛が行われますけれども
432.02	435.74	今ちょうど美アンリーグがバイウィーク オヤスミということでもありまして
435.74	441.94	今日はかなり効かな新版の皆さんが登場することになっております
441.94	445.54	では両チームが入場して参ります
445.54	457.54	バスケットボールの正知、東京国立有義大二大観。
457.54	461.54	8専門の戦士が登場してまいります。
487.54	491.54	1枚目の戦士は、東京国立有義大二大観。
517.54	521.54	10枚目の戦士は、東京国立有義大二大観。
547.54	562.54	8時のスタートインファイドはウインタカクの予選の時と変わりありません
562.54	574.54	日東準規ヘッド交通地が紹介されました今年2年目の方ですオービー国際間外学の出身です
575.54	578.54	ですね
588.22	596.54	八王子は三年生は三人卓球生が多い人なたですついて警戸成果です
634.54	637.62	これはどうして!
637.82	640.70	切ったんじゃないのね!
643.02	645.58	惔予想でして いけないからでも
646.18	647.78	家の人が、
651.58	653.70	想像にも後かす shackleおっって
654.06	656.56	で図房根を集めます
657.02	659.82	 flight deck ずっと
660.42	662.14	不思議してシーン串して
662.14	670.54	京都政家中学も公開をしています 山崎州一郎ヘッドコチ4年目です
670.54	681.06	大阪高大校から説難大学の出身です 京都政家学園真資力統合キャプテン
681.06	690.10	それから新界選手の西山管家選手と 資力選手が共3人いないという状態で
690.10	696.42	最も京都政家にとっては京都戦彼は 京都戦彼は一人で二人ですので
696.42	702.58	彼らはドメのゲームを拭き ていくか ここは一つ注目のポイントがと思います
702.58	708.16	京都政党の家も3年生が4人ということ 野菜の国家施衛が多い人を
708.16	714.30	そうですね 映画は3年生なんですけれども 脇を締めているのが価格しているということで
714.30	718.18	彼は働きがゲームの障害対応するかと思います
718.18	725.22	八応字は去年から博典生が多いという人用で 去年全国大学の経験した選手です
725.22	731.82	そのまま上級生に上がってきたという 形になります
731.82	741.38	白京都政家そしてオロンジ八応字です
741.38	745.38	しかし選手たちの紹介する時も ウイウイイしかったですね
745.38	751.22	大きく迷わり合格になってますし 選手たちにとっては非常に緊張も
751.22	753.66	あると思いますが楽しいでもらえたいと思います
753.66	757.34	こんなに博典よく紹介してもらって いいんですかっていうような
757.34	760.38	なかなかない機会ですね
760.38	764.14	これが高校生の憧れになっているわけですよね
764.14	767.18	誰もが出たい大会だと思います
767.18	771.18	サダイチコート始まります ジャントヨールは発表しとりました
771.18	775.38	その間入りから早いパスマはし てるいそして
775.38	777.50	フォリサはフォリサは左突きの選手です
777.50	779.06	今ゴール下に入っていきます
779.06	783.06	そこが入り早速撮影を取っていきますか
783.06	785.50	リバンドファーラーにましたかね もう1回発表時のボールです
785.50	788.66	今早速撮影りがボールを持ってくるよう
788.66	792.90	デザインされたプレイでしたが いいショットだったと思いますね
792.90	800.22	ここでモンド選手はじまとしている のパール気を付けたいですね
800.22	804.90	パプに1回入れてそしてフォリサは
