start_time	end_time	transcript
0.00	23.92	音量
300.00	303.00	ん
303.00	306.00	ん
306.00	309.00	ん
309.00	312.00	ん
312.00	315.00	ん
315.00	318.00	ん
318.00	321.00	ん
321.00	324.00	ん
324.00	327.00	ん
327.00	329.00	ん
329.00	332.00	ん
333.00	335.00	ん
335.00	338.00	ん
338.00	341.00	ん
341.00	344.00	ん
344.00	347.00	ん
347.00	349.00	ん
349.00	352.00	ん
352.00	355.00	ん
355.00	357.00	ん
357.00	358.00	ん
448.00	453.34	オイソーサージへ浮いて事を買って下さい
466.14	469.88	ゴニッチの方も良いね
568.00	572.00	ん
572.00	575.00	ん
575.00	578.00	ん
578.00	580.00	ん
580.00	583.00	ん
583.00	586.00	ん
586.00	588.00	ん
588.00	591.00	ん
591.00	594.00	ん
594.00	597.00	ん
597.00	601.00	ん
601.00	605.00	ん
607.00	609.00	ん
609.00	611.00	ん
611.00	614.00	ん
614.00	617.00	ん
617.00	619.00	ん
619.00	626.00	ん
627.00	632.00	ん
632.00	636.00	ん
636.00	640.00	ん
640.00	645.00	ん
645.00	649.00	ん
649.00	653.00	ん
653.00	656.00	ん
656.00	659.00	ん
660.00	663.00	ん
663.00	666.00	ん
666.00	669.00	ん
670.00	673.00	ん
673.00	676.00	ん
676.00	679.00	ん
679.00	682.00	ん
682.00	685.00	ん
686.00	688.00	ん
688.00	691.00	ん
691.00	694.00	ん
694.00	697.00	ん
697.00	700.00	ん
700.00	703.00	ん
703.00	706.00	ん
706.00	709.00	ん
709.00	712.00	ん
712.00	715.00	ん
716.00	718.00	ん
718.00	720.00	ん
720.00	723.00	ん
723.00	726.00	ん
726.00	728.00	ん
728.00	730.00	ん
730.00	733.00	ん
733.00	736.00	ん
736.00	739.00	ん
739.00	742.00	ん
742.00	744.00	ん
744.00	746.00	ん
746.00	748.00	ん
748.00	751.00	ん
751.00	754.00	ん
754.00	756.00	ん
756.00	759.00	ん
759.00	762.00	ん
762.00	764.00	ん
764.00	767.00	ん
767.00	770.00	ん
770.00	772.00	ん
772.00	774.00	ん
774.00	776.00	ん
776.00	779.00	ん
779.00	781.00	ん
781.00	784.00	ん
784.00	787.00	ん
787.00	790.00	ん
790.00	793.00	ん
793.00	796.00	ん
796.00	799.00	ん
799.00	801.00	ん
802.00	804.00	ん
804.00	806.00	ん
806.00	808.00	ん
808.00	810.00	ん
810.00	812.00	ん
812.00	814.00	ん
814.00	817.00	ん
817.00	820.00	ん
820.00	823.00	ん
823.00	825.00	ん
825.00	828.00	ん
862.00	884.16	大変ながらくお待たせいたしました
884.16	899.60	これよりハースストーン日本春期選手権を開催いたします
899.60	902.90	本日ステージMCを務めさせていただきます
902.90	909.12	小林です 皆様どうぞよろしくお願い致します
909.12	917.78	さる5月29日に行われたオンライン予選を勝ち抜いた
917.78	926.96	装序32名の申し上げたトーナメント選をさらに勝ち抜いた4名
926.96	936.20	そのものたちによる暑い戦いが本日 これより始まろうとしています
936.20	943.04	改めまして本日出場する選手をご紹介させていただきます
943.04	949.90	アースト選手 ジャコ選手トレットスレッド選手
949.90	957.62	サラツストラス選手 本日はどのようなプレイングを見せてくれるのでしょうか
957.62	961.52	非常に楽しみです
962.08	969.12	さて第一回選を開始する前に本体会のルールを簡単にご説明いたします
969.12	974.28	本体会はシングルイリミネーションによるトーナメント形式で行います
974.28	982.08	各試合は5ヒーロー1番で行う4本選手 違えるBO7となっております
982.08	988.32	一度勝利したヒーローをサイド使うことはできない コンクエスト形式を採用しております
988.32	1003.96	さらに本体会の優勝者は今月6月18日19日に予定されている アジア大平洋春期選手権に出場することができます
1004.92	1016.76	それでは早速ハースストーン日本春期選手権 第1回選を始めていきたいと思います
1018.72	1022.32	順決勝第1試合
1023.28	1027.28	アースト選手の入場です
1035.36	1042.60	ネタウンだというかこの環境にあったコーチができたかなという感じで
1042.60	1046.60	明日を見ることがかかっていくもらいます
1067.88	1070.88	アースト選手こちらへどうぞ
1073.56	1081.80	それでは第1試合2人目の出場者を呼びしたいと思います
1083.00	1087.48	続きまして順決勝第1試合
1087.48	1091.80	ジャーコ選手の入場です
1091.80	1095.80	アースト選手の入場です
1098.76	1102.36	アーストやっぱり回数を込ましてほうが強くなると思う
1102.36	1104.36	全員通知します
1121.80	1125.80	アースト選手の入場です
1125.80	1129.80	アースト選手の入場です
1133.80	1139.80	それでは第1回選を叩かう 両選手が揃いました
1139.80	1147.80	ここでお互いの選手に対する 番ヒーローを発表していきたいと思います
1147.80	1153.80	両選手からはそれぞれ自然に番するヒーローの情報をいただいております
1153.80	1161.80	それでは番されるヒーローはこちらになります
1163.80	1166.80	アースト選手の番ヒーローはモリア
1166.80	1172.80	対してジャーコ選手の番ヒーローはウォーロックです
1172.80	1180.80	さて残りの4ヒーローでどのような戦いが繰り広げられるのでしょうか
1180.80	1187.80	それではそろそろ試合の準備を始めさせていただければと思います
1187.80	1192.80	2人は対戦席へご移動を願います
1193.80	1206.80	ハースストーン2本瞬き選手権 順決勝第1試合
1206.80	1209.80	スタートです
1210.80	1220.80	みなさんこんにちは本日実況を務めさせていただきます
1220.80	1224.80	セントスト申しますどうぞよろしくおいたします
1224.80	1230.80	そして私をサポートしてくださる解説の2人もご紹介させていただきます
1230.80	1231.80	お願いします
1231.80	1233.80	はいみなさんこんにちは
1233.80	1237.80	本日昨日に引き続きですね解説を進めさせていただきます
1237.80	1239.80	ですどうぞよろしくお願いします
1239.80	1240.80	お願いします
1240.80	1241.80	さあそして
1241.80	1244.80	同じく解説のチャチャチャと申します
1244.80	1246.80	よろしくお願いいたします
1246.80	1247.80	お願いします
1247.80	1251.80	本日も昨日に引き続きましてこの3名で送りいたします
1251.80	1252.80	本日なんですが
1252.80	1257.80	スイッチ2個にこな魔法装そしてYouTubeライブの3チャンネルにいて
1257.80	1259.80	な魔法装を行っております
1259.80	1265.80	長聴場の配信となりますがどうぞよろしくお願いいたします
1265.80	1267.80	アークシュアルありがとうございます
1267.80	1270.80	送れた白手ありがとうございます
1270.80	1272.80	早速第1試合のですね
1272.80	1275.80	ヒーロー版情報が発表されたわけなんですが
1275.80	1278.80	ここで皆様に事前にお伝えしておきたいことがございます
1278.80	1282.80	私たち実況解説の声は会場内にも流れております
1282.80	1284.80	ただし試合中につきましては
1284.80	1286.80	選手はイヤホンをしたのちに
1286.80	1288.80	ノイズキャンスリングヘッドホンをしており
1288.80	1291.80	会場の声や音が聞こえない状況となります
1291.80	1294.80	選手がイヤホンをつけるまでの数分間につきましては
1294.80	1297.80	万全の公平性を担保するため
1297.80	1302.80	万されたヒーローは相手選手の特徴などのお話はしません
1302.80	1306.80	すぐにヒーローの相性やデッキの話をしたいところではあるんですが
1306.80	1308.80	ご理解いただければ幸いです
1308.80	1313.80	そして本日DMMVRシアターというとても素晴らしい環境に
1313.80	1316.80	いて大会を行っているわけなんですけれども
1316.80	1318.80	会場中央スクリーンの両サイドにも
1318.80	1321.80	実は縦型のスクリーンがございます
1322.80	1324.80	こちら何を表示するかといいますと
1324.80	1327.80	ですね試合中の選手への応援ツイートを
1327.80	1330.80	表示することができます
1330.80	1331.80	はい
1331.80	1332.80	でですね
1332.80	1333.80	こちら皆様がですね
1333.80	1335.80	どんどんとツイートすれば
1335.80	1337.80	どんどんと表示される形になりますので
1337.80	1340.80	ぜひ皆様試合中もツイートをお願いします
1340.80	1342.80	さその発収タグなんですけれども
1342.80	1343.80	いきますよ
1343.80	1346.80	左手こちらを応援したいという場合はですね
1346.80	1347.80	シャープ
1347.80	1349.80	あ
1349.80	1350.80	出てますね
1350.80	1351.80	はい
1351.80	1352.80	シャープ
1352.80	1353.80	レッツドイット
1353.80	1354.80	アンダーバー
1354.80	1355.80	アースト
1355.80	1356.80	という形になっております
1356.80	1359.80	大臣まして右手側の選手を応援する場合は
1359.80	1360.80	シャープ
1360.80	1361.80	頑張れ
1361.80	1362.80	ジャコ
1362.80	1363.80	19
1363.80	1364.80	10
1364.80	1365.80	なっております
1365.80	1366.80	ちょっとですね
1366.80	1367.80	お名前以外の部分が
1367.80	1368.80	人によって違いますので
1368.80	1369.80	お気をつけるください
1369.80	1370.80	シャープ
1370.80	1372.80	レッツドイット
1372.80	1373.80	アンダーバーアースト
1373.80	1375.80	そして右手は
1375.80	1376.80	シャープ
1376.80	1377.80	頑張れ
1377.80	1378.80	11
1378.80	1379.80	0という風になっておりますので
1379.80	1381.80	ぜひ皆様試合中でも
1381.80	1382.80	どうしどうし
1382.80	1383.80	発収タグをつけた
1383.80	1385.80	ツイートをお願いいたしますと
1385.80	1387.80	いう形でございます
1387.80	1388.80	そうですね
1388.80	1389.80	MCのホワイスさんからですね
1389.80	1391.80	ちょうど一ちょいと
1391.80	1392.80	専門用具が出ていたかなという風に
1392.80	1394.80	思うのでですね
1394.80	1395.80	黒エビさんに
1395.80	1396.80	専門用具について
1396.80	1397.80	少しレクチャーして
1397.80	1399.80	いただければなという風に思っております
1399.80	1400.80	まず
1400.80	1401.80	シングルインメネーションという
1401.80	1402.80	単語からですね
1402.80	1404.80	ご開設いただいてもよろしいでしょうか
1404.80	1405.80	はい
1405.80	1406.80	わかりました
1406.80	1407.80	これはですね
1407.80	1408.80	いわゆる皆さんが
1408.80	1409.80	いつもイメージしているのは
1409.80	1410.80	シンプルな
1410.80	1411.80	トーマメント表を
1411.80	1413.80	思い浮かべていただければと思います
1413.80	1414.80	はい
1414.80	1415.80	本日はですね
1415.80	1416.80	厳しいんですが
1416.80	1417.80	一度負けてしまうと
