start_time	end_time	transcript
0.00	10.00	第57章の準決勝戦と大西江上は撃ちます。
10.00	14.60	白の重動技が東京オーディンピックで日本代表をストレーました。
14.60	22.60	四田中田選手、青の重動技がしばたり法選手です。
22.60	29.60	四田選手が新庁157選手、四田選手165選手や張針が気渡します。
29.60	34.56	鬼13 л
34.56	47.50	お金3神� aproxim attitude
47.50	54.50	組み手はともに左組の合室という形になります
54.50	60.00	お互いが相手のついての予想をする 要素度のしぼり合いの形となって
60.00	65.50	島田選手が圧力る吉田選手を 障害ギアまで下げたというところです
65.50	69.50	吉田選手引きの持っているのを 出すと後から持っていますね
69.50	73.50	今一方的に吉田選手が引き出ても 持っている状態
73.50	76.50	ここでそして 中で回ってを掛けました
76.50	82.50	吉田選手には攻めのきっかけはあったんですけど 巻くつなげらなかったですね
82.50	89.50	テーピングが含かれたか 死が広って 島田選手の側に飲み主導が与えました
89.50	94.50	吉田選手の良い形が 企画に反映されたという形ですね 反転に
94.50	96.50	そうですね
96.50	99.50	中々するドイジャズだと思います
99.50	104.50	パザタケーじゃなくて 組み手の分野も含めて反販されるということですね
104.50	111.50	吉田選手が攻撃のための組み手をして 島田選手が生出たというジャッジなんだろうと推薦します
111.50	114.50	という評価をされると考えたとき
114.50	120.50	今のは上手かった 出足しばらいて左の出足は出口側から払っておいて右の育つり込みます
120.50	123.50	どうもんでしょうが白い連携ですか
123.50	128.50	吉田選手はあんまり吉田選手に引き手を持たれるリスクを感じてなのかともぐらい
128.50	130.50	さわなせる時間だ
130.50	135.50	そうですね 回避のアクションを取らなかったですよね
135.50	140.50	それによって逆にピンチが先送りされたのかなと思うのですが
140.50	143.50	博力ありますね
143.50	147.50	島田選手の過ぎ手の種類がすごい博力
147.50	154.50	今度はそれを着立と吉田選手の場合に取り組まないという形でしどこを
154.50	156.50	弱者だって言ってあったんですけど
156.50	160.50	火射区のルール通りに指導が行きますね
160.50	165.50	この再開はそういう基準とルールはルールというかです
165.50	168.50	100がと思います
168.50	170.50	試合が5ぎはすれですよね
170.50	175.50	吉田選手 手合はせるから相手の圧力は外れたときにすぐさま
175.50	178.50	そのまま右の一本ずーの上に来ました
178.50	181.50	動きいいですね
181.50	185.50	島田選手相手を組まれて大打ちがありも
185.50	188.50	水から着立って離したところ今度吉田選手が前
193.50	195.50	吉田選手 刺身の形にこだわらず
195.50	200.50	日常相手の腕の上に押せて打ちまと1回見せても踊りました
201.50	205.50	吉田選手 刺身の形でしばた選手は十分じゃないと
205.50	210.50	なかなかお世話だったらそういう予想選手を勝せる形で多いですね
210.50	214.50	吉田選手は本当にどこか持っても生きるので
214.50	216.50	初めてした非常に公園ですけど
216.50	219.50	最低限の罪手だけを落としておきたいと思います
219.50	220.50	なるほど
220.50	224.50	その上罪手がかるとやはりきついものがあるので
225.50	228.50	吉田選手 私自身を持って罪手を与えらせて
228.50	230.50	おく持ちながら大打ちがあり
230.50	233.50	吉田選手 組み手と投げ技に次目がない
233.50	235.50	いい形で攻めを積んでいます
255.50	260.50	吉田選手 私自身を攻略しましたが
260.50	263.50	吉田選手は後にしぼりを落として
263.50	266.50	そで押さえて大打ちがり
266.50	269.50	吉田選手 そのまま終わると
269.50	271.50	指導が来るということで
271.50	272.50	一旦攻め返しましたが
272.50	276.50	今度吉田選手が手を押さにかかっているという状態になります
277.50	279.50	お美越しに相手を高速を強めて
279.50	281.50	湧きに足かかと入れようとしたところで
281.50	282.50	まてがかかりました
282.50	284.50	これ時間13秒です
284.50	285.50	初めて
285.50	296.50	吉田選手も
296.50	300.50	吉田選手も 君の今日覚えた技を
300.50	302.50	支配の中で出してくるし
302.50	303.50	吉田選手 私自身は
303.50	305.50	吉田選手は
305.50	307.50	吉田選手 面白い手で
307.50	309.50	比衛生とまだそれが一旦でかかっている
309.50	311.50	面白いなって
311.50	314.50	吉田選手 面白い
314.50	319.50	今も手を振りを叩いて大打ちがり
322.50	324.50	まさにどこからでも挨まれるというか
324.50	326.50	今度は右側で出すり込みます
326.50	329.50	たったところで
330.50	333.50	あたったところで相手に
333.50	336.50	傾いても 叩いても 叩いた形になってしまいました
336.50	339.50	吉田選手がうちまた吉田選手
339.50	340.50	前に崩れたんですが
340.50	341.50	ポイントは解き
343.50	344.50	なんとがくさびを打ったってことがあるんですよ
344.50	346.50	吉田選手からすると
346.50	348.50	吉田選手は行行でしたね
348.50	349.50	立ち上がったところで完璧な組み手が
349.50	351.50	出来上がったという形になっていました
351.50	355.50	吉田選手 育てを押さえて
356.50	358.50	また持ちながらの大打ちがり
358.50	361.50	今度は右側で出すり込みました
364.50	367.50	たったところで
367.50	370.50	今は吉田選手を決定し
370.50	373.50	自分の技で終わろうという意識でしたね
373.50	375.50	始める
