start_time	end_time	transcript
0.00	27.72	【心気】
30.00	33.92	メダルダアンの頭が見えない
33.92	35.84	セルス敵が光ります
38.34	39.02	くっ
39.54	42.06	右側を地面倒して
58.06	59.26	小立 Lori
60.00	62.00	6.16記録休の決勝生になります。
62.00	64.00	誰もが待ちの分だ超選択決。
64.00	68.00	決勝生のカードは上日に選したい今、アレアマンジョー選手です。
68.00	72.00	アレ、ティズミ選手、ファンクリーチルラン。
90.00	95.00	アベヒミ選手、本日は1回選で、アライユー選手に1本増えなが1本。
95.00	101.00	人決勝はうちめら高級選手を、緻道さんの反側でやぶって決勝まで勝ち上がってきました。
101.00	105.00	1本のアレアマン選手、1回選で、竹を語る選手に緻道さん、
105.00	110.00	人決勝は、田中曜マン選手をうちまた和座ありでやぶっての決勝戦です。
111.00	115.00	1本のアレアマン選手の試合が始まりました。
115.00	125.00	2本のアベヒミ選手が、今、アリアマン選手が、
125.00	127.00	左組の選手が、
127.00	130.00	次手で育てを落として、
130.00	134.00	アベヒミ選手が引き手で育てを先に使んだんですが、
135.00	138.00	3本 bmを1回する械口来年選手から、
138.00	148.76	F1は、
148.76	151.00	F1は、
151.00	153.00	Aベヒミの選手は気分になっています。
153.00	156.00	Aベヒミの選手は、
156.00	161.00	生地上で wafer・2本と砥ねしているが、
161.00	162.00	DIN Ouch TwitterのCh Whatever
162.00	168.40	安くいるのに集合したいですが 海外の欠像口を濡れています
168.40	173.30	能力がちされています
173.30	185.30	好みを存在できることとします
185.30	205.64	早bie
205.64	207.24	斉まりました
211.14	211.98	戦友のおうち 750だけ足相と動きでした
220.50	222.08	両方もちあって
222.34	224.54	マレオム選手に両入りを持たれたうち
224.60	225.02	また信項を別れちゃったくて
225.18	228.68	こっちガイで逃げた
228.68	233.92	設定出来ず3枚前に入れ家に 3m 都が付岡や
234.24	237.38	 sigoot sunshine
237.38	242.90	続いて説明できるようになったら消えた場合は 早く総合のある
245.24	255.02	九ておうなどといった
257.20	258.96	った
259.48	261.48	abet号
261.48	268.48	お前は今の手領エリオを持ちました
268.48	270.48	あて!
270.48	271.48	背中を抱えて
271.48	274.48	一瞬間の手領を持って
274.48	275.48	前に手領を持って
275.48	276.48	一瞬間の手領を持って
276.48	277.48	一瞬間の手領を持って
277.48	278.48	一瞬間の手領を持って
278.48	280.48	モニアウォズジは引き出そうではそんなに
280.48	281.48	こだわってないよ
281.48	282.48	見えますね
283.48	285.48	これは手領を上げから
285.48	292.48	上げにして
292.48	294.48	下から持ってます
306.48	307.48	お前は手領を持って
307.48	308.48	あて!
309.48	310.48	引き出すから
310.48	311.48	心感がして
311.48	312.48	思いました
314.48	315.48	し not
315.48	316.48	し not
316.48	317.48	手領を持って
317.48	318.48	片手の絶視は
318.48	319.48	ですしどう
320.48	321.48	これでマリアマセンション
321.48	322.48	しどう
322.48	323.48	二つを背を
323.48	324.48	たかつとして
325.48	327.48	続く
333.48	336.48	前攻め
336.48	338.98	左手を防げ
343.48	346.48	これ
346.48	349.48	前方はいつ
349.48	351.48	なので手前に指引き出ない
351.48	353.48	やまっとこうでしたが一回消えましたね
356.48	358.48	ついてそれの利用する代わりに見てましたが
358.48	360.48	ベーセンションこれで組み手を行ったりしたら
360.48	362.48	収まれています
365.48	366.48	マリオン選手はさせても
366.48	368.08	ついてはなって
368.08	369.08	こででしぶらるでしょ
369.08	370.48	ここは叫びたいとこですね
371.48	373.48	マリオン選手はついてでエリオンも叩いて
373.48	375.48	ついてはしっかりも叩いてないと
375.48	376.48	なかなかうちも叩いてる
376.48	377.48	そうですね
377.48	378.48	アベーセンションはついてを
378.48	380.48	エリオン選手はついてでエリオンも叩いて
380.48	382.48	リオンソーズの技があります
382.48	384.48	これはマリオン選手の
384.48	386.48	リオンソーを潰されてしまう
386.48	388.48	それからエリオンも叩いて
388.48	389.48	それを持ってると
389.48	391.48	アベーセンションの重いよ
395.48	397.48	ここにも選手からついては持っています
397.48	399.48	ついてはしばらいたい
399.48	400.48	ついては綺麗なターンで
400.48	401.48	それられ
401.48	403.48	あっというマニフォンスだよ
403.48	404.48	あっというマニフォンスだよ
404.48	406.48	あっというマニフォンスだよ
406.48	408.48	あっというマニフォンスだよ
408.48	410.48	しかしからの決めまでね
410.48	412.48	最後まで綺麗しまでもってもよ
412.48	413.48	できてるぞ
439.48	440.48	またです
440.48	441.48	ついて勝手につきます
441.48	442.48	アベーセンション
442.48	444.48	アベーセンション中についてついて
444.48	445.48	ついていくと
445.48	447.48	2月に
447.48	448.48	動けばいい
448.48	449.48	動いて足を使ってごらん
449.48	450.48	最後に出てくるから
450.48	451.48	絶対に
451.48	452.48	今の組み技やのうちまたなんですけど
452.48	454.48	アベーセンションも反応速いですね
456.48	457.48	久々くそれまで
457.48	458.48	故障として受ける順序をした
461.48	462.48	起動する前に
